title,description,ingredients,steps
"Lentils and pasta with tamarind, sumac and pomegranate","Yotam Ottolenghi’s flavoursome pasta recipe, made with pomegranate molasses, sumac and garlic, was created for the #CookForSyria campaign to raise funds needed to aid children in Syria (and surrounding countries) who have been displaced by war.","['40g tamarind, soaked in 200ml boiling water', '250g fettuccini, broken up roughly', '60ml olive oil', '2 red onions, thinly sliced (around 350g)', '1 ½ litres chicken stock', '350g brown lentils', '2 tbsp pomegranate molasses', 'Sea salt flakes', 'Black pepper', '6 garlic cloves, crushed', '30g coriander, roughly chopped', '20g parsley, roughly chopped', '90g pomegranate seeds', '2 tsp sumac', '2 lemons, cut into wedges']","['Mix the tamarind with the water to separate the pips.', 'Strain the liquid into a small bowl, discarding the pips, and set aside.', 'Place a large saucepan on a medium-high heat and once hot, add the broken-up fettucini.\xa0', 'Toast for 1-2 mins until the pasta starts to brown, then remove from the pan and set aside.', 'Pour 2 tablespoons of oil into the pan and return to a medium-high heat. Add the onion and fry for 8 minutes, stirring frequently until golden and soft. Remove from the pan and set aside.', 'Add the chicken stock to the pan and place on a high heat.', 'Once boiling, add the lentils, reduce the heat to medium and cook for 20 mins until soft.', 'Add the toasted fettucine, tamarind water, 150ml water, pomegranate molasses, 4 teaspoons of salt and lots of pepper.', 'Continue to cook for 8-9 mins until the pasta is soft and almost all of the liquid has been absorbed and set aside for 10 minutes. The liquid will continue to be absorbed, but the lentils and pasta should remain moist.', 'Place a small saucepan on a medium-high heat with 2 tablespoons of oil.\xa0', 'Add the garlic and fry for 1-2 mins, until just golden brown.\xa0', 'Remove from the heat and stir in the coriander.', 'Spoon the lentils and pasta into a large, shallow serving bowl. Top with the onions, garlic and coriander, parsley, pomegranate seeds and sumac, and serve with the lemon wedges.\xa0']"
Moroccan lamb tagine,"Melt-in-your-mouth lamb and warming Moroccan spices – this lamb tagine recipe is perfect served with warm flatbreads. Sprinkle the tagine with the garnish just before serving. Want something quicker? This lamb, date and spinach tagine is ready in just 30 minutes.","['Olive oil', '2 red onions, sliced', '3 garlic cloves, crushed', '1 tbsp ground ginger', '1 tbsp ground cinnamon', '1 tbsp ground cumin', '1 tbsp sweet paprika', '1 tbsp ground turmeric', '1.4kg British lamb shoulder, diced into 2cm cubes', '2 x 400g tins chopped tomatoes', '250g stoned prunes, roughly chopped', '500ml chicken stock', '1 tbsp sugar', '400g tin chickpeas, drained and rinsed', 'Juice ½ lemon']","['Heat a large glug of oil in a deep, flameproof casserole over a medium heat. Add the onions and fry for 4-5 minutes until beginning to colour. Add the garlic and all the ground spices and fry for 2 minutes more, stirring with a wooden spoon.', 'Season the lamb, then add it to the pot and cook for 5 minutes, stirring regularly. Add the chopped tomatoes, prunes, stock and sugar and bring to a good simmer, then reduce the heat to low. Add 100ml water and simmer gently for 3 hours. Stir the tagine every so often so it doesn’t stick and burn on the bottom. If it reduces and thickens too quickly, add a splash more water to loosen it. You want a rich sauce that’s still fairly liquid.', 'For the last 30 minutes of the cooking time, stir in the chickpeas and lemon juice. Taste and season with salt and pepper. Serve scattered with parsley, coriander, pistachios and pomegranate seeds, with couscous or flatbreads (you could try one of these flatbread recipes) as an accompaniment.']"
Pomegranate and chicken stew,This sweet and savoury chicken stew recipe can be made a day in advance and re-heated for when you are ready to tuck in.,"['40g butter', '400g shallots, quartered', '5 carrots, sliced into 2cm pieces', '1kg free-range skinless and boneless chicken thighs', '3 garlic cloves, roughly chopped', '2 bay leaves', '1 cinnamon stick', '300ml pomegranate juice', '2 tbsp pomegranate molasses', '500ml chicken stock', 'Large bunch fresh coriander', 'Large bunch fresh flatleaf parsley', '100g pomegranate seeds', 'Steamed rice to serve']","['Melt the butter in a large casserole dish over a medium heat. Add the shallots and fry for 8-10 minutes, stirring occasionally, until softened and lightly caramelised. Add the carrots and cook for 5 minutes more.', 'Add the chicken thighs, garlic, bay leaves, cinnamon, pomegranate juice and molasses, and the stock. Bring to the boil, then turn down the heat to a gentle simmer. Cook for 45-50 minutes until the chicken is cooked through and tender. Season with salt and pepper, stir in the herbs and top with pomegranate seeds. Serve with steamed rice.']"
Pomegranate and orange blossom bakewell tart,Try this twist on a traditional bakewell tart using pomegranate and orange blossom – it’s super easy and bound to impress.,"['125g caster sugar', '125g cold unsalted butter, cubed', '3 large free-range egg yolks', '250g plain flour, plus extrato dust']","['For the pastry, whizz the sugar, butter and egg yolks in a food processor until combined and smooth. Add the flour, then pulse until it comes together into a dough. (If making the pastry by hand, sift the flour onto a clean work surface in a ring shape, put the sugar, butter and yolks in the centre, then use your fingers to rub it all together, working in the flour to make a dough. Tip onto a dusted work surface, then shape into a rectangle/disc. Wrap in cling film and chill for 1 hour (see Make Ahead).', 'Heat the oven to 190°C/170°C fan/gas 5. Put the pastry between 2 sheets of non-stick baking paper. Roll it out to the thickness of a £2 coin so it’s 2-3cm larger than your tart tin all around. Peel off one sheet of baking paper, then carefully flip the pastry out into the tin. If it tears a little, patch up any holes with some of the excess.', 'Tear off a little more excess pastry, shape into a ball and dip it in flour. Use it to push the pastry gently into the edges/flutes. Use a sharp knife to trim the top. Put the tin in the freezer for 20 minutes.', 'Line the chilled pastry case with non-stick baking paper or foil, then fill with baking beans. Bake for 20 minutes. Remove the beans and paper/foil, then return the case to the oven for 3-4 minutes until dry and sandy to the touch. Remove from the oven. Turn down the oven to 180°C/160°C fan/gas 4.', 'For the filling, whisk the egg and yolk, sugar, vanilla and orange blossom water in a mixing bowl, using an electric mixer, until pale and thick. Whisk in the melted butter and ground almonds.', 'Mix the jam with 100g of the pomegranate seeds, then spread over the base of the cooked pastry case. Pour over the filling, then top with the almonds. Bake for 35-40 minutes until the filling has set (it will have a slight wobble). If the pastry looks as if it’s browning too much, place a loose piece of foil over the tart.', 'Leave to cool for 5 minutes, then turn out the tart onto a wire rack. Dust with icing sugar and serve warm with cream or custard and the rest of the pomegranate seeds.']"
Quick harissa lamb and red onions with herby quinoa,"If there are any leftovers from this quick lamb with quinoa supper, you can have it for lunch the next day.","['2 tbsp olive oil', '2 red onions, cut into wedges', '500g lamb leg or neck fillet, cut into strips', '2 tbsp rose harissa (we like Belazu)', 'Zest and juice of 1 lemon', '200ml chicken stock', '2 x 250g packs ready-to-eat quinoa', '2 tbsp extra-virgin olive oil', '3-4 roasted red peppers, sliced', '50g toasted pine nuts', 'Bunch of fresh coriander, roughly chopped']","['Heat the oil in a large frying pan over a medium heat and cook the onions for 2-3 minutes until starting to caramelise. Remove and set aside. Season the lamb, put in the pan the onions were cooked in, then cook over a medium heat until browned all over. Return the onions to the pan. Stir through the harissa, lemon zest and chicken stock, then bring to a gentle simmer. Cook for 10 minutes or so until the lamb is cooked through and the liquid has thickened slightly.', 'Meanwhile, heat the quinoa according to the pack instructions. When it’s ready, fluff up the grains with a fork, then stir through the extra-virgin olive oil, lemon juice, roasted red pepper slices, pine nuts and fresh coriander. Taste the lamb and season if needed. Serve the lamb with bowls of the quinoa.']"
Chana masala,Chana masala is one of the world’s most popular curries and it’s easy to see why. Ella Shah’s version is full of powerful spices and tangy flavours that remind her of home.,"['200g dried chickpeas (or 2 x 400g tins chickpeas, drained and rinsed) – dried chickpeas have a better taste and texture than tinned', '2 garlic cloves, crushed', 'Thumb-size piece fresh ginger, grated', '1 medium green chilli, finely chopped', '3-4 tbsp olive oil', '1 large onion, finely chopped', '1 tsp cumin seeds', '400g tin chopped tomatoes', '1 level tsp ground turmeric', '¼ tsp chilli powder', '1 tsp garam masala', '½ tsp ground coriander', '½ tsp ground cumin', 'Handful fresh coriander, chopped', 'Natural yogurt and lemon wedges to serve']","['If using dried chickpeas, soak them overnight, covered, in a pan of lukewarm water. The next morning, drain the water and cover with fresh water. Add ½ tsp salt and boil until soft (about 1½-2 hours). Drain and set aside.', 'Put the garlic, ginger and chilli in a small bowl and mix together into a coarse paste.', 'Heat the olive oil in a large frying pan over a medium heat and fry the onion for 10-15 minutes until soft and starting to brown. Add the cumin seeds and the ginger, garlic and chilli paste, and cook for a few seconds. Add the tomatoes and stir for 2 minutes, adding salt to taste.', 'Add the turmeric, chilli powder, garam masala, ground coriander and ground cumin and stir well to combine, then add the chickpeas and cook for 15 minutes. Stir in the chopped coriander and serve with a dollop of yogurt and lemon wedges to squeeze over.']"
Zigni berbere (spicy chicken stew),"A classic Eritrean dish, zigni berbere is a spicy stew, with ‘berbere’ being a popular spice blend that goes into it. Negat Hussein’s version is best eaten with injera, a spongy-textured flatbread.","['50ml vegetable oil', '2 large onions, chopped', '4 garlic cloves, crushed', '1kg British free-range skinless and boneless chicken thighs, cut into cubes', '2 x 400g tins plum tomatoes', '2 beef stock cubes', '1 tbsp tomato paste', '125ml dry red wine (optional)', 'Bunch fresh coriander, roughly chopped, plus extra to serve', 'Lemon wedges to serve', 'Eritrean injera flatbreads (or regular flatbreads) or rice and a green salad to serve']","['In a large pan, heat a glug of oil. Add the onions and fry for 5 minutes until starting to colour, then add the garlic and fry for 2-3 minutes more or until the onions are golden.', 'Mix the berbere ingredients in a small bowl and set aside (or see tip). Add the chicken to the onions and fry, turning, until starting to colour. Add the remaining ingredients, including the berbere blend, and simmer gently until the meat is tender (1-1½ hours). Taste, season and serve with the accompaniments.']"
Basbousa (sweet semolina cake),"Traditionally for a special occasion, basbousa is a treat that can be found in all Arab countries. Azza Mustafa’s version is sweet and sticky with hints of citrus.","['450g caster sugar', '2 tbsp lemon or orange juice']","['To make the syrup, put the sugar and 340ml cold water into a pan over a medium heat and let the sugar dissolve. Add the lemon or orange juice and bring to a boil. Once the syrup begins to boil, reduce the heat to low and simmer gently for 8-10 minutes. Remove from the heat.', 'Heat the oven to 180°C/160°C fan/ gas 4. In a mixing bowl, combine the butter, yogurt and sugar using a metal spoon. In a separate large bowl, combine the semolina and baking powder. Carefully fold the butter mixture into the semolina until just combined.', 'Pour the batter into the tin and bake for 25 minutes until golden and a skewer pushed into the middle comes out clean. Slowly pour the syrup over the cake until no more can be absorbed. Cool, then turn out onto a large plate or board. Cut into diamond shapes to serve.']"
Eric Lanlard’s clementine and pomegranate cake (gluten-free),Eric Lanlard’s gluten-free clementine cake is made with ground almonds and steeped in syrup for a seriously moist texture. Top with pomegranate seeds for a bejewelled effect and serve – it makes an excellent alternative to Christmas cake. Or turn things around (literally) with this clementine and marmalade upside-down cake.,"['4 clementines or satsumas, unpeeled', '1 cinnamon stick', 'oil, for greasing', '6 large eggs', '225g light muscovado sugar', '1 tsp gluten-free baking powder', '300g ground almonds']","['Put the clementines or satsumas and cinnamon stick into a medium saucepan, cover with cold water and bring to the boil. Reduce the heat, cover with a lid and simmer for 1–1½ \xa0hours, then drain the fruit and remove the cinnamon stick. Leave to cool for 30 minutes, then halve the cooked fruit and discard the pips. Put the fruit, including the peel, into a blender or food processor and blend to a purée. Set aside.', 'Preheat the oven to 180C/160C fan/gas 4. Grease a 23cm diameter, 9cm deep cake tin and line with baking paper. Using an electric hand whisk, whisk the eggs and sugar in a heatproof bowl over a saucepan of barely simmering water for about 5 minutes until pale and mousse-like. Take the bowl off the heat and add the baking powder, ground almonds and the fruit purée. Fold in gently but thoroughly.', 'Spoon the mixture into the prepared tin and bake in the oven for 20 minutes. Reduce the oven temperature to 160C/140C fan/gas 3 and bake for a further 30 minutes, or until a skewer inserted into the centre comes out clean. Leave to cool in the tin for 15 minutes, then transfer to a cooling rack to cool completely.', 'To make the syrup, squeeze the pomegranate halves to extract the juice, reserving the seeds, then pour the juice into a small saucepan. Add the sugar and bring to the boil, then simmer for 2 minutes. Leave to cool slightly (the liquid should still be warm), then stir in the orange blossom extract and vanilla paste. Using a pastry brush, ‘soak’ the cake with the warm pomegranate syrup and leave in the tin until completely cold.', 'To make the apricot glaze, put the jam into a small saucepan and gently warm through, then press through a fine sieve to remove any lumps.', 'Remove the cold cake from the tin and place on a serving plate. If the cake has sunk a little in the middle, you can turn the cake upside-down for a nice flat and even finish. Using a pastry brush, brush the apricot glaze all over the cake, including the sides. Just before serving, scatter the reserved pomegranate seeds over the top of the cake and dust with icing sugar.']"
"Almond, pistachio and turkish delight m’hencha","Crisp layers of filo pastry are filled with spiced frangipane and gooey chunks of Turkish delight, then rolled into a spectacular Moroccan m’hencha swirl. For an equally good nutty pastry, look no further than our hazelnut, apple and tahini pastry cigars.","['7 sheets filo pastry', '75g unsalted butter, melted, for brushing']","['To make the filling, put the butter and icing sugar into a large mixing bowl and beat with an electric mixer until combined and fluffy. Beat in the eggs, one by one, then fold in all the remaining ingredients. Set aside until needed.', 'Heat the oven to 200°C/180°C fan/gas 6. Lightly dust a large area of work surface with icing sugar. Lay out 6 filo sheets in a single row with the short edges facing you, overlapping each sheet on the previous one by 7-8cm. (Keep the final sheet to patch up any holes or tears.) Dollop the filling along the length of the pastry in the bottom third, leaving an 8-10cm border of pastry at the bottom, and the same at either end. Smooth the frangipane with your fingers into one long, even sausage shape.', 'Lightly brush the exposed pastry with melted butter, then fold the left end over onto the filling. Next, roll the pastry from the bottom up to cover the filling, and\xa0tuck it in around the frangipane. Carefully roll the frangipane-filled pastry upwards to encase it in the rest of the filo.', 'Brush the whole thing with more melted butter, then, starting from the left end, roll the sausage carefully into a snug coil, trying not to split the pastry. Tuck the unfilled flap of pastry at the right end under the coil to secure it, then brush the whole thing with more melted butter. Use small squares of the reserved filo sheet, buttered, to patch up any splits, draping them over the hole and pressing them into the pastry.', 'Carefully transfer the m’hencha onto the base of the cake tin, then bring the sides up around it. Bake for 30-35 minutes until golden and crisp. Remove from the tin and leave to stand for 20-30 minutes. To serve, sift over some extra icing sugar, scatter with extra pistachios and slice into wedges. The m’hencha can also be served at room temperature.']"
Venison and parsnip tagine with buttered herb couscous,"The combination of slow-cooked venison with Middle Eastern herbs and spices makes this an impressive dinner party recipe. Perfect as a seasonal main for the winter months. If you have some venison, then you might also like to try it as an alternative to beef in a venison ragù with tagliatelle.","['Olive oil for frying', '1kg diced venison', '1 large onion, sliced', '2 garlic cloves, sliced', '1 large bunch fresh coriander, chopped', '1tsp ras el hanout (a Middle Eastern spice mix, widely available)', '½ tsp ground cumin', '½ tsp ground ginger', '¼ tsp ground turmeric', '6 parsnips, chopped into chunks', '8 dried figs, peeled, quartered', '400g tin chopped tomatoes', '500ml fresh beef stock, plus extra to loosen', 'Pomegranate molasses to serve']","['For the tagine, heat a glug of oil in a large, deep casserole over a high heat. Add half the venison and fry for 5-6 minutes, turning, until browned. Remove to a plate using tongs or a slotted spoon, then repeat with the rest, adding more oil if needed. Heat the oven to 160°C/140°C fan/gas 3.', 'Turn down the heat to low and add the onion, garlic and chopped coriander. Cook gently, stirring occasionally, for 8 minutes. Season with salt and pepper, then add the ras el hanout and ground spices and cook for another minute.', 'Add the parsnips, dried figs, tinned tomatoes and beef stock along with the venison and resting juices, then bring to the boil, stirring to combine. Cover with a cartouche and a lid, then cook in the oven for 3½-4 hours until the venison is falling apart. Don’t let the tagine dry out – check it after 3 hours and add 250ml hot stock/water if it looks dry.', 'When the venison is ready, put the couscous in a large bowl, pour in the boiled water, then cover with cling film. Put the butter and salt in a small frying pan and heat gently until the butter is foaming, stirring to dissolve the salt. Fluff the couscous with a fork, then pour over the hot butter and mix in the herbs, reserving a few coriander leaves. Sprinkle the tagine with pomegranate seeds, the reserved coriander leaves and a good drizzle of pomegranate molasses, then serve with the couscous.']"
Lamb and quince tagine with chermoula and buttered couscous,The sweet flavours of quince work perfectly along side ginger and cinnamon in this classic Moroccan lamb and quince tagine recipe.,"['3 tbsp olive oil', '1kg lean lamb shoulder or leg,\xa0cut into chunks', '2 onions, thinly sliced', '5cm fresh ginger, finely grated', '200g skinned chopped tomatoes,\xa0fresh or from a can', 'Small cinnamon stick', '1 tsp ground ginger', '4 tbsp clear honey', '1 small preserved lemon, flesh\xa0discarded (from the international section in large supermarkets) or 2 strips lemon zest, finely chopped', '750ml lamb or chicken stock', '¾\xa0tsp salt', '½\xa0tsp black pepper', '400g can chickpeas, drained', 'Pared zest and juice 1 lemon', '½\xa0tsp black pepper', '1kg quinces (about 4 medium)', '40g butter, plus an extra knob', '2 tbsp caster sugar', '¼\xa0tsp ground cinnamon', '50g blanched almonds, toasted in a dry frying pan, then split in half']","['To make the chermoula, blend all the ingredients to a smooth paste in a food processor.', 'Heat 11⁄2 tbsp of the oil in a large flameproof casserole. Fry the lamb in 2 batches until browned all over,\xa0then lift onto a plate. Add the rest of the oil and onions to the pan and fry over a medium heat until soft and browned. Add the grated ginger, cook for 1 minute, then add the tomatoes, cinnamon, ground ginger, 2 tbsp honey and 2 tbsp chermoula. Simmer for 2-3 minutes, then return the lamb to the casserole and add the preserved lemon/lemon zest, stock, 1⁄2 tsp salt and the pepper. Part-cover, then simmer for 1 hour.', 'Stir in the chickpeas and simmer, uncovered, for 30 minutes more until the lamb is tender and the sauce has reduced a little more.', 'Meanwhile put 1 litre cold water and the lemon zest and juice in a saucepan. Peel, quarter and core the quinces, putting them in the pan as you go, to stop them browning. Bring to a simmer over a medium heat and cook for 10-15 minutes until just tender when pierced with the tip of a knife. Drain well and transfer to a deep frying pan or sauté pan. Add the butter, the remaining 2 tbsp honey, the sugar, cinnamon, 4 tbsp of the lamb cooking liquid and the remaining 1⁄4 tsp salt, then cook gently, turning now and then, until the juices are sticky and reduced and the quinces are tender.', 'Shortly before the lamb is ready, put the couscous and salt in a large heatproof bowl, then stir in the hot water. Cover with a clean tea towel and leave for 5 minutes. Uncover, then fluff up with a fork. Melt the 40g butter in a large pan, add the couscous and stir over a low heat for 2 minutes until heated through, then fork through the lemon zest. Melt the knob of butter in a pan and fry the almonds in it for 1 minute.', 'Stir the remaining chermoula into the lamb and adjust the seasoning to taste. Arrange the quinces over the top, scatter with the almonds, then serve with the buttered couscous.']"
Roasted aubergines with buttermilk dressing and Persian rice,"Smoky aubergine and crunchy, aromatic jewelled rice are married together with a tangy and fresh garlicky dressing in this Middle-Eastern inspired recipe. We’ve got lots of ideas with aubergine (or eggplant), take a look at the recipes here.","['4 large aubergines, halved lengthways', 'Scant 1 tbsp ras el hanout (a North African spice mix, from large supermarkets)', '5 tbsp extra-virgin olive oil']","['Heat the oven to 200°C/180°C fan/ gas 6. Score the aubergine flesh into diamond patterns with a small sharp knife, rub with the ras el hanout and\xa0slowly drizzle over the oil, letting it sink in before adding more. Put the aubergines in a roasting tin, scatter with sea salt and roast in the oven for around 50 minutes or until completely soft and golden.', 'Mix the dressing ingredients in a jug. Taste, season, then set aside.', 'Put the rice in a pan with a pinch of salt and cover with water. Bring to a simmer, then bubble gently for 8-10 minutes until the rice is half cooked. Drain and leave to sit for 1 minute.', 'Put half the butter in a large lidded sauté pan or wide saucepan over a low heat and swirl the pan to coat (the wider the pan, the bigger the crust). Tip in the rice and flatten the top gently, then poke some holes in the rice with a wooden spoon\xa0handle. Pour over 100ml water, then the rest of the butter. Lay a clean tea towel over the top of the pan, not touching the rice, then put the lid on top and fold the tea towel up over the lid so it’s away from the heat. Cook over a low heat for around 30-35 minutes. Gently lift up a section of the underside of the rice\xa0– there should be a golden crust. If it’s not ready, replace the tea towel and lid and cook a little longer.', 'Once the rice has a good crust to it (see Know-how), tip it out of the pan into a mixing bowl, scraping out the crust. Stir through the rest of the rice ingredients and season, breaking up the crust so it’s distributed evenly through. Serve the warm aubergines with the rice, with the dressing spooned over.']"
"Wild rice salad with peas, pea shoots and green harissa","A summery, vegetarian rice salad recipe full of fresh flavours and with a kick of chilli – from the chefs at Mildreds restaurant in Soho, London.","['300g wild rice (see tip)', '150g frozen garden peas', '6 spring onions', '1 medium cucumber', 'Bunch fresh flat leaf parsley, leaves picked', 'Bunch fresh coriander, leaves picked', '2 green chillies, deseeded and finely chopped', '100ml green harissa paste (see know-how)', 'Grated zest and juice 1 lemon', '50g pea shoots to garnish']","['Bring a pan of salted water to the boil. Add the rice, reduce to a simmer and cook for about 30 minutes or until tender. Add the peas for the last 5 minutes. Drain the rice and peas and run under cold water until cool, then set aside (see make ahead).', 'Thinly slice the spring onions and roughly chop the cucumber and herbs, then put in a large bowl. Add the chopped chillies to the bowl along with the cooled rice and peas. Toss through the green harissa, grated lemon zest and juice, then garnish with the pea shoots to serve']"
Chicken briouats,"A spiced chicken filling made with sweet apricots is encased in crisp filo pastry to make these Moroccan chicken briouats. We’ve also got a handy guide with tips, tricks and step-by-step pictures.","['125g British free-range chicken thigh fillets', '125g British free-range skinless chicken breasts', '2 tbsp good quality extra-virgin olive oil', '1½ tsp salt', '1½ tsp ground black pepper', '1 large onion, chopped', '1 large garlic clove, finely chopped', '40g caster sugar', 'Pinch saffron threads', '100g dried apricots, finely chopped', '80g cold unsalted butter, cut into small cubes', '1½\xa0tsp clear honey', '2 medium free-range eggs, plus 3 egg yolks mixed with a little water', 'Small bunch fresh coriander, chopped', 'Small bunch fresh flatleaf parsley chopped', '15 filo pastry sheets']","['Mince the chicken using a food processor (see food team’s tips). Heat the olive oil in a lidded sauté pan and fry the chicken, stirring, until golden brown. Add the salt and black pepper, then scatter over the onion and garlic (this way, the onion and garlic will steam and won’t burn). Cover with a lid and don’t stir for 10-15 minutes until the onion starts to release moisture.', 'Remove the lid, add the sugar, saffron and apricots, then stir regularly. After 12 minutes, mix in 50g of the butter and the honey.', 'Break the 2 eggs into a small bowl and beat briefly, then stir into the chicken mixture until well combined. Transfer to a tray (or two trays) to cool.', 'Once cool, mix in the chopped herbs. Melt the remaining butter, then leave it to settle. When white solids form on top, scoop them off with a spoon. Warm the butter again just before baking.', 'Cut each filo sheet widthways into 3 x 10cm wide strips. (If you have sharp kitchen scissors, layer the sheets up and cut in 1-2 batches.) Layer up 3 strips of filo, brushing egg yolk between each one. Put 1 tbsp of the filling into the corner at one end, then fold the corner of the filo over the filling at about 45 degrees to make a rough triangular parcel at the end. Take the other corner of the filo and fold it over at about 45 degrees, keeping the triangular shape. Keep folding the pastry from one side to the other to finish with\xa0a triangular parcel. Fold over the end of the filo, sealing with a bit of egg yolk. Repeat with the remaining strips until the mixture is used up (see tip).', 'Heat the oven to 200°C/ 180°C fan/gas 6. Put the briouats on a baking sheet and brush with the melted clarified butter. Bake for 5-8 minutes until golden brown and crisp. Serve the briouats hot or just warm.']"
Spiced chicken with quinoa and lemon zest,Jordan Bourke’s Moroccan-inspired chicken recipe is completely wheat free making it suitable for people with coeliac disease.,"['4 British free-range chicken thighs and 4 wings', 'Extra-virgin olive oil', '1 tbsp ras el hanout (Moroccan spice mix, available from Sainsbury’s, Tesco, Waitrose and Ocado)', '1 tsp chilli flakes', '1 small red onion, halved and thinly sliced', '1 tsp ground cinnamon', '1 tsp ground cumin', '3 garlic cloves, crushed', '250g quinoa', '12 dried apricots, sliced', 'Finely grated zest ½\xa0unwaxed lemon', 'Handful each fresh flatleaf parsley, mint and coriander leaves, chopped, plus extra to garnish', '1 tbsp pomegranate molasses (from Sainsbury’s, Waitrose, Ocado or Middle Eastern food shops), or lemon juice', 'Dried rose petals to garnish (optional; from baking shops or ottolenghi.co.uk)']","['Heat the oven to 190°C/170°C fan/ gas 5. Put the chicken pieces in a large roasting tray and drizzle over 1 tbsp extra-virgin olive oil or just enough to coat them. Season with plenty of sea salt, sprinkle over the ras el hanout and chilli flakes, then use your hands to rub the spices into the chicken. Roast for 25-30 minutes until cooked through and the skin is crisp and golden.', 'Meanwhile, in a large saucepan, gently sauté the red onion in a little olive oil for about 5 minutes until soft. Add the cinnamon, cumin, garlic and 1 tsp salt, then fry for another couple of minutes until aromatic.', 'Add the quinoa and 500ml water to the pan. Bring to the boil, then turn the heat to low and cover with a lid. Cook for about 12 minutes, then remove the lid and continue to cook until all the water has been absorbed and the quinoa is quite dry.', 'Take the pan off the heat and stir in the apricots, lemon zest, herbs and pomegranate molasses (or lemon juice). Season to taste.', 'Serve the quinoa with the chicken on top. Scatter over extra herb leaves and, if you like, some dried rose petals.']"
Lemon and garlic chicken with couscous,"Our lemon and garlic chicken, served with couscous and fresh herbs, is a supper that’s full of sunshine. Made with chicken thighs and ingredients from your storecupboard, it’s a recipe you’ll return to again and again. Looking for something similar for a weekend feast? Sophie Michell’s lemon and garlic roast chicken will hit the spot.","['8 free-range bone-in chicken thighs', '2 lemons', '4 tbsp olive oil', '3 garlic cloves', '1 red onion', '320ml chicken stock', '240g couscous', 'Large handful fresh parsley', 'Large handful fresh mint, plus extra']","['Remove and discard the skin from the thighs. Grate the zest from the lemons and set aside. Squeeze the lemon juice into a large bowl with 2 tbsp of the oil. Season, add the chicken and toss to coat. Cover and set aside for 30 minutes (or see tip.)', 'Heat a large griddle pan over a high heat, then sear the thighs for 5 minutes on each side. Reduce the heat and cook for 5-10 minutes more until cooked through.', 'Meanwhile, thinly slice the garlic and onion. In a frying pan, heat ½\xa0tbsp of the remaining olive oil over a low heat. Fry the garlic and onion for 5 minutes until soft.', 'Heat the stock in a small pan until it comes to the boil. Put the couscous in a heatproof bowl, pour over the stock, cover and stand for 5 minutes. Uncover and fluff up with a fork, then stir through the rest of the oil and the onion and garlic mix. Chop the herbs, then mix through the couscous with the lemon zest and season. Serve with the chicken, garnished with extra mint.']"
Couscous with preserved lemons,This zesty Moroccan side dish of couscous with preserved lemons will add instant flavour to any meal. Serving with grilled lamb chops or fried halloumi to transform this side into an easy dinner.,"['400ml chicken or vegetable stock', '400g can chickpeas,\xa0drained and rinsed', '300g couscous', 'Zest and juice of a lemon', 'Glug of extra-virgin olive oil', '2 preserved lemons, quartered', '75g toasted pine nuts', 'Handful of chopped fresh parsley']","['Put the stock and chickpeas into a pan. Simmer for 2 minutes.', 'Put the couscous in a large dish, then pour over the stock and chickpeas. Stir, cover with cling film and set aside for 5 minutes. Uncover and fluff with a fork.', 'Add the lemon zest and juice, extra-virgin olive oil, lemons, pine nuts and parsley. Season.']"
Easy lamb tagine,"This easy Moroccan lamb tagine is a great recipe for using up storecupboard spices – cumin, ginger, coriander and cinnamon. It’s low in calories too.","['400g lamb leg steaks', '2 tbsp olive oil', '1 onion', '2 garlic cloves', '2 tsp ground coriander', '2 tsp cumin', '1 tsp ground ginger', 'Pinch of cinnamon', '400g can chopped tomatoes', '200ml chicken stock (we like Knorr)', '100g pitted prunes', '1 tbsp ground almonds', 'A handful chopped fresh coriander']","['Brown 400g lamb leg steaks, cubed, in 2 tbsp olive oil in a pan. Set aside. Add 1 onion, sliced, and 2 garlic cloves, chopped, to the pan and fry for 5 minutes.', 'Add 2 tsp each ground coriander and cumin, 1 tsp ground ginger and a pinch of cinnamon, and fry for 2 minutes.', 'Add the lamb and a 400g can chopped tomatoes and 200ml chicken stock. Add 100g pitted prunes, chopped. Simmer for 40-45 minutes.', 'Stir in 1 tbsp ground almonds and a handful chopped fresh coriander. Serve with herby couscous.']"
Spiced chicken pilaf with mint yogurt,"A fragrant one-pot recipe using leftover chicken, rice and Moroccan spices, served with a cooling mint yogurt.","['1 tbsp olive oil, plus extra to drizzle', '1 onion', '2 garlic cloves', '150g leftover roast chicken', '2 tbsp baharat or similar Moroccan spice mix (see tip)', '120g basmati rice', '350ml chicken stock', '3 spring onions', 'Small handful fresh mint', '200g Greek yogurt']","['Heat the oil in a large sauté pan. Slice the onion, then fry gently for 5 minutes, turning the heat up towards the end to colour lightly. Crush in the garlic and fry for 2 minutes.', 'Chop the chicken, then add to the pan with the baharat and cook for 2-3 minutes. Add the rice and stock, then season. Simmer gently without stirring for 15 minutes or until the stock has been absorbed and the rice is cooked but still has a little bite. Finely slice the spring onions, then stir through the rice and cook for 2 minutes.', 'Finely chop the mint, then stir through the yogurt. Divide the pilaf between 2 plates. Add a dollop of yogurt, drizzle it with oil, season, then serve.']"
