instructions,ingredients,title
"Preheat the oven to 350 degrees F. Spread the pitas on a baking sheet and bake until crisp and golden, about 10 minutes. Set aside.
Meanwhile, preheat a grill to medium high. Combine the ground beef, grated red onion, 1 tablespoon each olive oil and harissa, and 1/4 teaspoon each salt and pepper in a large bowl. Mix with your hands until just combined. Form into four 1-inch-thick patties; set aside.
Whisk the lemon juice with the remaining 1 tablespoon harissa in another large bowl. Gradually whisk in the remaining 2 tablespoons olive oil. Add the tomatoes, cucumbers, herbs and sliced red onion; toss to coat. Set aside.
Brush the grill grates with oil. Grill the burgers about 4 minutes per side for medium rare. Add the lettuce and pita wedges to the salad bowl; toss. Top each serving of salad with the feta and burgers.
Photograph by Charles Masters","['2 6-inch pitas, split and quartered', '1 pound lean ground beef sirloin', '1 red onion (1/2 grated, 1/2 sliced)', '3 tablespoons extra-virgin olive oil, plus more for the grill', '2 tablespoons harissa (chile paste)', 'Kosher salt and freshly ground pepper', 'Juice of 1/2 lemon', '2 beefsteak or heirloom tomatoes (about 1 pound), cut into 1-inch wedges', '2 Persian cucumbers, sliced 1/2 inch thick', '1/3 cup chopped fresh cilantro or mint (or a combination)', '1 small heart romaine lettuce, torn', '1/3 cup crumbled feta cheese (about 2 ounces)']",Moroccan Burger Salad
"Tear open the New Mexico and guajillo chiles and discard the seeds and stems. (You may leave the seeds in if you prefer a spicy harissa.) Tear the chiles into large pieces and place them in a medium bowl. Pour 2 cups boiling water over the chiles and let stand until softened, about 20 minutes.
Put the coriander and cumin seeds in a small skillet and cook, swirling often, over medium heat, until the seeds are fragrant and lightly toasted, 2 to 3 minutes. Transfer the spices to a blender and add the oil, garlic, lemon juice and 2 teaspoons kosher salt, then puree until smooth. Using tongs, add the chiles to the blender along with 1/2 cup of their soaking liquid (discard the rest) and puree until very smooth, about 2 minutes on high. Season the harissa with pepper and set aside.
Preheat the oven to 450 degrees F.
In a large bowl, toss the cauliflower with 3/4 cup of the harissa until each floret is evenly coated. Spread the cauliflower onto a rimmed baking sheet and drizzle with a little more vegetable oil. Roast, tossing halfway through, until the cauliflower is tender and the harissa has begun to caramelize, about 40 minutes.
Transfer the cauliflower to a serving platter and sprinkle with the cilantro. Serve with the remaining 1/4 cup harissa on the side for dipping.","['5 dried New Mexico chiles (about 1 ounce)', '4 dried guajillo chiles (about 1 ounce)', '2 cups boiling water', '1/4 teaspoon whole coriander seeds', '1/4 teaspoon whole cumin seeds', '2 tablespoons vegetable oil, plus more for roasting', '3 cloves garlic, roughly chopped', 'Juice of 1/2 lemon (about 1 tablespoon)', 'Kosher salt and freshly ground pepper', '1 large head cauliflower, cut into 2-inch florets (about 8 cups)', '1/4 cup lightly packed fresh cilantro leaves']",Moroccan Harissa Roast Cauliflower
"Watch how to make this recipe.
Preheat the grill or grill pan to medium-high heat.
For the Chicken:
Combine all of the spices, sugar and salt in a large bowl. Add the cubed chicken and toss to coat. Put the chicken on the skewers and lay on the grill. Cook until the chicken is cooked through, turning often so that the spices don't burn, about 10 to 12 minutes. Arrange on a serving platter and serve with the Herb Sauce.
For the Herb Sauce:
Add the fresh herbs, spices, salt, lime juice, and honey to a blender carafe. Blend to combine and with the motor running, slowly add the olive oil. Once combined, taste and adjust the seasoning if necessary, and transfer to a serving bowl.","['1 tablespoon Hungarian paprika', '1 1/2 teaspoons ground cumin', '1/2 teaspoon ground ginger', '1/2 teaspoon ground cinnamon', '1 1/2 teaspoons sugar', '1 1/2 teaspoons kosher salt', '3 boneless, skinless chicken breasts, cut into 1-inch cubes', '5 (8-inch) wooden skewers, soaked 1 hour', '1/4 cup cilantro leaves', '1/2 cup mint leaves', '1/4 teaspoon ground cumin', '1/2 tablespoon ground ginger', '1/2 tablespoon kosher salt', '1 lime, juiced', '1 1/2 teaspoons honey', '1/2 cup olive oil']",Moroccan Chicken Skewers with Herb Sauce
"Combine the apple cider, brown sugar, salt, freshly ground black pepper, garlic, and a pinch of cinnamon. For best results put in large resealable plastic bag. Add the lamb. Turn to coat the lamb. Squeeze out the air and seal the bag. Refrigerate for 30 minutes. Preheat the oven to 350 degrees F. Remove the lamb from the refrigerator and place in a roasting pan. Roast for 10 to 15 minutes (depending on temperature of meat preferred). Remove from oven and preheat the broiler. Place 3 pear wedges on top of each piece of lamb. Place lamb under broiler for 2 to 3 minutes to allow the pears to caramelize with the brown sugar. Serve with Fried Plantains.
Fried Plantains: Vegetable oil 2 green plantains, peeled, and sliced thinly lengthwise with a mandoline Salt
Fill a deep pot halfway with oil. Heat the oil to 350 degrees F. Place plantains in hot oil and fry until golden and crisp. Remove to drain on a paper towel lined plate. Season immediately with salt.","['1 pair of ""frenched"" lamb chops', '1/3 cup apple cider', '1 teaspoon brown sugar', 'Salt and freshly ground black pepper', '2 cloves garlic, minced', '1 pinch cinnamon', '1 bosc pear, cored and cut into 6 wedges', 'Fried Plantains, recipe follows']",Moroccan Lamb Chops
"Preheat the oven to 400 degrees F.
Combine the cumin, coriander, and fennel seeds with a mortar and pestle, or slightly crush the whole seeds in a spice grinder, pulsing just until coriander is just broken; do not over process. (The spices can also be crushed using a heavy cast iron skillet.) Transfer the seeds to a small bowl, and toss with the salt and pepper.
Dip side of the salmon into the spice mixture to coat heavily. Repeat with all of the salmon cubes.
Heat a large ovenproof skillet over medium heat. Do not add any oil. Place the salmon cubes, spice side down, into the pan. Cook until the spices are dry, golden, and toasted, about 4 minutes. Immediately transfer the pan to the oven; remove when salmon is just cooked through, about 30 seconds. Transfer the salmon bites to a serving platter, and skewer with toothpicks. Serve warm Citrus Dipping Sauce.
Citrus Dipping Sauce:
2 tablespoons fresh lime juice
1 tablespoon fresh lemon juice
1/4 cup fresh orange juice
1 lime, 1 lemon, and 1 orange, zested
1/2 cup kaffir or sheep's-milk yogurt
1/2 cup plain yogurt
Coarse salt
In a small saucepan over high heat, combine the lime, lemon, and orange juices with 1/2 teaspoon of the orange zest. Boil to reduce until thick and syrupy, making about 1 tablespoon. Remove from heat, and let cool.
In a medium bowl, combine the citrus syrup and the yogurts. Mix with a spoon until well combined. Season with salt, to taste. Keep refrigerated until ready to use. Sprinkle the remaining zest over the top before serving.
Yield: 1 cup","['1 1/2 teaspoons whole cumin seeds', '1 teaspoon whole coriander seeds', '2 teaspoons whole fennel seeds', '1 teaspoon coarse salt', '1/8 teaspoon freshly ground pepper', '1 3/4 pounds salmon fillet, skin removed, cut into 3/4-inch cubes', 'Citrus Dipping Sauce, recipe follows']",Moroccan Salmon Skewers
"Special equipment: coffee grinder, Dutch oven
In a medium glass bowl, combine the spice mixture, 2 tablespoons of the olive oil, the lemon zest, lemon juice, and harissa. Add the chicken thighs and stir to coat. Cover the bowl with plastic wrap and refrigerate at least 1 hour or up to 3 hours. Warm the chicken broth and add the saffron strands, then allow to steep at least 1 hour or up to 3 hours.
Preheat the oven to 350 degrees F.
Remove the chicken thighs from the marinade. In a Dutch oven over high heat, brown the chicken thighs on both sides in 2 tablespoons olive oil, about 2 to 3 minutes per side. Set chicken aside on a plate. Reduce the heat to medium, add 1 tablespoon olive oil to the pan, and saute the onion until golden, about 5 minutes. Place the chicken thighs on top of the onions and add any accumulated juices from the plate. Arrange the zucchini and yellow squash and tomato quarters on top of the chicken and tuck in the prunes and olives. Season well with salt and pepper. Pour over the chicken broth and saffron. Cover and place on the bottom rack of the oven. Let cook undisturbed 1 1/2 to 2 hours, until the vegetables are tender and the chicken is falling off the bone. Remove from the oven and transfer the contents of the Dutch oven to a large serving dish.
Heat 2 tablespoons olive oil in a small saucepan over high heat until hot but not smoking. Add the almonds and fry until the skins begin to crackle, about 2 to 3 minutes. Pour the almonds and hot oil over the vegetables and chicken on the serving dish. Sprinkle with the chopped parsley and serve, spooning over the sauce in the dish and garnishing each plate with the lemon quarters.
Combine the spices in a coffee grinder and grind to a medium-fine powder. Add the kosher salt and pepper. Store in an air-tight container, if not using immediately.","['7 tablespoons olive oil', '1 lemon, zest grated and juiced (about 2 to 3 tablespoons juice) plus 2 lemons, quartered, for garnish', '1 teaspoon harissa', '4 skinless chicken thighs, (about 2 pounds)', '1/2 cup chicken broth', 'Pinch saffron strands', '1 large onion, chopped', '3 medium zucchini, cut into 1/2-inch half moons or chunks', '3 yellow squash, cut into 1/2-inch half moons or chunks', '3 medium plum tomatoes, quartered', '1/2 cup dried pitted prunes (about 10)', '1/4 cup black olives, pitted', 'Coarse salt and freshly cracked black pepper', '1/4 cup almonds', '2 tablespoons chopped fresh flat-leaf parsley', 'Serving Suggestion: flatbread', 'Spice Mixture, recipe follows', '1 teaspoon ground cinnamon', '1 teaspoon ground cardamom', '1/4 teaspoon ground turmeric', '1/2 teaspoon ground cumin', '1/2 teaspoon sweet paprika', '1/2 teaspoon ground ginger', '1 1/2 teaspoons kosher salt', '1/2 teaspoon cracked black pepper']",Moroccan Chicken with Squash and Dried Plums
"Char the bell and chile peppers under a hot broiler until the skins are evenly blackened. Place in a bowl and cover to cool to handle. Wipe the charred skins away with paper towels and seed the peppers. Reserve for later use.
Heat a large skillet over medium-high heat, add the oil. Sprinkle the chicken thighs with salt and pepper on both sides. Add the chicken to the hot oil and brown on both sides, 4 to 5 minutes. Remove the chicken to a plate and reduce the heat a bit. Add the garlic, bay leaf, cinnamon, ginger, onions, paprika, cumin and some salt and pepper, and cook to soften a bit, stirring occasionally. Add a splash of vinegar.
Place the peeled peppers in the bowl of a food processor with 1 cup of the stock, and process until pureed. Add the puree to the pan, thin with about 1/2 cup water and slide the chicken back into the pan. Reduce the heat to a simmer and finish cooking the chicken through. Turn off heat and cover until you serve.
To serve, heat the remaining 1 1/2 cups stock (or 1 cup stock and 1/2 cup water) and the butter to a boil with the rice. Bring to a bubble, then reduce the heat to low and cover. Simmer the rice for about 15 minutes. Turn off the heat and let stand 5 to 10 minutes, then fluff with fork.
In shallow bowls, top the rice with the chicken in spicy sauce, garnish with scallions before serving.
Get Rachael's shopping list for this episode's recipes here.","['3 red bell peppers', '3 red chile peppers such as Fresno or Holland finger peppers', '2 tablespoons olive oil', '8 boneless, skinless chicken thighs', 'Salt and pepper', '3 cloves garlic, chopped', '1 bay leaf', '1 small piece cinnamon stick or a pinch ground cinnamon', '1 inch fresh ginger root, peeled and grated or pasted', '1 onion, finely chopped', '2 teaspoons smoked sweet paprika (2/3 palmful)', '1 teaspoon ground cumin (1/3 palmful)', 'White wine vinegar', '2 1/2 cups chicken stock', '1 tablespoon butter', '1 1/4 cups basmati or other white long grain rice', 'Thinly sliced scallions, for garnish']",Moroccan Red Harissa Chicken
"Heat the oil in a large skillet over medium-high heat. Add the onions and cook, stirring occasionally, until browned, about 7 minutes. Add the chickpeas, raisins, harissa, cinnamon, cumin, 1/2 teaspoon salt and 1/4 teaspoon pepper and cook, stirring, until the spices are toasted, about 30 seconds.
Working over the skillet, rip the tomatoes into large chunks with your hands and add to the skillet; add 2 cups water. Reduce the heat to medium-low, cover and simmer until the tomatoes and chickpeas have softened, about 12 minutes. Stir in the squash and olives, cover and cook until the squash is tender, about 5 minutes. Stir gently, so as not to break apart the squash too much, and simmer, uncovered, until the sauce is slightly thickened, about 5 minutes.
While the tagine simmers, prepare the couscous according to package directions.
Remove the tagine from the heat, and stir in the cilantro. Adjust the seasoning with additional salt, pepper and harissa. Divide the couscous between four plates, and spoon the tagine over it. Serve with additional harissa on the side.","['2 tablespoons extra-virgin olive oil', '1/2 medium yellow onion, cut from root to tip into 1/4-inch-thick slices', 'One 15.5-ounce can chickpeas, strained', '1/3 cup golden raisins or chopped dried apricots', '1 tablespoon harissa or 2 teaspoons sriracha, plus more if desired', '3/4 teaspoon ground cinnamon', '3/4 teaspoon ground cumin', 'Kosher salt and freshly ground black pepper', '3 whole peeled canned tomatoes', 'One 10-oz package frozen diced butternut squash', '1/3 cup pitted green olives, smashed with the side of a knife', '1 cup couscous', '2 tablespoons chopped fresh cilantro']",Shortcut Moroccan Vegetable Tagine with Couscous
"Special equipment: 1 package wooden skewers, soaked in water for 30 minutes
Combine all spices and seasonings in a small bowl. Place lamb cubes in a shallow baking dish or large bowl. Rub spice mixture into lamb with hands. Thread lamb cubes onto skewers, about 3 per skewer.
Preheat a grill or grill pan to high heat. Grill kabobs for 3 minutes per side, or until cooked to desired doneness. Transfer to a serving platter and serve with Mint-Parsley Yogurt Sauce for dipping.
Stir together the yogurt, mayonnaise, lemon juice, and garlic in a medium bowl. Season with salt and pepper, to taste. Add the chopped fresh herbs and gently stir to combine. Cover and refrigerate until ready to serve.
Yield: about 1 1/4 cups","['1 teaspoon ground cinnamon', '1 teaspoon ground coriander', '1 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon ground cumin', '1/2 teaspoon ground nutmeg', '3 pounds boneless leg of lamb, cut into 1-inch cubes', 'Mint-Parsley Yogurt Sauce, recipe follows', '1 cup plain yogurt (2 percent or whole is best)', '1 tablespoon mayonnaise', '2 tablespoons freshly squeezed lemon juice', '2 cloves garlic, pressed', 'Salt and freshly ground black pepper', '2 tablespoons chopped fresh mint leaves', '2 tablespoons chopped fresh flat-leaf parlsey leaves']",Moroccan Lamb Kabobs
"Steep mint and tea in nearly boiling water for 3 to 5 minutes. Remove mint and tea, stir in sugar and serve immediately.;","['4 sprigs fresh mint', '3 tablespoons green tea', '3 tablespoons sugar', 'Nearly boiling water']",Moroccan Mint Tea
"Put broth in the couscousiere pot, add the onions, tomatoes, meat, parsley, olive oil, saffron, ginger and salt and pepper. Boil on medium high heat for 5 to 10 minutes. Put the keskes on top of the pot and add couscous slowly. Let the couscous steam for 1/2 hour.
After steam starts coming up, take the couscous out of keskes and transfer into a large bowl (gsaa). Break up any clumping grains of couscous with wooden spoon, and cool for a few minutes. Sprinkle 1/2 cup to 3/4 cup cold water on the couscous while it is in the bowl, to make the grains larger and soft. Return to heat and steam for another 30 minutes. Remove the couscous from the pot and transfer to the large bowl. Again, break up any clumps and sprinkle with 1/2 cup to 3/4 cup of water. Remove the meat from the couscousiere, cover and set aside. Add vegetables to the couscousiere and return the couscous to the keske and place in the couscousiere. Cook the vegetables and the couscous for 30 to 45 minutes on medium high heat. After the vegetables and couscous are all fully cooked, remove the couscousiere from heat. Return the couscous to a large bowl and add butter. Place the couscous on a platter, forming a hole in the middle of the couscous. Place meat in the hole and top with vegetables. Put sauce around sides of the platter. Serve guests additional sauce in small bowls.","['2 quarts water (or beef broth) plus 2 cups to use during couscous procedure', '1 large yellow onion, chopped', '1 large tomato, diced', '4 pounds lamb shoulder or lamb shank, cut into 2-inch pieces', '1 small bouquet parsley, approximately 1/2 cup', '1/2 cup olive oil', '1/2 teaspoon saffron', '1/2 teaspoon ground ginger', 'Salt, to taste', '1 tablespoon black pepper', '24 ounces couscous', '1 pound green and yellow zucchini cut in half lengthwise', '1 pound baby carrots', '1 pound potatoes, any kind, peeled and cut into quarters', '1/2 head cabbage, diced', '1 pound peas, fresh or frozen', '2 rutabagas, peeled and diced', '2 large turnips, peeled and cut into quarters', '1/2 cup butter, softened', '* Bay leaves and fresh thyme may also be added to the recipe', '* 2 to 3 whole jalapenos can also be added to the vegetables, then served separately']",Moroccan Couscous with Meat and Vegetables
"HEAT oil in a 2 1/2 or 3 quart saucepan over medium heat. Add onion, bell pepper and garlic. Cook just until onion is translucent. Add broth and bring to a boil.
WHISK in peanut butter and cumin. Blend well. Season with salt and pepper to taste. Add peas and bring to a boil. Stir in couscous and return to a boil, stirring constantly.
REMOVE from heat. Cover and let sit about 5 minutes or until liquid is absorbed. Fluff with a fork; serve immediately.","['2 tbsps. Crisco® Pure Canola Oil', '1/2 cup chopped onions', '1/2 cup chopped red or green bell pepper', '2 to 3 cloves garlic, minced', '1 1/2 cups chicken or vegetable broth', '1/2 cup Jif® Extra Crunchy Peanut Butter', '1/2 tsp. ground cumin', 'Salt and pepper', '1 (10 oz.) pkg. frozen peas (tiny deluxe, if possible)', '1 cup couscous']",Moroccan Peanut Couscous with Peas
"Preheat oven to 425 degrees F.
Coarsely grind caraway seeds with salt in an electric coffee/spice grinder or crush with a rolling pin. Mince garlic, then mash to a paste with salt mixture using flat side of a chef's knife. Transfer paste to a large bowl and whisk in honey, lemon juice, oil, spices, and pepper.
Put zucchini, turnips, bell peppers, butternut squash, and onions in an oiled large roasting pan, then add half of spice mixture and toss until well coated. Stir tomatoes and broth into vegetables. Add hens to large bowl with remaining spice mixture and toss to coat, then arrange hens, breast sides up, over vegetables in pan.
Cover pan tightly with foil and roast in middle of oven 15 minutes. Uncover and roast until hens are browned and vegetables are tender, 45 minutes more. Skim fat from cooking liquid. Sprinkle herbs on top and spoon some cooking liquid over hens.","['1 teaspoon caraway seeds', '1 1/2 tablespoons salt', '4 garlic cloves', '1/4 cup mild honey', '1/4 cup fresh lemon juice', '2 tablespoons olive oil', '2 tablespoons paprika', '4 teaspoons ground cumin', '2 teaspoons ground ginger', '1 1/2 teaspoons ground cinnamon', '1/2 teaspoon cayenne', '1 teaspoon ground black pepper', '2 large zucchini (1 1/4 pounds total), halved lengthwise and cut into 1/2-inch pieces', '2 medium turnips (1/2 pound total), peeled, halved lengthwise, and cut crosswise into 3/4-inch pieces', '2 red bell peppers, quartered and cut into 1-inch pieces', '1 1/2 pounds butternut squash, peeled, seeded, and cut into 3/4-inch cubes', '2 medium onions, cut lengthwise into 1-inch-thick wedges', '1 (28-ounces) can whole tomatoes, drained and chopped', '1/2 cup chicken broth', '4 (1 1/4 to 1 1/2-pound) Cornish hens, halved lengthwise', '2 tablespoons chopped fresh parsley', '2 tablespoons chopped fresh cilantro', '2 tablespoons chopped fresh mint', 'Serving suggestion: cooked couscous']",Moroccan-Style Roast Cornish Hens with Vegetables
"Combine the tomatoes, chicken broth, apricots, onion and butter in a 7-to-8-quart slow cooker. Add 2 minced garlic cloves, 1 teaspoon molasses, 1 teaspoon paprika, 1/2 teaspoon pie spice, the lemon juice, 3/4 cup cilantro, 1/2 teaspoon salt and a few grinds of black pepper. Cover and set on high.
Combine the turkey, breadcrumbs, creme fraiche, parsley and the remaining 1/4 cup cilantro, 1 minced garlic clove, 2 teaspoons paprika and 1/2 teaspoon pumpkin pie spice in a large bowl. Add the cayenne, 1 teaspoon salt and a few grinds of black pepper and mix with a spoon or your hands. Dampen your hands and form the mixture into about 32 meatballs, 1 1/2 inches each. Place the meatballs in a single layer in the slow cooker, nestling them in the sauce. Cover and cook on high, 3 hours.
Just before serving, drizzle the meatballs with the remaining 1 tablespoon pomegranate molasses. Sprinkle with pomegranate seeds and scallions.
Photograph by Andrew Purcell","['1 14-ounce can diced tomatoes', '1/2 cup low-sodium chicken broth', '1/2 cup chopped dried apricots', '1 onion, grated', '2 tablespoons unsalted butter', '3 cloves garlic, minced', '1 tablespoon plus 1 teaspoon pomegranate molasses', '1 tablespoon paprika', '1 teaspoon pumpkin pie spice Juice of 1/2 lemon', '1 cup chopped fresh cilantro Kosher salt and freshly ground black pepper', '1 3/4 pounds lean ground turkey', '1/2 cup breadcrumbs', '2 tablespoons creme fraeche or heavy cream', '1/4 cup chopped fresh parsley', '1/4 teaspoon cayenne pepper', 'Pomegranate seeds and sliced scallions, for topping']",Slow-Cooker Moroccan Turkey Meatballs
"Place a large high-sided saute pan over medium heat with the oil. Add the onion and garlic to the pan and cook, stirring often, until just tender, 3 to 4 minutes. Add the tandoori spice, cinnamon and tomato paste to the pan and continue cooking until caramelized and very aromatic, about 2 minutes.
Add the chicken stock, tomatoes, lentils and honey and bring the liquid up to a boil while scraping any caramelized bits up from the bottom of the pan. Reduce the heat to medium-low and simmer until the lentils are almost cooked through, about 10 minutes. Add the green beans, chicken and lemon zest to the pan and continue cooking until the lentils and beans are cooked through, 2 to 3 minutes. Season with salt and pepper.
Serve the stew over steamed white rice garnished with cilantro.","['2 tablespoons olive or vegetable oil', '1 small onion, finely chopped', '3 cloves garlic, thinly sliced', '1 tablespoon tandoori spice', '3/4 teaspoon ground cinnamon', '1 tablespoon tomato paste', '2 cups chicken stock', 'One 28-ounce can whole peeled tomatoes, lightly crushed', '1 cup red lentils', '1 tablespoon honey', '1/2 pound green beans, stems trimmed, cut into 1-inch pieces', '3 to 4 cups shredded chicken (from 1 rotisserie chicken)', 'Zest of 1 lemon', 'Salt and ground black pepper', '4 cups steamed white rice, such as Jasmine', 'Chopped fresh cilantro, to garnish']",Moroccan Chicken Stew with Green Beans
"Watch how to make this recipe.
Preheat the oven to 400 degrees F. Line a baking sheet with parchment paper.
Pat the chickpeas dry between two paper towels then place on the baking sheet. Drizzle with the olive oil then roast the chickpeas in the middle of the oven, tossing every 15 minutes, until deeply golden, dry and crunchy, 40 to 45 minutes.
While the chickpeas roast, prepare the spice mixture: combine the cumin, brown sugar, cayenne, cinnamon, garlic, ginger, paprika and salt in a medium bowl. Mix until the color is uniform. As soon as the chickpeas come out of the oven, toss with the spice blend. Serve warm or at room temperature.","['One 15.5-ounce can low-sodium chickpeas, drained and rinsed', '1 tablespoon olive oil', '1/2 teaspoon ground cumin', '1/2 teaspoon light brown sugar', '1/4 teaspoon cayenne', '1/4 teaspoon ground cinnamon', '1/4 teaspoon garlic powder', '1/4 teaspoon ground ginger', '1/4 teaspoon paprika', '1/4 teaspoon kosher salt']",Moroccan Spiced Roast Chickpeas
"Preheat the oven to 325 degrees F.
In a medium bowl, add the meat, 1 small onion, grated on box grater or with handheld flat grater, directly over mixing bowl. Add 2 cloves finely chopped garlic, panko, about 2 tablespoons of the extra-virgin olive oil, the egg, the zest and juice of 1 lemon. Mix to combine. Add the olives, spices, a handful of parsley and a handful of mint. Combine well. Form the mixture into 4 individual rolls and bake on a parchment lined sheet pan until golden brown, about 35 to 40 minutes. The meat loaves may be made ahead and stored; reheat in pan gravy.
Heat a medium shallow pot over medium heat, add 2 tablespoons butter and melt, then add the remaining garlic, and combine. Stir in the zucchini, season with salt and pepper, to taste, and cook for 5 minutes. Add 1 1/2 cups stock to the pan and bring the mixture to a bubble. Add 1 1/2 cups of couscous and remaining handful of chopped mint. Turn off the heat and cover pan. Let stand for 5 minutes, then fluff with a fork.
Meanwhile, heat 2 tablespoons butter to a medium skillet over medium to medium-high heat. Whisk the flour into melted butter, then add the Worcestershire sauce and remaining 1 cup of chicken stock, the remaining lemon zest and juice, 1/4 cup honey, and salt and pepper, to taste. Slide the meat loaves into the sauce. (If the meat loaves are cold, tent with foil and gently reheat in low simmering sauce.) Once the meat loaves are warm, transfer them to a serving plate and raise the heat to high. As soon as the sauce becomes syrupy after 1 to 2 minutes, drizzle it over meat and serve with couscous alongside.","['1 1/2 pounds ground lamb or chicken', 'Salt and freshly ground black pepper', '1 small onion, peeled', '4 cloves garlic, finely chopped', '2/3 cup panko bread crumbs', '2 tablespoons extra-virgin olive oil', '1 large egg, beaten', '2 lemons, zested and juiced', '1/4 cup pitted, finely chopped green olives', '1 tablespoon ground cumin, a scant palmful', '1 teaspoon turmeric, 1/3 palmful (for chicken only)', '2 pinches ground cinnamon', 'A handful flat-leaf parsley, finely chopped', '2 handfuls fresh mint leaves, finely chopped', '4 tablespoons butter', '1/2 pound firm zucchini, chopped into small dice', '2 1/2 cups chicken stock', '1 cup couscous', '2 tablespoons all-purpose flour', '1 tablespoon Worcestershire sauce', '1/4 cup honey']",Moroccan Meatloaf with Lemon Honey Gravy and Zucchini Couscous
"Preheat the oven to 400 degrees F. Make the broth: Combine the turmeric, ginger, cinnamon, saffron and 1/2 teaspoon pepper in a medium saucepan over medium heat; toast, stirring, 1 minute. Add 2 1/2 cups water, the vegetable juice and harissa. Bring to a simmer and cook until slightly reduced, about 15 minutes; remove from the heat.
Prepare the vegetables: Combine the squash, turnips, celery, onion and raisins in a bowl; season with salt. Add 1 cup of the broth and half each of the cilantro and parsley; stir. Set aside the remaining broth.
Tear off four 16-inch sheets of parchment paper. Make the packets (see photo gallery): Arrange about one-quarter of the vegetable mixture on one sheet of parchment along with some of the liquid from the bowl. Top with 2 shiitakes, 2 bell pepper halves, 2 lemon pieces and 1 tablespoon butter. Seal as directed. Repeat to make 3 more packets; divide between 2 baking sheets.
Transfer to the oven and bake until the parchment puffs and the vegetables are tender, 35 to 40 minutes. Let rest 5 minutes before opening.
Meanwhile, prepare the couscous as the label directs; fluff with a fork. Bring the remaining broth to a simmer; stir in the remaining cilantro and parsley. Carefully open the packets; add the couscous, drizzle with the broth and season with salt. Photograph by David Malosh","['1/2 teaspoon ground turmeric', '1/2 teaspoon ground ginger', '1/2 teaspoon ground cinnamon', 'Pinch of saffron threads', 'Freshly ground pepper', '1 1/2 cups low-sodium vegetable juice', '2 teaspoons harissa (or 1/2 red jalapeno pepper, seeded and minced)', '1 1/4 pounds kabocha or butternut squash (about 1/2 large), peeled, seeded and cut into 1-inch cubes (about 4 cups)', '2 bunches baby turnips (about 12), trimmed and halved', '2 stalks celery, thinly sliced', '1 onion, cut into thin wedges', '1/2 cup raisins', 'Kosher salt', '3 tablespoons chopped fresh cilantro', '3 tablespoons chopped fresh parsley', '8 shiitake mushrooms, stemmed', '4 baby bell peppers, halved lengthwise', '4 thin slices lemon, halved', '4 tablespoons unsalted butter', '1 cup couscous']",Moroccan Vegetable Packets
"For the couscous: Preheat the oven to 400 degrees.Place the water in an ovenproof casserole. Whisk the curry, salt pepper into the water. Whisk the couscous into the water. Let the couscous stand for 10 minutes to absorb the water.
Pour half of the olive oil into the couscous. Work the olive oil into the couscous by hand, rubbing the kernels to fluff the couscous break up any clumps, making sure that the couscous is evenly coated with the oil. Place the casserole into the oven and bake for 20 minutes.
Remove the casserole from the oven and pour the rest of the oil into the couscous. By hand or with a spoon, work the oil through the couscous, breaking up any clumps.
For the raita: Place the yogurt, mint, cumin, salt and cucumbers in a bowl and stir to combine. Check the seasoning and adjust if necessary. Refrigerate until time to use.
For the vinaigrette: Place the oil, lemon juice, cilantro, parsley, garlic, cumin, paprika and cayenne in a bowl and stir to combine. Season the charmoula with salt and pepper.
For the kebabs: Combine the beef, onions, powdered milk, cilantro, mint, ginger, cayenne, salt and pepper in a bowl and mix thoroughly to combine. Divide the mixture into 8 balls. Form each ball into a kebab cylinder about 3 inches long. Refrigerate the kebabs until ready to grill.
In the meantime soak, wooden skewers in water. Heat the grill to high heat. Insert the skewers into the kebabs. Brush the kebabs with olive oil and grill until they are cooked, 34 minutes per side.
To complete the dish, place a mound of couscous on a serving plate for each person. Place 2 kebabs on each plate. Garnish the plate with the raita and drizzle the charmoula on the kebabs. Serve with warm pita bread.","['2 1/2 cups warm water', '1 tablespoon curry powder', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '2 1/2 cups fine couscous', '3 tablespoons olive oil', '1 cup Greek yogurt', '1 tablespoon minced fresh mint', '1/2 teaspoon ground cumin', '1/4 teaspoon salt', '1 small English cucumber, peeled, seeded, diced', '1/2 cup olive oil', '1/4 cup lemon juice', '1/4 cup chopped fresh cilantro', '1/4 cup chopped fresh parsley', '1 tablespoon minced garlic', '1 teaspoon ground cumin', '1/2 teaspoon paprika', '1/4 teaspoon cayenne', 'Salt and freshly ground black pepper', '1 1/2 pounds ground beef', '1/2 cup finely minced red onion', '2 ounces nonfat powdered milk', '2 tablespoons chopped fresh cilantro', '2 tablespoons chopped fresh mint', '1 tablespoon ground ginger', '1 teaspoon cayenne', '1/2 teaspoon salt', '1/2 teaspoon freshly ground pepper', 'Olive oil, for brushing', 'Pita bread, warmed, for serving']","Moroccan Beef Kebabs with Curried Couscous, Raita and Charmoula Vinaigrette"
