ingredients,instructions,title
"['1/4 cup orange juice', '1 tablespoon mild honey', '1 teaspoon fresh lemon juice', '1 (3-inch) cinnamon stick', '1/4 teaspoon dried hot red pepper flakes', '2 tablespoons unsalted butter', '1/2 teaspoon ground cumin', '1/2 teaspoon paprika (not hot)', '1/4 teaspoon black pepper', '2 tablespoons olive oil', ""1 3/4 lb boneless chicken breast slices (1/4 inch thick; see cooks' note, below)"", '1 1/4 teaspoons salt', 'Special equipment: a well-seasoned large (2-burner) ridged grill pan']","Prepare grill pan and start sauce: Heat grill pan over moderate heat until hot. Meanwhile, simmer all sauce ingredients except butter in a 1-quart saucepan, uncovered, stirring occasionally, 2 minutes. Set aside while cooking chicken.
Heat grill pan over moderate heat until hot.
Meanwhile, simmer all sauce ingredients except butter in a 1-quart saucepan, uncovered, stirring occasionally, 2 minutes. Set aside while cooking chicken.
Make paillards: Cook cumin, paprika, and pepper in oil in a small skillet over moderately low heat, stirring, until fragrant, about 2 minutes. Transfer to a small bowl, reserving skillet for sauce (do not clean). Brush some spiced oil on 1 side of each paillard, then sprinkle with some salt. Arrange 2 paillards in grill pan, oiled sides down, and brush tops with some of spiced oil, then sprinkle with some salt. Grill 2 minutes, then turn over and grill until just cooked through, about 3 minutes more. Transfer to a platter and cover with foil. Grill remaining paillards in same manner, transferring to platter.
Cook cumin, paprika, and pepper in oil in a small skillet over moderately low heat, stirring, until fragrant, about 2 minutes. Transfer to a small bowl, reserving skillet for sauce (do not clean). Brush some spiced oil on 1 side of each paillard, then sprinkle with some salt. Arrange 2 paillards in grill pan, oiled sides down, and brush tops with some of spiced oil, then sprinkle with some salt. Grill 2 minutes, then turn over and grill until just cooked through, about 3 minutes more. Transfer to a platter and cover with foil. Grill remaining paillards in same manner, transferring to platter.
Finish sauce: Pour sauce through a medium-mesh sieve into reserved small skillet, discarding solids. Add any juices from chicken accumulated on platter to sauce and bring to a boil. Remove from heat, then add butter and swirl skillet until butter is just incorporated. Season sauce with salt and spoon over chicken.
Pour sauce through a medium-mesh sieve into reserved small skillet, discarding solids. Add any juices from chicken accumulated on platter to sauce and bring to a boil. Remove from heat, then add butter and swirl skillet until butter is just incorporated. Season sauce with salt and spoon over chicken.",Moroccan-Spiced Chicken Paillards 
"['1 large onion', '1 garlic clove', '1 medium fennel bulb (sometimes called anise; about 1/2 pound)', '1 large zucchini', '2 small carrots', '1 large vine-ripened tomato', '2 tablespoons extra-virgin olive oil', '1 teaspoon turmeric', '1/2 teaspoon ground cumin', '1/4 teaspoon ground ginger', 'freshly ground black pepper']","Cut enough onion into 1/4-inch dice to measure 1 cup and thinly slice garlic. Trim fennel stalks flush with bulb, discarding stalks. Halve bulb and core. Cut enough fennel bulb into 1/4-inch dice to measure 1 1/4 cups. Cut enough zucchini into 1/4-inch dice to measure 1 1/2 cups. Cut enough carrot into 1/4-inch dice to measure 2/3 cup. Peel tomato (see below), reserving boiling water and ice water, and seed. Cut enough tomato into 1/4-inch dice to measure 3/4 cup. Add carrot to boiling water and cook 1 minute. Drain carrot in a colander. Transfer carrot to ice water to stop cooking and drain. In a large heavy skillet cook onion and garlic in oil over moderately low heat, stirring, until softened. Add fennel, zucchini, and carrot and cook, stirring, until slightly softened, about 5 minutes. Add spices and cook, stirring, 1 minute. Stir in tomato and pepper and salt to taste and cook, covered, over low heat, stirring occasionally, until fennel and carrot are just tender, 10 to 12 minutes. Keep vegetables warm, partially covered. Vegetables may be prepared 1 day ahead and chilled, covered. Reheat vegetables with 1 to 2 tablespoons water.
Cut enough onion into 1/4-inch dice to measure 1 cup and thinly slice garlic. Trim fennel stalks flush with bulb, discarding stalks. Halve bulb and core. Cut enough fennel bulb into 1/4-inch dice to measure 1 1/4 cups. Cut enough zucchini into 1/4-inch dice to measure 1 1/2 cups. Cut enough carrot into 1/4-inch dice to measure 2/3 cup.
Peel tomato (see below), reserving boiling water and ice water, and seed. Cut enough tomato into 1/4-inch dice to measure 3/4 cup. Add carrot to boiling water and cook 1 minute. Drain carrot in a colander. Transfer carrot to ice water to stop cooking and drain.
In a large heavy skillet cook onion and garlic in oil over moderately low heat, stirring, until softened. Add fennel, zucchini, and carrot and cook, stirring, until slightly softened, about 5 minutes. Add spices and cook, stirring, 1 minute. Stir in tomato and pepper and salt to taste and cook, covered, over low heat, stirring occasionally, until fennel and carrot are just tender, 10 to 12 minutes. Keep vegetables warm, partially covered. Vegetables may be prepared 1 day ahead and chilled, covered. Reheat vegetables with 1 to 2 tablespoons water.
To peel tomatoes: Have ready a bowl of ice and cold water. Cut an X in blossom end of each tomato. In a saucepan of boiling water blanch tomatoes 10 seconds. Transfer tomatoes with a slotted spoon to ice water to stop cooking. Peel tomatoes.
Have ready a bowl of ice and cold water. Cut an X in blossom end of each tomato. In a saucepan of boiling water blanch tomatoes 10 seconds. Transfer tomatoes with a slotted spoon to ice water to stop cooking. Peel tomatoes.",Moroccan-Spiced Vegetables 
"['4 boneless skinless chicken breast halves', '2 tablespoons olive oil', '2 medium onions, sliced 1/4 inch thick', '2 garlic cloves, thinly sliced', '1/2 teaspoon turmeric', '1/2 teaspoon freshly ground black pepper', '8 pieces preserved Meyer lemon', '1/2 cup chicken broth', '1/4 cup dry white wine', '16 pitted green olives, halved', '2 tablespoons coarsely chopped fresh cilantro']","Pat chicken dry, then season with salt and pepper. Heat 1 tablespoon oil in a 12-inch nonstick skillet over moderately high heat until hot but not smoking, then sauté chicken until golden brown, about 3 minutes on each side. Transfer chicken to a plate and keep warm, covered. Add remaining tablespoon oil to skillet and reduce heat to moderate. Cook onions and garlic, stirring frequently, until softened but not browned, 8 to 10 minutes. Add turmeric and pepper and cook, stirring, 1 minute. Scrape pulp from preserved lemon, reserving for another use. Cut rind into thin strips and add to onions with broth, wine, and olives. Return chicken, with any juices accumulated on plate, to skillet. Braise, covered, until chicken is cooked through, about 12 minutes. Serve sprinkled with cilantro.
Pat chicken dry, then season with salt and pepper. Heat 1 tablespoon oil in a 12-inch nonstick skillet over moderately high heat until hot but not smoking, then sauté chicken until golden brown, about 3 minutes on each side. Transfer chicken to a plate and keep warm, covered.
Add remaining tablespoon oil to skillet and reduce heat to moderate. Cook onions and garlic, stirring frequently, until softened but not browned, 8 to 10 minutes. Add turmeric and pepper and cook, stirring, 1 minute.
Scrape pulp from preserved lemon, reserving for another use. Cut rind into thin strips and add to onions with broth, wine, and olives.
Return chicken, with any juices accumulated on plate, to skillet. Braise, covered, until chicken is cooked through, about 12 minutes. Serve sprinkled with cilantro.",Moroccan Chicken with Preserved Meyer Lemons and Green Olives 
"['1 medium onion, coarsely chopped (1 cup)', '2 garlic cloves, thinly sliced', '1 1/4 teaspoons ground cumin', '1 teaspoon paprika (preferably hot)', '1 teaspoon ground ginger', '3/8 teaspoon ground cinnamon', '1/8 teaspoon cayenne', '3 tablespoons olive oil', '1 tablespoon cider vinegar', '1 (15- to 19-oz) can chickpeas, rinsed and drained', '2 teaspoons sugar', '1 (28-oz) can whole tomatoes in juice, juice reserved and tomatoes coarsely chopped', '3 lb cultivated mussels, scrubbed and beards removed', '2 tablespoons chopped fresh flat-leaf parsley']","Cook onion, garlic, and spices in oil in a 5- to 6-quart heavy pot over moderately low heat, stirring, until onion is softened, about 6 minutes. Stir in vinegar and simmer 1 minute. Add chickpeas, sugar, and tomatoes with their juice, then increase heat to moderate and gently simmer, uncovered, stirring occasionally, until slightly thickened, about 15 minutes. Add mussels and return to a simmer. Cover tightly with lid and cook until mussels just open wide, 3 to 6 minutes. (Discard any mussels that remain unopened after 6 minutes.) Stir in parsley and serve in shallow bowls.
Cook onion, garlic, and spices in oil in a 5- to 6-quart heavy pot over moderately low heat, stirring, until onion is softened, about 6 minutes. Stir in vinegar and simmer 1 minute. Add chickpeas, sugar, and tomatoes with their juice, then increase heat to moderate and gently simmer, uncovered, stirring occasionally, until slightly thickened, about 15 minutes. Add mussels and return to a simmer. Cover tightly with lid and cook until mussels just open wide, 3 to 6 minutes. (Discard any mussels that remain unopened after 6 minutes.) Stir in parsley and serve in shallow bowls.",Moroccan-Style Mussels 
"['1/2 pound boneless leg of lamb steaks, trimmed, cut into 3 x 1/2 x 1/4-inch strips', '2 tablespoons chopped fresh parsley', '1 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1 cup warm water (105°F. to 115°F.)', '4 teaspoons dry yeast', '1/4 cup olive oil', '1 1/2 teaspoons salt', '1 1/2 cups whole wheat flour', '1 1/2 cups all purpose flour', '2 tablespoons olive oil', '2/3 cup thinly sliced red bell pepper', '2/3 cup thinly sliced red onion', '2/3 cup chopped fresh cilantro', '1/4 cup water', '2 tablespoons olive oil', '2 tablespoons paprika', '1 tablespoon chopped garlic', '1 tablespoon tomato paste', '1 1/2 teaspoons ground cumin', '1/4 teaspoon dried crushed red pepper']","Make lamb: Stir all ingredients in bowl to blend. Sprinkle with salt and pepper. Chill at least 2 hours and up to 1 day.
Stir all ingredients in bowl to blend. Sprinkle with salt and pepper. Chill at least 2 hours and up to 1 day.
Make dough: Pour 1 cup warm water into large bowl; sprinkle yeast over. Let stand until mixture is foamy, about 10 minutes. Mix in 1/4 cup oil and salt. Combine both flours in medium bowl. Stir enough flour mixture into yeast mixture 1/2 cup at a time to form slightly sticky dough. Knead on floured surface until smooth and elastic, about 10 minutes. Oil large bowl; add dough and turn to coat. Cover bowl with plastic wrap. Let stand in warm area until doubled in volume, about 1 hour. Meanwhile, heat 2 tablespoons oil in medium skillet over medium-high heat. Add lamb mixture; sauté until just cooked through, about 3 minutes. Transfer to plate.
Pour 1 cup warm water into large bowl; sprinkle yeast over. Let stand until mixture is foamy, about 10 minutes. Mix in 1/4 cup oil and salt. Combine both flours in medium bowl. Stir enough flour mixture into yeast mixture 1/2 cup at a time to form slightly sticky dough. Knead on floured surface until smooth and elastic, about 10 minutes. Oil large bowl; add dough and turn to coat. Cover bowl with plastic wrap. Let stand in warm area until doubled in volume, about 1 hour.
Meanwhile, heat 2 tablespoons oil in medium skillet over medium-high heat. Add lamb mixture; sauté until just cooked through, about 3 minutes. Transfer to plate.
Make charmoula: Combine all ingredients in medium bowl. Season with salt and pepper. Set aside.
Combine all ingredients in medium bowl. Season with salt and pepper. Set aside.
Punch dough down. Divide into 4 equal pieces. Cover; let stand 10 minutes. Preheat oven to 450°F. Roll out each dough piece on floured surface to 7-inch square. Top each with 1/4 of charmoula, then 1/4 of lamb, pressing to adhere to dough. Oil 2 large baking sheets. Using large spatula, transfer breads to sheets. Bake breads until cooked through and brown on bottom, about 15 minutes. Serve warm.
Punch dough down. Divide into 4 equal pieces. Cover; let stand 10 minutes. Preheat oven to 450°F. Roll out each dough piece on floured surface to 7-inch square. Top each with 1/4 of charmoula, then 1/4 of lamb, pressing to adhere to dough. Oil 2 large baking sheets. Using large spatula, transfer breads to sheets.
Bake breads until cooked through and brown on bottom, about 15 minutes. Serve warm.",Moroccan Bread with Charmoula and Spiced Lamb 
"['3 tablespoons olive oil, divided', '2 1/2 pounds boneless chuck roast, cut into 3/4-inch cubes', '2 cups chopped onions', '3 garlic cloves, chopped', '1 tablespoon garam masala*', '1 tablespoon paprika', '1 teaspoon ground cumin', '1/2 teaspoon turmeric', '1/2 teaspoon cayenne pepper', '1 cup dry red wine', '1/2 cup dry Sherry', '2 cups beef broth', '1 14 1/2-ounce can diced tomatoes in juice', '1 1/2 cups golden raisins']","Heat 2 tablespoons oil in large pot over medium-high heat. Sprinkle meat with salt and pepper. Add meat to pot; sauté until no longer pink, about 5 minutes. Transfer meat to bowl. Heat 1 tablespoon oil in same pot. Add onions; sauté until brown, about 8 minutes. Add garlic and next 5 ingredients; stir 1 minute. Add wine and Sherry; boil until reduced to glaze, stirring occasionally, about 8 minutes. Add broth, tomatoes with juice, and raisins; stir to blend. Add beef and accumulated juices; bring to simmer. Reduce heat to medium-low. Simmer uncovered until sauce is thick and beef is tender, stirring occasionally, about 1 hour 15 minutes. Season stew with salt and pepper. (Can be made 2 days ahead. Cool slightly, chill until cold, then cover and keep chilled. Rewarm before serving.)
Heat 2 tablespoons oil in large pot over medium-high heat. Sprinkle meat with salt and pepper. Add meat to pot; sauté until no longer pink, about 5 minutes. Transfer meat to bowl. Heat 1 tablespoon oil in same pot. Add onions; sauté until brown, about 8 minutes. Add garlic and next 5 ingredients; stir 1 minute. Add wine and Sherry; boil until reduced to glaze, stirring occasionally, about 8 minutes. Add broth, tomatoes with juice, and raisins; stir to blend. Add beef and accumulated juices; bring to simmer. Reduce heat to medium-low. Simmer uncovered until sauce is thick and beef is tender, stirring occasionally, about 1 hour 15 minutes. Season stew with salt and pepper. (Can be made 2 days ahead. Cool slightly, chill until cold, then cover and keep chilled. Rewarm before serving.)
*An Indian spice mixture available in the spice section of many supermarkets.
*An Indian spice mixture available in the spice section of many supermarkets.",Moroccan Braised Beef 
"['1 1/2 pounds ground beef (20% fat)', '1/3 cup coarsely grated onion', '1/3 cup panko (Japanese breadcrumbs)*', '1/4 cup chopped fresh cilantro', '1 large egg, beaten to blend', '2 garlic cloves, minced', '1 teaspoon turmeric', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon coarse kosher salt', '1/4 teaspoon ground ginger', '1 tablespoon olive oil', '3 1/2 cups chopped onions', '4 garlic cloves, minced', '2 cinnamon sticks', '1 teaspoon turmeric', '1/8 teaspoon saffron threads, crumbled', '2 cups beef broth', '1 14.5-ounce can diced tomatoes in juice', '1/4 cup golden raisins', '2 cups 1/2-inch-thick carrot slices (cut on diagonal)', '1/4 cup chopped fresh cilantro plus additional for garnish', '1 5-ounce package baby spinach leaves', 'Couscous with Fresh Cilantro and Lemon Juice', 'Lemon wedges (for garnish)']","For meatballs: Line large rimmed baking sheet with plastic wrap. Gently mix all ingredients in large bowl. Using moistened hands and scant 2 tablespoonfuls for each, roll meat mixture into 1 1/2-inch meatballs. Arrange meatballs on sheet.
Line large rimmed baking sheet with plastic wrap. Gently mix all ingredients in large bowl. Using moistened hands and scant 2 tablespoonfuls for each, roll meat mixture into 1 1/2-inch meatballs. Arrange meatballs on sheet.
For stew: Heat oil in heavy large ovenproof pot over medium heat. Add onions; sauté about 15 minutes. Add garlic, cinnamon, turmeric, and saffron; stir 2 minutes. Add broth, tomatoes with juice, and raisins. Preheat oven to 350°F. Bring stew to simmer. Stir in carrots. Carefully add meatballs to stew; gently press into liquid to submerge. Sprinkle 1/4 cup cilantro over. Cover pot; place in oven. Bake until meatballs are cooked through and carrots are tender, about 35 minutes. Sprinkle spinach over stew. Cover and bake until spinach wilts, about 5 minutes longer. Gently stir to mix in spinach, being careful not to break meatballs. Remove cinnamon sticks. Season tagine with salt and pepper. Spoon couscous into bowls; top with tagine. Garnish with cilantro and lemons.
Heat oil in heavy large ovenproof pot over medium heat. Add onions; sauté about 15 minutes. Add garlic, cinnamon, turmeric, and saffron; stir 2 minutes. Add broth, tomatoes with juice, and raisins.
Preheat oven to 350°F. Bring stew to simmer. Stir in carrots. Carefully add meatballs to stew; gently press into liquid to submerge. Sprinkle 1/4 cup cilantro over. Cover pot; place in oven. Bake until meatballs are cooked through and carrots are tender, about 35 minutes. Sprinkle spinach over stew. Cover and bake until spinach wilts, about 5 minutes longer. Gently stir to mix in spinach, being careful not to break meatballs. Remove cinnamon sticks. Season tagine with salt and pepper. Spoon couscous into bowls; top with tagine. Garnish with cilantro and lemons.
Available in the Asian foods section of some supermarkets and at Asian markets.
Available in the Asian foods section of some supermarkets and at Asian markets.
Available in the Asian foods section of some supermarkets and at Asian markets.",Moroccan Beef Meatball Tagine 
"['1/2 pound carrots, cut diagonally into 1/4-inch-thick slices', '1 small garlic clove, minced', '1 1/2 tablespoons olive oil', '1/4 teaspoon ground cumin', '1/8 teaspoon ground cinnamon', '1/2 teaspoon sugar', 'a pinch of cayenne', '2 teaspoons fresh lemon juice, or to taste']","In a steamer set over boiling water steam the carrots, covered, for 8 minutes, or until they are just tender. In a skillet cook the garlic in the oil over moderately low heat, stirring, for 1 minute, or until it is fragrant, add the cumin, the cinnamon, the sugar, the cayenne, and the carrots, and cook the mixture, stirring, for 1 minute, or until the carrots are well-coated with the mixture. Stir in the lemon juice and salt and pepper to taste, transfer the carrots to a bowl, and let them cool to room temperature.
In a steamer set over boiling water steam the carrots, covered, for 8 minutes, or until they are just tender. In a skillet cook the garlic in the oil over moderately low heat, stirring, for 1 minute, or until it is fragrant, add the cumin, the cinnamon, the sugar, the cayenne, and the carrots, and cook the mixture, stirring, for 1 minute, or until the carrots are well-coated with the mixture. Stir in the lemon juice and salt and pepper to taste, transfer the carrots to a bowl, and let them cool to room temperature.",Moroccan-Style Carrots 
"['1 cup dried currants', '2 tablespoons ground coriander', '1 tablespoon ground cardamom', '1 tablespoon ground cinnamon', '1 4-pound cooked rotisserie chicken', '1/2 cup (about) chicken stock', '2 cups diced cored tomatoes', '1 cup chopped pitted green olives', '1 cup slivered almonds, toasted', '1/2 cup olive oil plus more for brushing', '2 tablespoons Sherry vinegar', 'Kosher salt', '2 cups plain Greek-style yogurt', '1/4 cup (or more) harissa', '6 flatbreads, such as pita', 'Ingredient info: Find harissa paste at specialty foods stores.']","Place currants in a small bowl. Pour hot water over to cover by 1"". Set aside. Whisk coriander, cardamom, and cinnamon in another small bowl for spice mix. Drain any juices from chicken into a measuring cup. Add enough chicken stock to cup to measure 3/4 cup. Pour into a large bowl. Coarsely shred chicken (discard skin and bones); add to bowl with juices. Sprinkle 2 tablespoons spice mix over; toss to coat. Combine tomatoes, olives, almonds, 1/2 cup oil, and vinegar in a medium bowl. Drain currants; add to tomato relish. Season relish to taste with salt. Add half of relish to chicken mixture. Set remaining relish aside. Whisk yogurt and harissa in another small bowl to blend. Season to taste with salt and more harissa, if desired. Preheat broiler. Brush flatbreads with oil. Broil until charred in spots, watching closely to prevent burning, 1-2 minutes per side. Arrange chicken mixture, relish, harissa yogurt, and bread on table so your guests can assemble sandwiches.
Place currants in a small bowl. Pour hot water over to cover by 1"". Set aside.
Whisk coriander, cardamom, and cinnamon in another small bowl for spice mix. Drain any juices from chicken into a measuring cup. Add enough chicken stock to cup to measure 3/4 cup. Pour into a large bowl. Coarsely shred chicken (discard skin and bones); add to bowl with juices. Sprinkle 2 tablespoons spice mix over; toss to coat.
Combine tomatoes, olives, almonds, 1/2 cup oil, and vinegar in a medium bowl. Drain currants; add to tomato relish. Season relish to taste with salt. Add half of relish to chicken mixture. Set remaining relish aside.
Whisk yogurt and harissa in another small bowl to blend. Season to taste with salt and more harissa, if desired.
Preheat broiler. Brush flatbreads with oil. Broil until charred in spots, watching closely to prevent burning, 1-2 minutes per side.
Arrange chicken mixture, relish, harissa yogurt, and bread on table so your guests can assemble sandwiches.",Moroccan-Style Chicken Sandwich 
"['2 large garlic cloves, minced', '1/4 teaspoon salt', '2 teaspoons minced peeled fresh ginger', '3/4 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1/4 teaspoon cayenne pepper', '1 1 1/2- to 2-pound Cornish game hen, cut into quarters']","Preheat oven to 450°F. Combine garlic and salt in small bowl. Using fork, mash into paste. Mix in ginger, cumin, coriander and cayenne. Loosen skin of each game hen quarter, creating pocket but leaving skin attached. Rub seasoning mixture onto meat under loosened skin, dividing equally. Arrange quarters in shallow roasting pan. Season lightly with salt and pepper. Bake until cooked through and juices run clear when thigh meat is pierced, about 25 minutes. Transfer hen quarters to platter and serve.
Preheat oven to 450°F. Combine garlic and salt in small bowl. Using fork, mash into paste. Mix in ginger, cumin, coriander and cayenne. Loosen skin of each game hen quarter, creating pocket but leaving skin attached. Rub seasoning mixture onto meat under loosened skin, dividing equally. Arrange quarters in shallow roasting pan. Season lightly with salt and pepper.
Bake until cooked through and juices run clear when thigh meat is pierced, about 25 minutes. Transfer hen quarters to platter and serve.",Moroccan-Spiced Game Hen 
"['1 1/2 pounds skinless boneless chicken breast halves, cut into 1-inch cubes', '1 teaspoon paprika', '1 teaspoon ground cumin', '1/4 teaspoon ground cinnamon', '1 lemon', '3 tablespoons butter', '1 large onion, cut into 1/2-inch cubes', '1 cup imported green olives, pitted, coarsely chopped', '1/3 cup golden raisins', '2 tablespoons all purpose flour', '1 cup low-salt chicken broth', '1 refrigerated pie crust (half of 15-ounce package)']","Preheat oven to 425°F. Mix chicken cubes with paprika, cumin, and cinnamon in large bowl to coat. Sprinkle chicken generously with salt and pepper. Cut lemon in half; remove seeds. Using small spoon, scoop out enough pulp and juice from between membranes to measure 2 tablespoons. Add to chicken mixture; stir to blend. Melt butter in large skillet over medium-high heat. Add onion, olives, and raisins. Sauté until onion is almost tender, about 4 minutes. Add chicken mixture and stir 1 minute. Sprinkle flour over; stir 1 minute. Add broth and bring to boil, stirring occasionally. Transfer filling to 9-inch-diameter deep-dish glass pie dish. Place pie crust over dish and seal dough edges to rim of dish. Using small paring knife, cut several slits in pie crust. Bake pot pie until crust is golden brown and juices are bubbling thickly, about 20 minutes.
Preheat oven to 425°F. Mix chicken cubes with paprika, cumin, and cinnamon in large bowl to coat. Sprinkle chicken generously with salt and pepper. Cut lemon in half; remove seeds. Using small spoon, scoop out enough pulp and juice from between membranes to measure 2 tablespoons. Add to chicken mixture; stir to blend.
Melt butter in large skillet over medium-high heat. Add onion, olives, and raisins. Sauté until onion is almost tender, about 4 minutes. Add chicken mixture and stir 1 minute. Sprinkle flour over; stir 1 minute. Add broth and bring to boil, stirring occasionally. Transfer filling to 9-inch-diameter deep-dish glass pie dish.
Place pie crust over dish and seal dough edges to rim of dish. Using small paring knife, cut several slits in pie crust. Bake pot pie until crust is golden brown and juices are bubbling thickly, about 20 minutes.",Moroccan Chicken Pot Pie 
"['3 tablespoons olive oil', '3 tablespoons fresh lemon juice', '2 tablespoons Hungarian sweet paprika', '1 tablespoon ras-el-hanout*', '1 tablespoon chopped fresh mint', '1 tablespoon salt', '2 teaspoons grated lemon peel', '1 teaspoon ground black pepper', '1 garlic clove, peeled', '1 4 3/4- to 5-pound whole free-range organic chicken', '2 small whole lemons, pierced all over with fork', '6 garlic cloves, unpeeled']","Position rack in center of oven and preheat to 400°F. Blend first 9 ingredients in blender to moist paste. Remove neck, giblets, and excess fat from main cavity of chicken. Rinse chicken inside and out; pat dry with paper towels. Rub 1/3 of spice paste into main cavity and neck cavity, then rub remaining spice paste all over outside of chicken. Place lemons and garlic cloves in main cavity of chicken. Tie legs together. Place chicken on rack in roasting pan. Roast 45 minutes; tent with foil to prevent overbrowning. Continue to roast chicken until instant-read thermometer inserted into thickest part of thigh registers 170°F, about 45 minutes. Transfer chicken to platter; let stand 10 minutes (internal temperature will increase by 5 to 10 degrees).
Position rack in center of oven and preheat to 400°F. Blend first 9 ingredients in blender to moist paste.
Remove neck, giblets, and excess fat from main cavity of chicken. Rinse chicken inside and out; pat dry with paper towels. Rub 1/3 of spice paste into main cavity and neck cavity, then rub remaining spice paste all over outside of chicken. Place lemons and garlic cloves in main cavity of chicken. Tie legs together. Place chicken on rack in roasting pan. Roast 45 minutes; tent with foil to prevent overbrowning. Continue to roast chicken until instant-read thermometer inserted into thickest part of thigh registers 170°F, about 45 minutes. Transfer chicken to platter; let stand 10 minutes (internal temperature will increase by 5 to 10 degrees).
*A Moroccan spice blend available at some specialty foods stores, Middle Eastern markets, and by mail from The Spice House (312-274-0378; thespicehouse.com).
*A Moroccan spice blend available at some specialty foods stores, Middle Eastern markets, and by mail from The Spice House (312-274-0378; thespicehouse.com).",Roasted Organic Chicken with Moroccan Spices 
"['1 pound dried chick-peas (about 2 1/3 cups), picked over', '2 cinnamon sticks, broken in half', '1 teaspoon cumin seeds', '1/4 cup olive oil', '3 large onions, sliced thin (about 7 cups)', 'two 28- to 32-ounce cans whole tomatoes, drained, reserving juice, and chopped', '1 cup raisins', '1/3 cup chopped peel of preserved lemons', '3/4 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1 1/2 pounds fresh spinach, stems trimmed and leaves washed well and drained (about 10 cups packed)', '1/2 to 1 pound dried beans, picked over', 'Accompaniment: couscous and crusty bread']","In a bowl soak chick-peas in water in cover by 2 inches overnight or quick-soak (procedure page 103) and drain. In a 3-quart saucepan combine chick-peas, cinnamon, cumin seeds, and water to cover, by 2 inches and simmer, covered partially, adding more water if necessary, 1 to 1 1/4 hours, or until chick-peas are just tender. Discard cinnamon. Chick-peas may be made 1 day ahead, cooled completely, and chilled in their cooking liquid, covered. In a large heavy kettle heat oil over moderate heat and cook onions, stirring occasionally, until deep golden brown, about 15 minutes. Stir in tomatoes with reserved juice, chick-peas with cooking liquid, raisins, preserved lemon peel, ground cumin, and coriander and bring to a simmer. Cook stew about 45 minutes, or until chick-peas are tender and liquid is thickened slightly. Stir in spinach, a heaping handful at a time, and cook until wilted and just tender. Season stew with salt and pepper and serve with couscous and bread.
In a bowl soak chick-peas in water in cover by 2 inches overnight or quick-soak (procedure page 103) and drain.
In a 3-quart saucepan combine chick-peas, cinnamon, cumin seeds, and water to cover, by 2 inches and simmer, covered partially, adding more water if necessary, 1 to 1 1/4 hours, or until chick-peas are just tender. Discard cinnamon. Chick-peas may be made 1 day ahead, cooled completely, and chilled in their cooking liquid, covered.
In a large heavy kettle heat oil over moderate heat and cook onions, stirring occasionally, until deep golden brown, about 15 minutes. Stir in tomatoes with reserved juice, chick-peas with cooking liquid, raisins, preserved lemon peel, ground cumin, and coriander and bring to a simmer. Cook stew about 45 minutes, or until chick-peas are tender and liquid is thickened slightly. Stir in spinach, a heaping handful at a time, and cook until wilted and just tender.
Season stew with salt and pepper and serve with couscous and bread.
To quick-soak dried beans: In a colander rinse the beans under cold water and discard any discolored ones. In a kettle combine the beans with enough cold water to cover them by 2 inches, bring the water to a boil, and boil the beans for 2 minutes. Remove the kettle from the heat and let the beans soak, covered, for 1 hour.
In a colander rinse the beans under cold water and discard any discolored ones. In a kettle combine the beans with enough cold water to cover them by 2 inches, bring the water to a boil, and boil the beans for 2 minutes. Remove the kettle from the heat and let the beans soak, covered, for 1 hour.",Chick-Pea Tomato Stew with Moroccan Flavors 
"['1 (3 1/2- to 4-pound) spaghetti squash', '1/2 stick (4 tablespoons) unsalted butter, cut into pieces', '2 garlic cloves, minced', '1 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1/8 teaspoon cayenne', '3/4 teaspoon salt', '2 tablespoons chopped fresh cilantro']","Pierce squash (about an inch deep) all over with a small sharp knife to prevent bursting. Cook in an 800-watt microwave oven on high power (100 percent) for 6 to 7 minutes. Turn squash over and microwave until squash feels slightly soft when pressed, 8 to 10 minutes more. Cool squash for 5 minutes. Meanwhile, melt butter in a small heavy saucepan over moderately high heat. Add garlic and cook, stirring, until golden, about 1 minute. Stir in spices and salt and remove from heat. Carefully halve squash lengthwise (it will give off steam) and remove and discard seeds. Working over a bowl, scrape squash flesh with a fork, loosening and separating strands as you remove it from skin. Toss with spiced butter and cilantro.
Pierce squash (about an inch deep) all over with a small sharp knife to prevent bursting. Cook in an 800-watt microwave oven on high power (100 percent) for 6 to 7 minutes. Turn squash over and microwave until squash feels slightly soft when pressed, 8 to 10 minutes more. Cool squash for 5 minutes.
Meanwhile, melt butter in a small heavy saucepan over moderately high heat. Add garlic and cook, stirring, until golden, about 1 minute. Stir in spices and salt and remove from heat.
Carefully halve squash lengthwise (it will give off steam) and remove and discard seeds. Working over a bowl, scrape squash flesh with a fork, loosening and separating strands as you remove it from skin. Toss with spiced butter and cilantro.",Spaghetti Squash with Moroccan Spices 
