title,ingredients,directions
Stuffed Onions - Moroccan Style,"[""4 medium onions"", ""1 1/2 cups cooked basmati rice"", ""1/2 cup cooked chickpeas"", ""3 tablespoons dried currants"", ""2 tablespoons chopped parsley"", ""1 tablespoon lemon juice"", ""1/2 tablespoon cumin"", ""1/4 teaspoon paprika"", ""1/4 teaspoon cinnamon"", ""salt and pepper"", ""1 cup vegetable broth"", ""1 teaspoon extra virgin olive oil"", ""1 tablespoon white wine vinegar""]","[""Preheat oven to 375 degrees."", ""Peel onions and cut tops (at point where sides curve in)."", ""Cook in a large pot of boiling water for 2 minutes."", ""Remove with slotted spoon."", ""When cool, scoop flesh out with a melon baller."", ""Shells should be about 2 layers thick."", ""In a medium bowl, combine rice, chickpeas, currants, parsley, lemon juice, and spices."", ""Pack into the onion shells."", ""Place stuffed onions in a 8 inch square baking dish."", ""Pour in veggie broth and drizzle onions with olive oil."", ""Bake about 30 minutes (onions should be tender when pierced with a knife)."", ""Place onions on a nice serving plate."", ""Pour cooking liquid into a small pot."", ""Add vinegar to liquid and boil until reduced to 1/4 cup."", ""Pour 1 tablespoon over each onion and serve.""]"
Moroccan Carrot Salad With Oranges And Medjool Dates,"[""4 navel oranges, 1 orange zested and juiced"", ""1 lemon, zested and juiced"", ""2 tablespoons sugar"", ""1/4 teaspoon cinnamon"", ""1/4 teaspoon ground cumin"", ""1/4 teaspoon cayenne pepper"", ""1/4 cup extra-virgin olive oil"", ""salt"", ""1 lb carrot, cut into 3-inch matchsticks"", ""1/2 lb medjool dates, pitted and thinly sliced lengthwise""]","[""In a medium bowl, whisk the orange and lemon juice with the zests, sugar, cinnamon, cumin and cayenne. Gradually whisk in the olive oil and season the dressing with salt."", ""In a large bowl, toss the carrots with all but 2 tablespoons of the dressing and let stand at room temperature for 40 minutes."", ""Using a very sharp knife, peel the remaining 3 oranges, carefully removing all of the bitter white pith. Cut in between the membranes, releasing the orange sections into the bowl with the remaining dressing. Add the dates and toss. Arrange the carrot salad on a platter, spoon the oranges and dates around it and serve.""]"
Moroccan Rice Pilaf,"[""1 teaspoon unsalted butter"", ""1/2 cup finely chopped onion"", ""1 teaspoon paprika"", ""1 teaspoon cumin"", ""1/2 teaspoon cayenne pepper"", ""1 cup white basmati rice"", ""1 1/2 cups water or 1 1/2 cups vegetable stock"", ""fresh ground black pepper, to taste"", ""1/4 cup sliced almonds"", ""1/4 cup raisins""]","[""Preheat oven to 350\u00b0F."", ""Melt butter on medium-low heat in a small ovenproof pot."", ""Fold in onions and stir well."", ""Cook for 3-4 minutes until onions turn translucent but are not browned."", ""Add cumin, cayenne pepper, paprika and rice."", ""Stir well so that the rice is evenly coated with butter."", ""Cook for 3-4 minutes."", ""Stir in stock and raisins."", ""Bring to a boil on high heat."", ""Once the stock comes to a boil, cover the pot and let the pilaf cook in the oven for 18 minutes."", ""Fold in salt, pepper and almonds before fluffing with a fork and serving."", ""Enjoy!""]"
Grilled Moroccan Chicken Thighs,"[""Marinade"", ""1/4 cup honey"", ""6 tablespoons sesame seeds"", ""1 1/2 teaspoons cinnamon"", ""1 teaspoon ground cumin"", ""3 tablespoons mild olive oil"", ""2 tablespoons fresh lemon juice"", ""12 boneless chicken thighs, about 2 1/2 lb. (on the bone, about 4 lb.)"", ""salt, pepper""]","[""Marinade:Warm the honey gently in a small saucepan over medium heat until it is quite fluid. Toast the sesame seeds in a dry skillet over medium heat until hey begin to pop. Save about 2 tablespoons of the seeds for garnish and grind the rest in a spice mill or mortar and pestle. Stir the ground seeds, the cinnamon, cumin, oil, and lemon juice into the warm honey."", ""Place the chicken in a shallow nonreactive container, pour the marinade over it and turn to coat. Cover and refrigerate overnight."", ""To cook, bring the chicken to room temperature. Heat the grill or broiler. Remove the chicken from the marinade, reserving the marinade. Thread the boneless thighs onto skewers, 3 per skewer, and sprinkle lightly with salt and pepper."", ""Grill or broil, basting often with the marinade, until cooked through, about 4 minutes each side. Sprinkle with the reserved sesame seeds before serving.""]"
Moroccan Style Pumpkin And Couscous Salad,"[""750 g pumpkin, peeled, deseeded, cut into 2cm pieces (suggests Kent pumpkin)"", ""1 teaspoon olive oil"", ""1 teaspoon cumin seed"", ""1 teaspoon ground coriander"", ""1/2 teaspoon ground ginger"", ""1 (500 g) packet frozen broad beans"", ""1 1/2 cups vegetable stock"", ""1 1/2 cups couscous"", ""1 (400 g) can chickpeas, rinsed, drained"", ""30 g pine nuts, toasted"", ""1/4 cup fresh lemon juice"", ""1 cup fresh coriander, chopped"", ""plain yogurt, to serve""]","[""Preheat oven to 200c. Line a baking tray with non-stick baking paper."", ""Combine the pumpkin with the oil and spices in a large bowl; season with salt and pepper."", ""Place the pumpkin in a single layer on the prepared baking tray and cook in the oven for 30 minutes or until tender and golden brown. Turn occasionally."", ""Meanwhile, cook the broad beans in a saucepan of boiling salted water for 5 minutes or until tender. Refresh under cold running water: peel (discard the skins) then set aside."", ""Bring the stock to the boil, remove from the heat and add the couscous. Cover and set aside for 5 minutes or until all the liquid is absorbed. Fluff up with a fork."", ""In a large bowl, combine the couscous, pumpkin, broad beans, chickpeas, pine nuts, lemon juice and coriander leaves tossing gently to combine."", ""Taste and season. Serve with the yogurt if desired.""]"
Moroccan Spiced Chicken And Apricot Stew,"[""12 bone-in, skin-on chicken thighs, trimmed of excess fat (about 4 1/2 pounds)"", ""salt & fresh ground pepper"", ""2 teaspoons vegetable oil"", ""2 medium onions, chopped fine"", ""6 medium garlic cloves, minced or pressed through a garlic press"", ""1 cinnamon stick"", ""1/2 teaspoon ground cardamom"", ""1 1/2 teaspoons hot paprika"", ""8 ounces dried apricots, cut in half (about 1 cup)"", ""3 cups low sodium chicken broth"", ""1 (15 1/2 ounce) can chickpeas, drained and rinsed"", ""3 tablespoons all-purpose flour"", ""1/4 cup minced fresh cilantro leaves"", ""2 tablespoons lemon juice"", ""1 lemon, cut into wedges""]","[""Dry the chicken thoroughly with paper towels, then season generously with salt and pepper. Heat the oil in a 12-inch skillet over medium-high heat until just smoking. Carefully lay 6 of the chicken thighs into the skillet, skin-side down; cook until golden, about 6 minutes. Flip the chicken over and continue to cook until the second side is golden, about 3 minutes. Transfer the chicken to a slow cooker. Using paper towels, remove and discard the browned chicken skin. Pour off all but 2 teaspoons of the fat left in the skillet and return to medium-high heat until just smoking. Brown the remaining chicken, transfer it to the slow cooker, and discard the skin."", "". Pour off all but 2 teaspoons of the fat left in the skillet and return to medium heat until shimmering. Add the onions and 1/4 teaspoon salt; cook, scraping the browned bits off the bottom of the skillet, until the onions are soft and translucent, about 4 minutes. Add the garlic, cinnamon, cardamom, and paprika; cook until fragrant, about 30 seconds. Add the apricots and 21/2 cups of the chicken broth, scraping up any browned bits from the bottom. Turn the heat to high and bring to a boil. Transfer the mixture to the slow cooker."", ""Cover and cook on low until the chicken is almost tender, about 3 to 4 hours. Quickly stir in the chickpeas, replace the cover, and cook until the chicken is tender but not falling apart, about 1 hour longer."", ""Transfer the chicken to a carving board and tent loosely with foil to keep warm. Discard the cinnamon stick. Set the slow cooker to high. Whisk the flour with the remaining 1/2 cup chicken broth until smooth, then stir it into the slow cooker. Continue to cook on high until the sauce is thickened and no longer tastes of flour, 10 to 15 minutes longer. Stir in the cilantro and lemon juice. Season with salt and pepper to taste. Return the chicken to the slow cooker and allow to heat through before serving. Serve with lemon wedges.""]"
Ras El Hanout - Moroccan Spice Mix,"[""2 teaspoons ground nutmeg"", ""2 teaspoons ground coriander"", ""2 teaspoons ground cumin"", ""2 teaspoons ground ginger"", ""2 teaspoons turmeric"", ""2 teaspoons salt"", ""2 teaspoons cinnamon"", ""1 1/2 teaspoons sugar"", ""1 1/2 teaspoons paprika"", ""1 1/2 teaspoons ground black pepper"", ""1 teaspoon cayenne pepper"", ""1 teaspoon cardamom powder"", ""1 teaspoon ground allspice"", ""1/2 teaspoon ground cloves""]","[""Mix all the spices together."", ""Store in an airtight container.""]"
Moroccan Sweet Potato And Chickpea Soup,"[""2 tablespoons olive oil"", ""1 large onion, roughly chopped"", ""2 garlic cloves, crushed"", ""1 teaspoon ground coriander"", ""2 teaspoons ground cumin"", ""1/4 teaspoon chili powder"", ""600 g sweet potatoes, peeled and diced"", ""500 g carrots, peeled and sliced"", ""6 cups chicken stock or 6 cups vegetable stock"", ""300 g chickpeas"", ""1/2 lemon, juice of""]","[""Heat oil in a large saucepan over medium heat, add onion and garlic and cook for 3 minutes."", ""Stir in spices and cook for a further 2 minutes."", ""add sweet potato and carrot and sweat well for 10 minutes."", ""add stock and cover, bring to the boil and simmer for 20 minutes."", ""Add chick peas and simmer for further 10 mins until chick peas are tender."", ""Blend until smooth, season well with salt and fresh black pepper and add lemon juice to taste.""]"
Lamb Chops With Moroccan Spices,"[""1/2 cup chopped of fresh mint"", ""chopped of fresh mint, to garnish (optional)"", ""1 tablespoon ground coriander"", ""2 teaspoons minced garlic"", ""1 teaspoon sweet paprika"", ""1 teaspoon ground cumin"", ""1 teaspoon fresh ground black pepper"", ""1/4 teaspoon cayenne pepper"", ""salt, to taste"", ""1 lemon, juice of"", ""2 tablespoons olive oil"", ""8 lamb loin chops or 16 small lamb rib chops""]","[""In a small bowl, stir together the 1/2 cup mint, coriander, garlic, paprika, cumin, black pepper, cayenne pepper, salt, lemon juice, and olive oil."", ""Rub the mixture into the chops, coating evenly, and place in a non-aluminum container. Cover and marinate at cool room temperature for 2 hours or up to overnight in the refrigerator."", ""Prepare a fire in a grill. If the chops are refrigerated, bring to room temperature."", ""Place the chops on an oiled grill rack and grill, turning once, for 4 minutes per side for medium-rare, or until done to your liking."", ""Transfer to a warmed platter or individual plates and sprinkle with mint, if using. Serve immediately.""]"
Moroccan Stewed Lentils,"[""2 cups lentils"", ""2 quarts water or 2 quarts vegetable stock"", ""3 tomatoes, finely chopped"", ""1 medium onion, chopped"", ""3 garlic cloves, finely chopped"", ""4 tablespoons fresh parsley or 4 tablespoons cilantro, chopped"", ""2 1/2 teaspoons cumin"", ""2 1/2 teaspoons paprika (some hot, if desired)"", ""1 1/2 teaspoons ginger"", ""1/2 teaspoon pepper""]","[""Mix all ingredients in a pressure cooker or pot. Add 2 quartsbof stock or water, and bring to a simmer."", ""Cover, and simmer the lentils over medium heat about 1 1/2 hours, or until the lentils are tender and the sauce is not watery. (If the liquids reduce too much during cooking, add a little water to prevent the lentils from burning.) Adjust the seasoning if desired, and serve.""]"
Moroccan Lentil Soup,"[""1 tablespoon olive oil"", ""1/2 - 1 medium onion, chopped"", ""1 -2 garlic clove, crushed"", ""1 pinch saffron (knorr saffron cube) or 1/2 teaspoon turmeric"", ""1 teaspoon ras el hanout spice mix, Ras El Hanout - Moroccan Spice Mix"", ""1/2 teaspoon ginger"", ""1/4 teaspoon salt"", ""1/4 teaspoon black pepper"", ""2 1/2 cups low sodium chicken broth or 2 1/2 cups low sodium vegetable broth"", ""1 cup water (optional)"", ""1 (8 ounce) can tomato sauce"", ""3/4 cup dry green lentils or 3/4 cup dried red lentils"", ""1/4 - 1/3 cup baby carrots, chopped"", ""2 tablespoons fresh cilantro or 2 tablespoons fresh parsley, finely chopped""]","[""Heat oil in a large saucepan. Saute onions & garlic until golden brown."", ""Pour in the broth and sauce then stir in the knorr cube, spices, lentil, carrots, & herbs."", ""Simmer until lentils are very tender, about 25-35 minutes. (Check about halfway through to make sure you don't need to add water.)."", ""Serve with thick bread to scoop up the soup. Or you can puree the soup in a blender."", ""Pureed: Let the soup cool slightly then pour into a blender or food processor. Blend until smooth (this will have to be done in batches).""]"
Moroccan Vegetable Stew,"[""2 tablespoons extra virgin olive oil"", ""2 red potatoes, unpeeled, cut into small chunks"", ""1 medium butternut squash, peeled, seeded, and cut into small pieces"", ""1 large onion, diced"", ""2 carrots, peeled and sliced into thin rings"", ""1 (15 ounce) can garbanzo beans, drained and rinsed"", ""1/2 cup raisins"", ""1 (14 1/2 ounce) can chopped tomatoes with juice"", ""1 teaspoon ground cumin"", ""1/2 teaspoon ground cinnamon"", ""1 teaspoon salt"", ""1/4 teaspoon red pepper flakes"", ""1 1/2 cups couscous"", ""2 cups vegetable broth or 2 cups chicken broth, divided"", ""3 tablespoons chopped fresh cilantro""]","[""In a large Dutch oven or high-sided skillet, heat olive oil over medium high heat."", ""Add potatoes, squash, onions, and carrots."", ""Stir frequently for about 10 minutes until onions are golden brown."", ""Add beans, raisins, tomatoes, cumin, cinnamon, salt, 1 cup of broth, and red pepper flakes."", ""Bring to a boil; reduce to simmer and continue cooking for 30 minutes or until vegetables are tender when pierced with fork."", ""Meanwhile prepare couscous as directed on package, using broth instead of water."", ""Stir cilantro into stew and adjust seasoning with salt if desired."", ""Serve over warm couscous.""]"
Moroccan-Style Grilled Salmon,"[""1 cup olive oil"", ""1 tablespoon garlic, minced"", ""1 teaspoon salt"", ""1 teaspoon pepper"", ""1 teaspoon cumin"", ""1 tablespoon paprika"", ""1 teaspoon fresh coriander, chopped"", ""1/4 cup fresh lemon juice"", ""32 ounces salmon fillets""]","[""Combine all ingredients except salmon in a large bowl or dish."", ""Place salmon fillets in the mixture and marinate in the refrigerator for 2 to 6 hours."", ""Oil the grill and heat the coals to a medium. Place the salmon skin-side up on the grill and cook for 5 to 7 minutes on each side or until done (when the center flakes away easily, and the fish is an opaque pink).""]"
Moroccan Seasoned Chicken With Pine Nut Couscous,"[""1 tablespoon sweet paprika"", ""2 teaspoons turmeric"", ""2 teaspoons ground coriander"", ""2 teaspoons ground cumin"", ""1/2 teaspoon ground cinnamon"", ""2 lbs chicken, cut into 2 inch pieces"", ""2 tablespoons olive oil"", ""1 large onion, thinly sliced"", ""4 garlic cloves, crushed"", ""2 lemons (1 thinly sliced, the other juiced)"", ""salt & freshly ground black pepper"", ""2 1/2 cups chicken stock"", ""1 cup large green olives"", ""1 tablespoon butter"", ""1 1/2 cups couscous"", ""1/4 cup pine nuts, toasted"", ""1 cup fresh parsley""]","[""In a large bowl, combine paprika, turmeric, coriander, cumin and cinnamon; add chicken and toss."", ""In a large skillet, heat oil over medium high heat and cook chicken until browned, about 3 to 4 minutes."", ""Add onion, garlic and lemon slices; season with salt and pepper."", ""Cook, stirring frequently, until the onion is softened, about 6 minutes."", ""Add 1 cup chicken stock, olives, and lemon juice; scrape brown bits from bottom of pan, remove from heat, and season with salt and pepper."", ""Heat the remaining chicken stock and butter in a medium saucepan until boiling; stir in couscous, cover, and turn off the heat; let stand 5 minutes."", ""Fluff couscous with a fork and stir in pine nuts."", ""Serve the chicken and sauce over the couscous and sprinkle with parsley.""]"
Mushroom Couscous With Moroccan Flavors,"[""2 tablespoons olive oil"", ""1 lb fresh mushrooms, sliced"", ""1 small onion, thinly sliced"", ""1 garlic clove, minced"", ""1 cup beef broth"", ""1/2 - 3/4 teaspoon cumin"", ""1/4 teaspoon ground coriander"", ""1/4 teaspoon turmeric"", ""1/8 teaspoon saffron thread"", ""salt & pepper, to taste"", ""3/4 cup instant couscous, uncooked""]","[""Heat oil over medium heat then add mushrooms, onion, & garlic, saute till tender."", ""Pour in the broth & spices the simmer for 3 minutes. Remove from the heat & stir in the couscous."", ""Let stand, covered, for 10 minutes then fluff with a fork. Serve alone or as a side dish.""]"
Moroccan Chicken Kabobs,"[""1 lb chicken breast fillet"", ""3 tablespoons Spanish olive oil (plus extra for oiling)"", ""1 lemon, juice of"", ""2 garlic cloves, crushed"", ""1 1/2 teaspoons ground cumin"", ""1 teaspoon ground coriander"", ""1 teaspoon hot smoked paprika (or sweet)"", ""1/4 teaspoon ground cinnamon"", ""1/2 teaspoon dried oregano"", ""salt"", ""fresh parsley, chopped (for garnish)""]","[""Cut the chicken into 1-inch cubes and place in a large, shallow, nonmetallic dish. Put all the remaining ingredients, except parsley, in a bowl and whisk together. Pour the marinade over the chicken cubes and toss the meat in the marinade until well coated. Cover and let marinate in the refrigerator for 8 hours or overnight, turning the chicken 2-3 times if possible."", ""If using wooden skewers, soak the skewers in cold water for about 30 minutes to prevent burning and to keep food from sticking. If using metal skewers, lightly brush with oil. Preheat the broiler or grill pan. Remove the chicken pieces from the marinade, reserving the remaining marinade and thread an equal quantity onto each prepared skewer leaving a little space between each piece."", ""Brush the broiler rack or grill pan with a little oil. Add the kabobs and cook, turning frequently and brushing with the reserved marinade halfway through cooking, for 15 minutes or until browned on all sides, tender, and cooked through. Serve hot, sprinkled with chopped parsley to garnish.""]"
Moroccan Pasta Salad With Chicken,"[""1 tablespoon olive oil"", ""2 -3 tablespoons mayonnaise"", ""1/2 - 1 teaspoon cumin"", ""1/4 - 1/2 teaspoon salt"", ""1/4 teaspoon onion powder"", ""8 ounces tri-colored rotini pasta, cooked"", ""1 cooked boneless skinless chicken breast, shredded"", ""2 hard-boiled eggs, yolk discarded, & white diced"", ""1 (8 ounce) can peas, drained"", ""2 -3 tablespoons sliced black olives (optional)""]","[""Mix the olive oil, mayo, & spices together in a small bowl."", ""Mix the other ingredients together in a large bowl. Then stir the mayo mixture in with the pasta."", ""Serve cold.""]"
Moroccan Chicken Thighs With Chickpeas And Raisins,"[""3 -5 tablespoons oil"", ""4 lbs chicken thighs (skin on)"", ""salt and pepper"", ""1 large onion, chopped"", ""2 tablespoons fresh minced garlic (or to taste)"", ""1 tablespoon cumin"", ""1 tablespoon turmeric"", ""1 teaspoon paprika"", ""1/2 teaspoon cinnamon"", ""2 teaspoons grated lemon zest (can use more)"", ""1 tablespoon flour"", ""3 cups chicken broth"", ""3 tablespoons honey (or to taste)"", ""1 1/2 cups chickpeas, rinsed and drained"", ""1/2 cup dark raisin (or to taste)"", ""cooked rice""]","[""In a large heavy saucepan (I use my electric frypan for this) heat oil over medium heat."", ""Season the chicken with salt and pepper the brown well on both sides; transfer to a plate."", ""Add in onions and garlic; saute for about 5 minutes, then add in cumin, turmeric, paprika and cinnamon; cook stirring with a wooden spoon for about 1 minute."", ""Stir in broth, honey, lemon zest and flour; stir to combine."", ""Then add in the browned chicken; simmer covered for about 15 minutes."", ""After 15 minutes of cooking add in the raisins and continue to cook (UNCOVERED) until the chicken is completely cooked through (about 15-20 minutes)."", ""Season with salt and pepper."", ""Remove the chicken to plate/s."", ""Add in the chickpeas and simmer for 5 minutes."", ""Pour the sauce over the chicken and serve with cooked rice.""]"
Roasted Moroccan Spiced Chicken,"[""3 1/2 lbs roasting chickens"", ""1/2 teaspoon pepper (fresh grind)"", ""4 garlic cloves"", ""1/4 teaspoon cinnamon"", ""1 lemon (halved)"", ""1/4 teaspoon cayenne pepper"", ""1/2 teaspoon cumin (ground)"", ""1/2 teaspoon salt"", ""1/2 teaspoon coriander (ground)"", ""3 tablespoons olive oil"", ""1/2 teaspoon paprika""]","[""Preheat oven to 400\u00b0F"", ""Pat chicken dry and rub with flattened garlic cloves; place garlic in cavity. Squeeze lemon into small bowl; place lemon in cavity."", ""Brush chicken with half of juice."", ""Mix spices and salt and rub over and inside chicken."", ""Tie legs together. Heat oil in large ovenproof skillet."", ""Add chicken, breast side up. Add remaining lemon juice to skillet. Baste"", ""chicken withpan juices. Transfer to oven, and bake until juices run clear."", ""Baste occasionally. Roast about 1 hour -- .""]"
Moroccan Mushroom Tagine,"[""1 tablespoon olive oil"", ""1 brown onion, finely chopped"", ""1 tablespoon ras el hanout spice mix (Moroccan spice blend)"", ""1/2 small butternut squash, peeled, chopped (1 2/3 pounds)"", ""1 lb small portabella mushroom (or white)"", ""1 (15 ounce) can diced tomatoes"", ""1 cup vegetable stock (or can use chicken stock)"", ""1 (15 ounce) can chickpeas, drained, rinsed"", ""2 ounces pitted dates, chopped (1/4 cup)"", ""plain yogurt"", ""coriander leaves"", ""cooked couscous, to serve""]","[""Heat oil in a medium deep frying pan over medium heat. Add the onion, cook for 3 minutes or until soft. Stir in the spice and cook, stirring, for 1 minute. Add pumpkin and mushrooms and stir until the vegetables are coated with spice mixture."", ""Add the tomatoes and stock, cover and simmer over medium-low heat, stirring occasionally, for 15 minutes or until the pumpkin is almost tender."", ""Stir in the chickpeas and dates, cook, covered a further 10 minutes until pumpkin is tender and chickpeas warm."", ""Top with a little yoghurt, scatter over the coriander and serve with couscous.""]"
Couscous With Moroccan Spices,"[""Sauce"", ""1 tablespoon olive oil"", ""1 cup chopped onion"", ""6 garlic cloves, minced"", ""1 teaspoon cumin seed, lightly toasted and ground"", ""1 teaspoon turmeric"", ""1/2 teaspoon cinnamon"", ""1/2 teaspoon ground coriander"", ""1/4 teaspoon cayenne"", ""1/2 teaspoon paprika"", ""2 cups light vegetable broth"", ""3 small tomatoes, peeled and pureed"", ""1/3 cup dried currant"", ""1 -2 tablespoon lemon juice (lime may be used instead)"", ""Couscous"", ""2 cups vegetable broth"", ""1 1/2 cups water"", ""1 tablespoon butter"", ""1/2 teaspoon salt"", ""2 cups couscous""]","[""Heat olive oil in a non stick pan and cook the chopped onion and garlic in it till the onion is soft and translucent."", ""Stir in the cumin, turmeric, cinnamon, coriander, cayenne and paprika."", ""Continue stirring over medium heat for 2-3 minutes, then add vegetable broth, tomato puree and currants."", ""Simmer the sauce for 10 minutes."", ""Remove the sauce from heat and stir in fresh lemon (or lime) juice to your taste."", ""If not using immediately and planning to reheat before serving, wait to add citrus juice at the last minute."", ""To cook the couscous, heat the broth, water, butter and salt together in a medium skillet till the liquid boils."", ""Reduce to a simmer, add the couscous, cover the skillet tightly and leave on the lowest heat for 5 minutes."", ""Remove the pan from the heat an leave it covered for another couple of minutes before fluffing with a fork."", ""(If using instant couscous, check package directions - you may not need to keep it on heat after boiling, but just cover and wait till liquid is absorbed - just see if liquid amounts match what is mentioned on the package).""]"
Vegetarian Moroccan Stew,"[""1 medium onion, chopped"", ""1 garlic clove, peeled and minced"", ""2 tablespoons water"", ""1 tablespoon canola oil"", ""2 medium potatoes, peeled and cut into 1-inch dice"", ""2 cups carrots, peeled and chopped"", ""1 (15 ounce) can reduced-sodium diced tomatoes, undrained"", ""1 teaspoon ground cumin"", ""1 cup low-sodium tomato juice"", ""2 cups green beans, sliced in 2-inch pieces"", ""1/4 teaspoon pepper""]","[""In a soup kettle, simmer onions and garlic in oil and water until transparent."", ""Add potatoes and carrots and simmer 15 minutes, stirring occasionally."", ""Add tomatoes and cumin. Cover and simmer 1 hour. Check occasionally to see if more liquid is needed. If so, add tomato juice as needed."", ""Add green beans and cook 15 minutes more."", ""Check seasoning and add pepper and more cumin to taste.""]"
Moroccan Carrot Soup,"[""2 teaspoons extra virgin olive oil"", ""1 onion, finely chopped"", ""2 garlic cloves, finely chopped"", ""1 tablespoon moroccan mixed spice"", ""400 g carrots, peeled and sliced"", ""100 g potatoes, peeled and sliced"", ""4 cups vegetable stock"", ""1/3 cup red lentil, rinsed and drained"", ""salt and pepper (to season)""]","[""Heat olive oil in a large saucepan. Add onion and cook over medium heat for 5 mins or until softened. Add the garlic and morrocan seasoing and cook, stirring for 30 seconds."", ""Add carrots, potato, vegetable stock and lentils. Bring to the boil, reduce heat, cover and simmer over a medium heat for 20 minutes or until the carrots and potatoes are very tender."", ""Blend soup mix in the saucepan using a stick blender. Season to taste with salt and black pepper.""]"
Moroccan Blood Orange Sorbet,"[""2/3 cup sugar"", ""1 cup water"", ""8 large blood oranges"", ""1 lime, juice of"", ""1/2 teaspoon ground cumin"", ""1/2 teaspoon ground cinnamon""]","[""Place the sugar and water in a small saucepan and set over low heat. Stir until the sugar dissolves and the syrup is clear. Remove from the heat and cool to room temperature."", ""To prepare the oranges, cut off the ends of the fruit so they sit flat on a cutting board. Then cut down the sides following the curve of the fruit, removing the rind and the white pith beneath. When the rind and pith are all removed, hold the fruit in one hand over a bowl and use a small paring knife in your other to cut between the membranes letting the clean orage sections fall into the bowl. Be careful not to cut down into your hand! When all the sections are cut away, squeeze the remaining fruit pulp in your hand to extract any risdual juice. Pour the orange segments and juice into a blender and blend for 10 seconds to chop up the fruit. You should have about 2 cups of juice and pulp. Combine the orange puree, cooled sugar syrup, lime juice, and spices, stir to combine well. Cover and refrigerate until cold."", ""Stir the chilled mixture, then freeze in 1 or 2 batches in your ice cream machine according to manufactures instructions. When finished, the sorbet will be soft but ready to eat. For firmer sorbet, transfer to a freezer safe container and freeze at least 2 hours.""]"
Moroccan Vegetables (Deepak Chopra),"[""1 teaspoon ghee oil (or olive oil)"", ""1 cup leek, chopped (or onions)"", ""3 garlic cloves, minced (or 1 teaspoon garlic powder)"", ""2 teaspoons oregano"", ""1 pinch black pepper"", ""2 teaspoons curry powder"", ""1 teaspoon allspice"", ""2 tablespoons Braggs liquid aminos (or tamai)"", ""1 large green bell pepper, finely chopped"", ""2 celery ribs, finely chopped"", ""2 cups tomatoes, finely chopped (about 1 1/2 pounds)"", ""1/2 cup vegetable stock (or tomato juice)"", ""2 large carrots, peeled and cut into 1/4-inch rounds"", ""1 cup cauliflower floret"", ""1/4 cup vegetable stock"", ""2 large zucchini, cut in half lengthwise, then into 1/4-inch slices"", ""4 cups fresh spinach, washed and torn into pieces"", ""1 cup broccoli floret"", ""2 tablespoons pine nuts, toasted"", ""1/4 cup fresh dill, chopped"", ""1/4 cup feta cheese (crumbled)""]","[""Heat the oil in a large saucepan. Add the leeks, garlic, oregano, black pepper, curry powder, allspice, and aminos and saute over medium heat for 2 to 3 minutes. Add the bell pepper, celery and tomatoes and continue to saute for 2 or 3 minutes. Reduce the heat to low, add the stock and simmer, covered for up to 1/2 hour."", ""Bring 3 quarts of water to a boil in a large pot. Add the carrots and cauliflower and blanch for 2 minutes, or lightly steam in a steamer. Drain the vegetables and set aside. In the same large pot, heat the vegetable stock and the zucchini, and simmer for 2 or 3 minutes. Add the carrots and cauliflower, the spinach, and the chili sauce. Heat just to the boiling point, add the broccoli, and stir. Reduce the heat to low. Cover and simmer for 3 to 4 minutes. Be careful not to overcook the broccoli. Garnish with toasted pine nuts, freshly chopped dill, and feta cheese. Serve over pasta, couscous, grains, or as a side dish stew."", ""Variation: Bake four 4-ounce boneless chicken breasts or four 4-ounce freshwater bass fillets in the sauce and serve vegetables on the side.""]"
Moroccan Mint Tea,"[""1 quart boiling water, plus more for heating the teapot"", ""3 green tea bags (equivalent to 1 Tablespoon loose green tea)"", ""3/4 cup sugar"", ""3 cups firmly packed mint leaves, and tender stems crushed, plus"", ""4 sprigs of fresh mint, for garnish""]","[""Pour about 1/2 cup boiling water into a teapot, swish it around to heat the pot, and dump out. Add tea to the teapot and pour in 1 cup of the boiling water. Cover and let steep 3 minutes."", ""Add sugar and mint leaves and stems to the teapot. Add the remaining 3 cups boiling water. Cover and let steep for 5 minutes."", ""Stir. Continue to steep for 5 minutes more."", ""Strain tea into cups.""]"
Moroccan Chickpea Soup,"[""2 tablespoons safflower oil"", ""2 carrots, grated"", ""2 garlic cloves, minced"", ""1 medium onion, chop fine (1/2 c)"", ""1 (15 ounce) can chickpeas, rinse, drain"", ""3 cups vegetable stock"", ""1/3 cup tahini"", ""2 tablespoons lemon juice"", ""1 tablespoon fresh parsley, chopped"", ""3/4 teaspoon cumin, Ground"", ""1/2 teaspoon black pepper"", ""1/2 teaspoon thyme leaves"", ""1/4 teaspoon powdered turmeric"", ""1/8 teaspoon cayenne pepper"", ""GARNISH"", ""toasted sesame seeds, minced scallions, finely chopped tomatoes (optional) or herbed garlic-flavored croutons (optional)""]","[""In 4-5 quart saucepan, heat oil."", ""Add carrots, garlic, and onion; cook until tender."", ""Set aside."", ""Meanwhile, in food processor, puree chickpeas, 1 cup of vegetable stock, tahini, and lemon juice."", ""Stir pureed mixture into saucepan."", ""Add remaining ingredients including vegetable stock."", ""Cover and cook for 5 minutes to heat through."", ""Top with garnish if desired."", ""VARIATIONS: Substitute olive oil for safflower oil.""]"
