title,description,ingredients,directions,total_time,instructions_list
Moroccan-Spiced Pork Roast,"Serving a gorgeous, fancy-looking holiday roast doesn't have to be complicated, time-consuming, or expensive. This pork loin proves exactly that. This is fast, easy, and affordable, but when you bring it to the table, it looks like a million dollars. The beautifully warming and aromatic spices really work so well with a pork roast - I hope you give it a try soon!","1 (3 pound) boneless pork loin roast ; 5 teaspoons kosher salt ; 2 tablespoons olive oil ; 2 teaspoons ground cumin ; 1 teaspoon ground coriander ; 1 teaspoon ground ginger ; 1 teaspoon freshly ground black pepper ; 1 teaspoon smoked paprika ; ¼ teaspoon cayenne pepper ; ½ teaspoon ground cinnamon ; ¼ teaspoon ground cloves ; ¼ teaspoon ground allspice ; 3 tablespoons honey, or as needed ; 8  baby potatoes ; 2  carrots, cut into 2-inch chunks ; 2  Anaheim chile peppers, halved and seeded ; 1  red onion, roughly chopped ; 2 tablespoons olive oil ;   salt to taste ; ½ cup plain Greek yogurt ; 2 tablespoons thinly sliced fresh mint ; 1 clove garlic, finely crushed","Butterfly the pork loin by cutting almost all the way through, starting on the thinnest side, keeping your knife flat and parallel to the cutting board. Stop about 1 inch from the opposite edge you started, so that the meat opens up like a book. A few more shallow cuts can be made if the pork is not opening up enough to flatten out, but do not cut all the way through, otherwise you'll end up with two pieces. Season the butterflied pork on both sides with kosher salt and let sit out at room temperature for 30 to 45 minutes, or 2 to 3 hours in the fridge. Preheat the oven to 350 degrees F (175 degrees C). Grease a roasting pan with 2 tablespoons olive oil. Pat the tenderloin dry with a paper towel. Mix cumin, coriander, ginger, black pepper, smoked paprika,cayenne, cinnamon, cloves, allspice, and honey together in a bowl with a spoon. Spread about half of the spice mixture inside the butterflied pork, fold it back together, and spread the remaining mixture all over the surface. Use 3 or 4 pieces of kitchen string to tie the loin up every few inches, cutting off extra string. Toss potatoes, carrots, chile peppers, and onion with olive oil and salt in a bowl. Place the pork into the prepared roasting pan and surround with vegetable mixture. Roast in the preheated oven until an instant-read thermometer inserted into the thickest part of the loin reads at least 140 to 145 degrees F (60 to 63 degrees C), about 1 hour and 15 minutes. Remove from the oven and turn roast over with tongs in pan drippings. Transfer to a plate, cover loosely with foil, and let rest for 15 minutes. Increase oven temperature to 425 degrees F. Toss vegetable mixture in pan drippings and return to the oven to crisp up, about 10 minutes. Combine yogurt, mint, and garlic in a small bowl for sauce. Remove strings on roast. Slice, spoon pan drippings over, and serve with vegetables and yogurt sauce.",2 hrs 40 mins,"[""Butterfly the pork loin by cutting almost all the way through, starting on the thinnest side, keeping your knife flat and parallel to the cutting board. Stop about 1 inch from the opposite edge you started, so that the meat opens up like a book. A few more shallow cuts can be made if the pork is not opening up enough to flatten out, but do not cut all the way through, otherwise you'll end up with two pieces."", 'Season the butterflied pork on both sides with kosher salt and let sit out at room temperature for 30 to 45 minutes, or 2 to 3 hours in the fridge.', 'Preheat the oven to 350 degrees F (175 degrees C). Grease a roasting pan with 2 tablespoons olive oil. Pat the tenderloin dry with a paper towel.', 'Mix cumin, coriander, ginger, black pepper, smoked paprika,cayenne, cinnamon, cloves, allspice, and honey together in a bowl with a spoon. Spread about half of the spice mixture inside the butterflied pork, fold it back together, and spread the remaining mixture all over the surface. Use 3 or 4 pieces of kitchen string to tie the loin up every few inches, cutting off extra string.', 'Toss potatoes, carrots, chile peppers, and onion with olive oil and salt in a bowl.', 'Place the pork into the prepared roasting pan and surround with vegetable mixture.', 'Roast in the preheated oven until an instant-read thermometer inserted into the thickest part of the loin reads at least 140 to 145 degrees F (60 to 63 degrees C), about 1 hour and 15 minutes. Remove from the oven and turn roast over with tongs in pan drippings. Transfer to a plate, cover loosely with foil, and let rest for 15 minutes.', 'Increase oven temperature to 425 degrees F. Toss vegetable mixture in pan drippings and return to the oven to crisp up, about 10 minutes.', 'Combine yogurt, mint, and garlic in a small bowl for sauce.', 'Remove strings on roast. Slice, spoon pan drippings over, and serve with vegetables and yogurt sauce.']"
Beghrir (Moroccan Pancakes),"Moroccan pancakes are served with honey-butter sauce. Best during Ramadan for breaking the fast or pre-dawn, but certainly great anytime.","1 cup warm water (115 degrees F/46 degrees C) ; ½ teaspoon active dry yeast ; ½ teaspoon white sugar ; 1 cup milk ; 1 cup all-purpose flour ; 1 cup semolina flour ; 2  eggs ; 2 teaspoons baking powder ; 1 teaspoon salt ; 6 tablespoons butter ; ¾ cup honey ; 1 teaspoon orange-flower water, or to taste  (Optional)","Place the water, yeast, and sugar in a blender, and let stand without blending for 5 minutes, until the yeast softens and begins to form a creamy foam. Add the milk, flour, semolina flour, eggs, baking powder, and salt. Blend until the mixture is smooth, about 1 minute. Leave the mixture in the blender to rest for about 30 minutes. Heat a 5-inch nonstick skillet over medium-low heat. Blend the pancake mixture for about 10 seconds, to remix, and scoop 1/4 to 1/3 cup of batter into the heated skillet. Cook the beghrir until bubbles have formed and popped, and the top of the pancake is no longer shiny, about 3 minutes. Do not flip. Adjust the heat as necessary so that the bottoms of the pancakes are just starting to brown when the tops are dry. Blend the batter for 10 seconds or so after cooking 3 or 4 pancakes, to keep the batter fluffy. To make the sauce, place the butter, honey, and flower-water flavoring in a microwave-safe bowl, and microwave on High setting until the butter is melted and the honey is hot, about 1 1/2 minutes. Stir the sauce, and drizzle about 1 tablespoon over each warm pancake to serve.",1 hr 20 mins,"['Place the water, yeast, and sugar in a blender, and let stand without blending for 5 minutes, until the yeast softens and begins to form a creamy foam. Add the milk, flour, semolina flour, eggs, baking powder, and salt. Blend until the mixture is smooth, about 1 minute. Leave the mixture in the blender to rest for about 30 minutes.', 'Heat a 5-inch nonstick skillet over medium-low heat. Blend the pancake mixture for about 10 seconds, to remix, and scoop 1/4 to 1/3 cup of batter into the heated skillet. Cook the beghrir until bubbles have formed and popped, and the top of the pancake is no longer shiny, about 3 minutes. Do not flip. Adjust the heat as necessary so that the bottoms of the pancakes are just starting to brown when the tops are dry. Blend the batter for 10 seconds or so after cooking 3 or 4 pancakes, to keep the batter fluffy.', 'To make the sauce, place the butter, honey, and flower-water flavoring in a microwave-safe bowl, and microwave on High setting until the butter is melted and the honey is hot, about 1 1/2 minutes. Stir the sauce, and drizzle about 1 tablespoon over each warm pancake to serve.']"
Moroccan Chicken with Saffron and Preserved Lemon,Chicken thighs full of spice and amazing scents to take you right to the Mediterranean. Great with quinoa or brown rice and lots green veggies.,"¼ cup olive oil, or to taste ; 3 cloves garlic, minced ; 1 teaspoon ground turmeric ; 1 teaspoon cumin seeds ;   salt and ground black pepper to taste ; 4 large chicken thighs ; 2 tablespoons olive oil, or as needed ; 1  white onion, chopped ; 2 cups water, or as needed ; 16  saffron threads ; ½  preserved lemon, pulp discarded and thinly sliced ; ¼ cup olives, or to taste  (Optional); 2  artichoke bottoms, chopped  (Optional); ¼ cup coarsely chopped parsley  (Optional)","Whisk 1/4 cup olive oil, garlic, turmeric, cumin seeds, salt, and pepper together in a bowl and pour into a resealable plastic bag or container. Add chicken, coat with the paste and seal bag or container. Marinate in the refrigerator, 4 hours to overnight. Heat 2 tablespoons olive oil in a large stockpot over medium-high heat. Add onion; cook and stir until soft and translucent, 5 to 7 minutes. Remove chicken from marinade, discarding marinade. Add chicken thighs skin-side down to stockpot and cook until browned, about 4 minutes. Flip chicken thighs and cook until browned on second side, about 3 minutes more. Lower heat to medium and add water to cover chicken halfway, cover stockpot, and cook for 20 minutes. Uncover stockpot, sprinkle saffron threads onto chicken, and top with preserved lemon slices. Replace cover and cook until chicken is no longer pink at the bone and juices run clear, about 5 minutes more. An instant-read thermometer inserted near the bone should read at least 165 degrees F (74 degrees C). Uncover stockpot and transfer chicken to a serving platter. Continue simmering liquid in stockpot until thickened to sauce consistency, 5 to 7 minutes. Spoon sauce over chicken; top with olives, artichokes, and parsley.",4 hrs 57 mins,"['Whisk 1/4 cup olive oil, garlic, turmeric, cumin seeds, salt, and pepper together in a bowl and pour into a resealable plastic bag or container. Add chicken, coat with the paste and seal bag or container. Marinate in the refrigerator, 4 hours to overnight.', 'Heat 2 tablespoons olive oil in a large stockpot over medium-high heat. Add onion; cook and stir until soft and translucent, 5 to 7 minutes. Remove chicken from marinade, discarding marinade. Add chicken thighs skin-side down to stockpot and cook until browned, about 4 minutes. Flip chicken thighs and cook until browned on second side, about 3 minutes more.', 'Lower heat to medium and add water to cover chicken halfway, cover stockpot, and cook for 20 minutes. Uncover stockpot, sprinkle saffron threads onto chicken, and top with preserved lemon slices. Replace cover and cook until chicken is no longer pink at the bone and juices run clear, about 5 minutes more. An instant-read thermometer inserted near the bone should read at least 165 degrees F (74 degrees C). Uncover stockpot and transfer chicken to a serving platter.', 'Continue simmering liquid in stockpot until thickened to sauce consistency, 5 to 7 minutes. Spoon sauce over chicken; top with olives, artichokes, and parsley.']"
Crispy Baked Moroccan Chicken Wings with Yogurt Dip,"Ditch the deep fryer in favor of flavor-packed baked chicken wings coated in Moroccan spices and crisped to perfection atop a foil-lined baking sheet from Kelly Senyei of Just a Taste. Dunk the spiced wings in a refreshing herb yogurt dip made with mint, cilantro, lemon juice and honey.",2 ½ pounds chicken wings ; 1 ½ tablespoons vegetable oil ; 1 teaspoon paprika ; 1 teaspoon ground cumin ; ¼ teaspoon ground cinnamon ; ¼ teaspoon ground ginger ; ¼ teaspoon cayenne pepper ; ¼ teaspoon ground turmeric ; ½ teaspoon salt ; ¼ teaspoon pepper ;   Reynolds Wrap® Non Stick Aluminum Foil ; 1 cup plain Greek yogurt ; 2 tablespoons fresh lemon juice ; 1 tablespoon chopped fresh mint ; 1 tablespoon chopped fresh cilantro ; 1 ½ tablespoons honey ; ½ teaspoon salt ; ¼ teaspoon pepper,"Preheat the oven to 400 degrees F. Line a baking sheet with Reynolds Wrap® Non-Stick Foil. Add the chicken wings to a large bowl, drizzle them with the vegetable oil then toss until the wings are thoroughly coated. In a small bowl, stir together the paprika, cumin, cinnamon, ginger, cayenne, turmeric, salt and pepper. Sprinkle the wings with the spice mixture, tossing until they are coated. Arrange the wings in a single layer on the baking sheet, spacing them apart so that they aren't touching. Bake the wings for 40 to 45 minutes until they are cooked through, then transfer them to a serving platter. In a small bowl, stir together the yogurt, lemon juice, mint, cilantro, honey, salt and pepper. Taste and season the dip with additional salt and pepper as desired. Serve the wings with the yogurt dip.",55 mins,"['Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with nonstick aluminum foil.', 'Place chicken wings into a large bowl, drizzle with oil, and toss until thoroughly coated.', 'Stir paprika, cumin, salt, cinnamon, ginger, cayenne pepper, turmeric, and black pepper together in a small bowl. Sprinkle spice mixture over wings and toss to coat.', ""Arrange wings in a single layer on the prepared baking sheet, spacing them apart so they aren't touching."", 'Bake in the preheated oven until no longer pink at the bone and the juices run clear, 40 to 45 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).', 'Meanwhile, make the yogurt dip: Stir yogurt, lemon juice, honey, mint, cilantro, salt, and pepper together in a small bowl. Taste dip and season with additional salt and pepper as desired.', 'Remove wings from the oven and transfer to a serving platter. Serve with yogurt dip.']"
Vegetarian Moroccan Harira,"Harira is a famous Moroccan soup, and here's a hearty vegetarian (and vegan!) version - packed with tomatoes and chickpeas and flavored with paprika, turmeric, saffron, ginger, and harissa. The amount of water can be adjusted depending on the thickness you want. I like this soup pretty thick and nourishing, so I do not add too much water.","2 tablespoons vegetable oil ; 1 large onion, chopped ; 2 pounds tomatoes, diced ; 1 (15 ounce) can chickpeas, drained ; 1 bunch fresh cilantro, chopped ; 1 bunch fresh parsley, chopped ; 20  fresh mint leaves, chopped ; 1 teaspoon ground paprika ; 1 teaspoon ground turmeric ; 1 teaspoon ground ginger ; ½ teaspoon harissa ; 1 pinch saffron threads ; 4 cups water, or more to taste ; 1 tablespoon all-purpose flour ; 1 teaspoon cornstarch ; ½ cup cherry tomatoes, halved ;   salt and ground black pepper to taste","Heat oil in a large pot over medium heat and cook onion until soft and translucent, about 5 minutes. Add tomatoes, chickpeas, cilantro, parsley, mint, paprika, turmeric, ginger, harissa, and saffron. Add water and cook over medium heat until flavors have combined, about 30 minutes. Mix a few tablespoons of soup liquid with flour and cornstarch in a small bowl and return to the soup, stirring in well. Add cherry tomatoes. Bring to a boil, reduce heat, and simmer over low heat until soup thickens, about 10 minutes. Season with salt and pepper.",1 hr 5 mins,"['Heat oil in a large pot over medium heat and cook onion until soft and translucent, about 5 minutes. Add tomatoes, chickpeas, cilantro, parsley, mint, paprika, turmeric, ginger, harissa, and saffron. Add water and cook over medium heat until flavors have combined, about 30 minutes.', 'Mix a few tablespoons of soup liquid with flour and cornstarch in a small bowl and return to the soup, stirring in well. Add cherry tomatoes. Bring to a boil, reduce heat, and simmer over low heat until soup thickens, about 10 minutes. Season with salt and pepper.']"
Moroccan Meat Cigars,This goes great with hummus on the side!,"1 teaspoon olive oil ; ½ pound lean ground beef ; ½ cup canned crushed tomatoes, drained ; ¼ teaspoon ground cinnamon ; ¼ teaspoon ground cumin ; ⅛ teaspoon paprika ; ⅛ teaspoon ground allspice ; 1 (16 ounce) package phyllo dough ;   cooking oil spray","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet. Heat olive oil in skillet over medium-high heat. Cook ground beef until it loses its pink color and begins to brown. Drain fat from skillet. Add tomatoes, cinnamon, cumin, paprika and allspice. Reduce heat to medium and simmer until mixture reduces slightly, about 10 minutes. Remove one phyllo sheet from package and keep the rest covered with a clean cloth until ready to use. On a flat work surface, cut the phyllo sheet into 2 14x9-inch rectangles. Spray the first half-sheet with cooking spray, place the 2nd half on top of it and spray again with oil. Place a generous teaspoon of the meat mixture near the narrow end of the dough. Fold dough over the top of the meat, fold in the sides of the dough, and roll into a narrow tube (cigar) shape. Repeat until all the meat has been rolled up. Arrange cigars on prepared baking sheet. Bake in preheated oven until lightly browned, about 25 minutes.",,"['Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet.', 'Heat olive oil in a skillet over medium-high heat. Cook ground beef until it loses its pink color and begins to brown; drain fat from skillet. Add tomatoes, cinnamon, cumin, paprika, and allspice. Reduce heat to medium and simmer until mixture reduces slightly, about 10 minutes.', 'Remove one phyllo sheet from the package and keep the rest covered with a clean cloth until ready to use. On a flat work surface, cut phyllo sheet into two 14x9-inch rectangles; spray one rectangle with cooking spray, place the other rectangle on top and spray again with oil. Place a generous teaspoon of meat filling near the narrow end of dough. Fold dough over meat, fold in the sides of dough, and roll into a cigar-shaped tube. Repeat until meat filling has been rolled up. Arrange phyllo cigars on the prepared baking sheet.', 'Bake in preheated oven until lightly browned, about 25 minutes.']"
Moroccan Ksra,"This tasty flat bread is usually made to be eaten with tagine, a spiced Moroccan stew.",⅞ cup water ; 2 ¼ cups bread flour ; ¾ cup semolina flour ; 1 teaspoon anise seed ; 1 ½ teaspoons salt ; ½ teaspoon white sugar ; 2 teaspoons active dry yeast ; 1 tablespoon olive oil ; 1 tablespoon sesame seeds  (Optional),"Place the first set of ingredients in the pan of the bread machine in the order recommended by the manufacturer. Select DOUGH cycle; press Start. Do not put the olive oil or sesame seeds in. When the dough cycle signals its end, remove the dough from the machine, and punch down. Divide the dough into two halves, and shape into balls. Flatten the balls to a 3/4 inch thickness. Place them on a lightly floured baking sheet. Cover with towels, and let rise until double in size, about 30 minutes. Preheat the oven to 400 degrees F (200 degrees C). Brush the top of each loaf with olive oil, and sprinkle with sesame seeds if you like. Prick the tops of the loaves all over using a fork. Bake for 20 to 25 minutes in the preheated oven, or until the loaves are golden, and sound hollow when tapped. Serve warm or cool.",2 hrs 20 mins,"['Place the first set of ingredients in the pan of the bread machine in the order recommended by the manufacturer. Select DOUGH cycle; press Start. Do not put the olive oil or sesame seeds in.', 'When the dough cycle signals its end, remove the dough from the machine, and punch down. Divide the dough into two halves, and shape into balls. Flatten the balls to a 3/4 inch thickness. Place them on a lightly floured baking sheet. Cover with towels, and let rise until double in size, about 30 minutes.', 'Preheat the oven to 400 degrees F (200 degrees C). Brush the top of each loaf with olive oil, and sprinkle with sesame seeds if you like. Prick the tops of the loaves all over using a fork.', 'Bake for 20 to 25 minutes in the preheated oven, or until the loaves are golden, and sound hollow when tapped. Serve warm or cool.']"
Moroccan Chicken Tagine with Caramelized Pears,"Chicken cooked in a tagine is always meltingly tender. Adding sweet, caramelized pears at the end makes this Moroccan dish irresistible.","7 tablespoons olive oil, divided ; 2  onions, peeled and sliced ; 1  whole chicken, cut into pieces ; 1 teaspoon ground turmeric ; 1 teaspoon ground cumin ; 1 teaspoon ground coriander ; 1 teaspoon salt ; 3  cinnamon sticks ; 2  bay leaves, crushed ; 1 bunch fresh cilantro, chopped ; 2 tablespoons fresh ginger root, peeled and minced ; ½ cup water ; 2 tablespoons butter ; 2  pears, cored and sliced ; 2 tablespoons honey","Preheat oven to 350 degrees F (175 degrees C). Heat 2 tablespoon olive oil in a skillet over medium heat and cook onions until softened and browned, 8 to 10 minutes. Transfer onions into a tagine. Layer chicken pieces on top of onions. Combine turmeric, cumin, ground coriander, and salt in a small bowl; mix well with remaining 5 tablespoons olive oil. Spread spice mixture onto the chicken pieces. Add cinnamon pieces, bay leaves, ginger, and cilantro. Pour in 1/2 cup of water and cover tagine with a lid. Bake in the preheated oven until chicken is no longer pink at the bone and the juices run clear, about 50 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Melt butter in a skillet over low heat while chicken is cooking. Add sliced pears and honey and cook, while stirring, until honey has caramelized. Remove tagine from the oven and stir in caramelized pears. Return to the oven and cook for an additional 10 minutes.",1 hr 28 mins,"['Preheat oven to 350 degrees F (175 degrees C).', 'Heat 2 tablespoon olive oil in a skillet over medium heat and cook onions until softened and browned, 8 to 10 minutes. Transfer onions into a tagine. Layer chicken pieces on top of onions.', 'Combine turmeric, cumin, ground coriander, and salt in a small bowl; mix well with remaining 5 tablespoons olive oil. Spread spice mixture onto the chicken pieces. Add cinnamon pieces, bay leaves, ginger, and cilantro. Pour in 1/2 cup of water and cover tagine with a lid.', 'Bake in the preheated oven until chicken is no longer pink at the bone and the juices run clear, about 50 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).', 'Melt butter in a skillet over low heat while chicken is cooking. Add sliced pears and honey and cook, while stirring, until honey has caramelized.', 'Remove tagine from the oven and stir in caramelized pears. Return to the oven and cook for an additional 10 minutes.']"
Moroccan-Spiced Chicken Skewers,Amazing chicken skewers my mom used to make when I was younger. These are great fresh of the grill and even better reheated. I love to meal prep this and take with me to work.,"¼ cup extra-virgin olive oil ; ¼ cup chopped fresh mint leaves ; ¼ cup chopped fresh cilantro ; 2 tablespoons fresh lemon juice ; 2 teaspoons honey ; 1 ½ teaspoons kosher salt ; 2 cloves garlic, minced ; 1 teaspoon paprika ; 1 teaspoon ground cumin ; ½ teaspoon ground coriander ; ½ teaspoon ground cinnamon ; ¼ teaspoon ground cayenne pepper ; 4 (6 ounce) skinless, boneless chicken breast halves, cut into 1 1/2 inch cubes ; 2 cups whole-milk Greek yogurt ; ½ cup fresh lemon juice ; ¼ cup finely chopped mint leaves  ; 2 cloves garlic, minced ; 1 teaspoon finely grated fresh lemon zest ; 1 teaspoon kosher salt ; 2  green bell peppers, cut into cubes ; 1 small red onion, cut into 8 wedges ;   bamboo skewers, soaked in water for 30 minutes","Whisk olive oil, 1/4 cup mint, cilantro, 2 tablespoons lemon juice, honey, 1 1/2 teaspoon salt, 2 cloves garlic, paprika, cumin, coriander, cinnamon, and cayenne in a large bowl. Reserve 1/4 cup marinade in a separate bowl. Place chicken in a large resealable plastic bag. Pour marinade over chicken. Press air out of the bag and seal tightly. Turn the bag to distribute the marinade. Place in a bowl and refrigerate for 5 hours. Whisk yogurt, 1/2 cup lemon juice, 1/4 cup mint, 2 cloves garlic, lemon zest, and 1 teaspoon salt together in a bowl to make sauce. Cover and place in the refrigerator. Toss green bell peppers and red onion in the reserved 1/4 cup marinade. Remove chicken from the bag and discard all marinade. Thread chicken, peppers, and onion alternately onto skewers. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Arrange skewers on the grill. Close lid and cook, turning once or twice, until chicken is firm to the touch, 8 to 10 minutes. Remove from grill and let stand for 2 to 3 minutes. Serve with cold sauce.",5 hrs 55 mins,"['Whisk olive oil, 1/4 cup mint, cilantro, 2 tablespoons lemon juice, honey, 1 1/2 teaspoon salt, 2 cloves garlic, paprika, cumin, coriander, cinnamon, and cayenne in a large bowl. Reserve 1/4 cup marinade in a separate bowl.', 'Place chicken in a large resealable plastic bag. Pour marinade over chicken. Press air out of the bag and seal tightly. Turn the bag to distribute the marinade. Place in a bowl and refrigerate for 5 hours.', 'Whisk yogurt, 1/2 cup lemon juice, 1/4 cup mint, 2 cloves garlic, lemon zest, and 1 teaspoon salt together in a bowl to make sauce. Cover and place in the refrigerator.', 'Toss green bell peppers and red onion in the reserved 1/4 cup marinade. Remove chicken from the bag and discard all marinade. Thread chicken, peppers, and onion alternately onto skewers.', 'Preheat an outdoor grill for medium-high heat and lightly oil the grate. Arrange skewers on the grill. Close lid and cook, turning once or twice, until chicken is firm to the touch, 8 to 10 minutes. Remove from grill and let stand for 2 to 3 minutes. Serve with cold sauce.']"
Moroccan Lamb Kabobs,A magnificent sweet and spicy lamb recipe. You can increase cayenne and other spices to suit individual tastes. Serve in warm pita bread with mixed greens (try using some strongly flavored ones) and fresh herbs. Drizzle with a lemon and herb yogurt sauce or a tzatziki sauce.,"2 pounds ground lamb ; 1 cup raisins ; 5 ounces goat cheese ; ⅓ cup mayonnaise ; 1  red onion, finely chopped ; 2 cloves garlic, finely chopped ; 2 tablespoons chopped fresh cilantro ; ¾ tablespoon ground cayenne pepper ; ½ teaspoon ground cumin ; ½ teaspoon ground coriander ;   salt to taste ;   coarsely ground black pepper to taste","Preheat an outdoor grill for high heat and lightly oil grate. In a medium bowl, mix together ground lamb, raisins, goat cheese, mayonnaise, red onion, garlic, cilantro, cayenne pepper, cumin, ground coriander, salt and black pepper. Divide the mixture into approximately 6 even portions, and press around skewers. Place skewers on the grill. Cook approximately 4 minutes per side, or until the cheese has melted, the raisins are tender and lamb has reached desired doneness.",30 mins,
Moroccan Lentil Stew,"This hearty stew is loaded with vegetables, so it's easy on the waistline! I recently re-joined WW, and am searching for ways to incorporate more legumes and veggies in my diet, and this recipe makes that easy. The warm Moroccan spices ensure a flavorful stew. One serving is 4sp on the WW green plan.","5 cups hot water ; 2 cubes  tomato bouillon with chicken flavoring (such as Knorr®) ; 1 tablespoon extra-virgin olive oil ; 1 cup chopped yellow onion ; 2 large cloves garlic, minced ; 1 teaspoon dried fenugreek leaves ; 1  bay leaf ; ½ teaspoon ground cumin ; ½ teaspoon ground coriander ; ½ teaspoon ground cinnamon ; ½ teaspoon salt ; ¼ teaspoon cayenne pepper ; 1 cup lentils ; 1 cup peeled and chopped butternut squash ; 1 large carrot, chopped ; 1  celery stalk, chopped ; ½ cup chopped fresh green beans ; ¼ cup frozen peas ; 1 tablespoon chopped fresh cilantro  (Optional)","Stir hot water and tomato bouillon together in a bowl until dissolved. Heat oil over medium heat in a Dutch oven or large pot. Add onion; cook and stir until starting to soften, about 3 minutes. Stir in garlic, fenugreek leaves, bay leaf, cumin, coriander, cinnamon, salt, and cayenne pepper; cook for 1 minute more. Stir in lentils, butternut squash, carrot, celery, and tomato bouillon. Bring to a boil. Reduce heat to low, cover, and simmer, stirring occasionally, until lentils have softened, about 45 minutes. Add green beans and peas and cook for 5 minutes more. Garnish with fresh cilantro.",1 hr 20 mins,"['Stir hot water and tomato bouillon cubes together in a bowl until dissolved.', 'Heat oil in a Dutch oven over medium heat. Add onion; cook and stir until starting to soften, about 3 minutes. Stir in garlic, fenugreek leaves, bay leaf, cumin, coriander, cinnamon, salt, and cayenne pepper; cook until fragrant, about 1 minute.', 'Stir in lentils, butternut squash, carrot, celery. Add tomato bouillon and bring to a boil. Reduce the heat to low, cover, and simmer, stirring occasionally, until lentils have softened, about 45 minutes.', 'Add green beans and peas; cook until tender, about 5 minutes. Garnish with fresh cilantro.']"
Moroccan Salmon Cakes with Garlic Mayonnaise,"This is a great alternative to the standard salmon patty recipe using couscous, spinach, and cumin for an exotic flavor.","½ cup mayonnaise ; 1 clove garlic, crushed ; ⅛ teaspoon paprika ; ½ cup couscous  ; ⅔ cup orange juice ; 1 (14.75 ounce) can red salmon, drained ; 1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry ; 2  egg yolks, beaten ; 2 cloves garlic, crushed ; 1 teaspoon ground cumin ; ½ teaspoon ground black pepper ; ½ teaspoon salt ; 3 tablespoons olive oil","In a small stainless steel or glass bowl, stir together mayonnaise, garlic, and paprika. Set aside. Prepare couscous according to package directions using the 2/3 cup of orange juice in place of water. In a mixing bowl, combine the cooked couscous, red salmon, drained spinach, egg yolks, garlic, cumin, black pepper, and salt. Form into patties. In a large skillet over medium heat, heat the olive oil and fry patties until golden brown turning once, about 8 to 10 minutes. Serve with garlic mayonnaise.",45 mins,
Moroccan Quinoa Salad,"While searching for something to whip together for dinner, and as a way to use up a bunch of fresh herbs I had on hand, I came up with this recipe and was extremely pleased with the results! I've made it several times since and my family loves it! Very light and flavorful! Enjoy as is or serve along with grilled chicken.","3 tablespoons olive oil ; 5 cloves garlic, minced ; 3  shallots, diced ; 1 ½ teaspoons ground cumin ; 1 ½ teaspoons ground ginger ; 1 ½ teaspoons ground cinnamon ; 4 cups chicken broth ; 2 cups red quinoa ; 1 ¼ cups raisins ; 2 cups hot water ;   lemon, juiced ; 1 (29 ounce) can garbanzo beans, drained ; 2  carrots, shredded ; ⅓ cup chopped fresh parsley ; ⅓ cup chopped fresh basil ; ⅓ cup chopped fresh mint","Heat the olive oil in a skillet over medium heat. Stir in the garlic and shallots; cook and stir until the shallots have softened and turned translucent, about 5 minutes. Stir in the cumin, ginger, and cinnamon. Cook until fragrant, about 1 minute more. Add the chicken broth and quinoa, and bring to a boil, then reduce heat to low. Cover and cook until the quinoa is tender and the liquid has been absorbed, about 20 minutes. Meanwhile, place raisins in a bowl and cover with hot water. Soak until the raisins soften and plump up, about 15 minutes. Drain and set aside. Fluff the quinoa with a fork and stir in the lemon juice. Remove from heat and allow to cool to room temperature. Stir in the garbanzo beans, raisins, carrots, parsley, basil, and mint. Serve at room temperature or chilled.",1 hr 45 mins,
Moroccan Sweet Potato and Raisin Salad,"This sweet Moroccan salad is prepared by simmering diced sweet potatoes or yams with cinnamon, turmeric, saffron, raisins and honey. It is an easy dish with an exotic taste.","⅓ cup raisins ; 1 pound sweet potatoes, peeled and cut into 1/2-inch cubes ; 2 cups water ; 2 tablespoons honey ; 2 tablespoons butter ; ½ teaspoon salt ; ½ teaspoon ground cinnamon ; ¼ teaspoon ground black pepper ; ⅛ teaspoon ground turmeric ; 3  saffron threads, crumbled, or to taste","Place raisins into a bowl, cover with boiling water, and let stand to plump. Place sweet potatoes into a saucepan, cover with 2 cups water, and bring to a boil. Add honey, butter, salt, cinnamon, black pepper, turmeric, and saffron to potatoes; reduce heat to low. Simmer until potatoes are tender but not mushy, 8 to 10 minutes. Drain raisins and stir into sweet potato mixture. Continue to simmer until mixture has thickened, about 10 more minutes. Let cool before serving.",1 hr 5 mins,
