name,ingredients,instructions,total_time
Krachel - Aniseed and Sesame Seed Sweet Buns,"2 teaspoons dry active yeast - 60g caster sugar - 300g flour - 2 tablespoons toasted sesame seeds and more for garnish - 1 teaspoon aniseed - 1/2 teaspoon salt - 1 egg - 80 to 120ml warm milk - 50g unsalted butter, melted - 1 tablespoon orange blossom water - 1 egg yolk for brushing",• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of lukewarm water in a small bowl. Stir with a fork and leave for 5 to 10 minutes until foamy. ,62
Chermoula Chicken Burger + Harissa and Orange Coleslaw,,• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of lukewarm water in a small bowl. Stir with a fork and leave for 5 to 10 minutes until foamy. ,0
How we cook and what we ate this summer – Morocco edition + 3 non recipes,Olive oil - 1 large fish - Sliced zucchinis   - Chopped herbs - Garlic (finely chopped or pressed) - Salt and pepper,• In a large (tagine) pot warm up the olive oil and reduce the heat to medium-low. Transfer the rest of the ingredients and cover until the fish is cooked. Check for doneness occasionally. Timing will vary depending on the size of the fish.,51
Buttermilk and Almond Basbousa with Orange and Cardamom Syrup ,400g semolina flour - 150g almond flour - 50g caster sugar - pinch of salt - 100g unsalted melted butter - 250ml (1 cup) buttermilk - 2 teaspoons baking soda,• Preheat oven to 200 C (390 F).,49
Beetroot Salad with Chopped Avocado ,"6 medium sized cooked and peeled beetroots - 2 avocados - 2 small shallots - 4 tablespoons olive oil - 2 tablespoons finely chopped fresh parsley and more for garnish, if desired. - 1 teaspoon ground cumin - Salt and pepper to taste - Juice of half a lemon - 2 tablespoons white wine vinegar",• Roughly chop the beetroots and the avocados into small pieces (2 cm x 2 cm). Place in a large bowl.,56
Sardine Tagine ,"1kg fresh sardines, deboned and cleaned (heads removed) - 1 cup chermoula - 3 tablespoons preserved lemon flesh - 3 large potatoes, thinly sliced  - 3 bell peppers (any colour), seeded and sliced into rings - 3 large tomatoes sliced - 1 large zucchini, sliced   - Lemon slices (or chopped preserved lemon) for garnish  - Chopped coriander for garnish",• Finely chop the preserved lemon flesh and mix with the chermoula.,77
Sweet Chermoula Tuna Tartare with Cucumber Noodles ,"500g (sushi grade) tuna steaks, finely diced (1 cm x 1 cm) - 3 large cucumbers - Zest of a lemon and 1 tablespoon toasted sesame seeds for garnish","• To make the chermoula, mix all the chermoula ingredients together and stir until smooth. ",92
FroYo Orange Blossom Lemonade Popsicles,"600g plain greek yogurt (2 cups) - 300g caster sugar - 240ml lemon juice (juice of 6 to 8 lemons depending on size), (1 cup ) - 2 tablespoons orange blossom - 1 cup citrus marmalade or jam (any type; orange, lemon, grapefruit, etc.) - Optional topping: melted dark chocolate and desiccated coconut","• In a large container, mix together all the ingredients until you obtain a smooth consistency. Use a blender or a sieve to make sure there are no lumps left.",78
Harissa ,"500g red bell peppers - 1 to 4 chili peppers (any type), depending on how spicy you want your harissa - 5 garlic cloves - 4 tablespoons olive oil and more for preservation - ·1 teaspoon salt or more to taste",• Preheat oven to 120 C (250 F),54
Msemen,"150g plain flour and more for kneading - 150g semolina flour and more for flouring  - ½ teaspoon salt - 120 to 170ml lukewarm water - 4 tablespoons vegetable oil, divided - 20g melted butter","• In a large bowl mix all the flours, salt, 120 ml lukewarm water and 2 tablespoons vegetable oil to form a dough. If the mixture is too dry and you can’t form a dough, add a couple tablespoons of water bit by bit. Make sure you don’t add too much water to the dough because it will make your dough very sticky and you won't be able to knead it. If that happens, add a bit of flour. When your dough is nicely done, lightly flour a worktop and knead for 15 minutes until light and soft.",41
Taktouka ,"2 large sweet green peppers such as bell peppers - 3 tablespoons olive oil - 4 large tomatoes - 1 teaspoon finely chopped garlic, about 2 cloves - 4 tablespoons mixture of fresh chopped parsley and coriander - 1 teaspoon paprika - ½ teaspoon cumin - Pinch cayenne pepper - ½ teaspoon salt or more to taste - ½ teaspoon caster sugar",• Preheat your grill or chargrilled pan to high.,57
Pistachio and Hazelnut Briouate,"150g blanched hazelnuts - 150g unsalted shelled pistachios - 80g caster sugar - 3 tablespoons orange blossom water, divided - ½ teaspoon ground cinnamon - ½ teaspoon ground dried ginger  - 1 teaspoon salt - 30g unsalted butter, softened - 20g unsalted butter melted - 200g filo pastry - 300g honey - Ground nuts or chopped dried fruits for decoration",• Preheat oven to 180 C (350 F).,97
Sfenj - Moroccan Donuts,"1 tablespoon dry active yeast - ¼ teaspoon caster sugar to activate the yeast - 500g plain flour - 1 teaspoon salt - 240ml lukewarm water - vegetable oil, for frying - 250g icing sugar sifted for the glaze (glaze is optional) - 2 tablespoon milk for the glaze (glaze is optional)",• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of lukewarm water in a small bowl. Stir with a fork and leave for 5 to 10 minutes until foamy.,96
Chebakia - La Rose des Sables ,"1 teaspoon dry active yeast - ½ teaspoon caster sugar - 500g plain flour, plus more for dusting - 250g sesame seeds, very finely ground - 250g almond flour - 1 large egg - ¼ cup white vinegar - ¼ cup orange blossom water - 80ml melted butter   - 80ml cup olive oil - ¼ teaspoon ground turmeric - ½  teaspoon ground cinnamon - ½ teaspoon ground anise - Generous pinch of saffron - Pinch of salt",• Activate the dry yeast by adding ½ teaspoon of sugar and 3 tablespoons of lukewarm water in a small bowl. Stir with a fork and leave for 5 minutes until foamy.,58
Batbout + Quick Chicken Tagine Filling ,1 teaspoon dry active yeast - 1 teaspoon caster sugar - 100g plain flour and more for dusting - 100g semolina flour and more for dusting - 1 tablespoon vegetable oil and more for cooking the batbouts - 1 teaspoon salt - 120 to 170ml lukewarm water,• Activate the dry yeast by adding ½ teaspoon of sugar and one tablespoon of lukewarm water in a small bowl. Stir with a fork and leave for 5 minutes until foamy.,93
Ras El Hanout Pulled Beef Sandwich ,"2 teaspoons finely chopped garlic - 2 teaspoons ras el hanout - Zest of 2 lemons - 1 teaspoon salt - 1 teaspoon brown sugar - ¼  teaspoon cayenne pepper - ¼ teaspoon ground black pepper - 1kg slow cooking beef cut such as brisket, chuck or rump - 1 onion, finely sliced - 500ml chicken stock",• Preheat oven to 150 C (300 F).,29
Walnut and Matcha Ghriba - Gluten free ,"150g walnut powder (check to notes to see how to make your own walnut flour) - 100g almond powder - 80g caster sugar - ½ tablespoon unsalted butter, softened   - ½ tablespoon apricot jam - 1 tablespoon matcha green tea powder - 1 large egg - 1 heaped teaspoon baking powder - 150g icing sugar to coat the cookies",• Preheat oven to 180 C (350 F).,72
Bakoula Salad with Spinach and Kale,"3 tablespoons olive oil - 150g finely chopped kale leaves (stalks discarded) - 150g finely chopped spinach - 3 tablespoons finely chopped parsley - 3 tablespoons finely chopped cilantro - 2 tablespoons lemon juice - ¾ tablespoons finely chopped garlic, about 3 cloves - 1 teaspoon paprika - ½ teaspoons cumin - ½ teaspoons salt, or more to taste - 1 preserved lemon, flesh removed then chopped, for garnish - 1 handful of red olives, such as Kalamatas, pitted and sliced, for garnish  ","• In a large casserole or a deep skillet, heat the olive oil and add the kale and spinach over medium heat. Stir the rest of the ingredients in (except the preserved lemon and olives) and cover with a lid for 10 to 15 minutes until the kale and the spinach are cooked and soft. Stir occasionally. Uncover and cook for 5 minutes until all liquids have evaporated.",51
Plain Harcha + Zaatar and Black Olive Harcha ,"250g semolina - 3 tablespoons caster sugar - 1 teaspoon baking powder - ¼ teaspoon salt - 75g unsalted butter at room temperature (softened) - 100ml milk, any type","• In a medium sized bowl mix together the dry ingredients; semolina, sugar, baking powder and salt.",56
Aubergine and pumpkin tagine with caramelised onions (Vegan),"3 tablespoons olive oil - 800g onions, chopped - 200g shallots, chopped - 4 garlic cloves, finely chopped, about 1 tablespoon chopped garlic - 600g aubergine (2 large aubergine), quartered and chopped into 4 cm (1.5 inch) chunks - 600g pumpkin or squash, peeled, deseeded and cut into large chunks - 1 teaspoon ground turmeric - ½ teaspoon ground ginger - 1 teaspoon salt or more to taste - ¼ teaspoon ground black pepper - 2 cups water (500 ml) - 100gr raisins - Chopped coriander for garnish","• In a large casserole warm the olive oil over medium-high heat. Once the oil is warm, transfer the onions and the shallots. Lower the heat to medium and cover with a lid. Leave until the onions are soft and translucent, about 25 minutes. Stir occasionally.",73
Moroccan Chicken Kebabs + Fennel and Orange Herb Salad,"500g boneless chicken breast - Juice of a lemon - 2 tablespoons olive oil - ½ teaspoon finely chopped garlic, about 2 cloves - ½  teaspoon ground turmeric - ½  teaspoon ground ginger - ½ teaspoon salt or more to taste - ½ teaspoon ground cumin - ¼  ground black pepper",• Slice the chicken breasts into bite-sized chunks and transfer in a large bowl.,50
Bissara - Split Peas and Fava Beans Dip ,"400g dried split peas or fava beans (or a mix of both), soaked overnight - 4 garlic cloves - 2 teaspoons baking soda - 3 tablespoons olive oil and more for garnish - 1 teaspoon paprika and more for garnish - 1 teaspoon ground cumin and more for garnish - Salt to taste - 3 tablespoons fresh chopped onions for garnish, if desired","• Drain the peas and/or fava beans, run them through water and drain them again.",63
Amlou and Chocolate Hi Hat Cupcake with Caramel Filling,"180g unsalted butter, softened - 150g caster sugar - 3 eggs - 4 tablespoons whole milk - 100g dark chocolate, melted (see notes) - 150g self raising flour (see notes) - 3 tablespoons cocoa powder - 1 teaspoon baking powder - ½ teaspoon salt",• Preheat oven to 180 C (350 F) and line a 12-hole muffin tin with paper cases.,76
Moroccan Pancake Layer Cake - Baghrir Cake ,250g of fine semolina - 4 tablespoons plain flour (40 g) - 2 tablespoons caster sugar - 1 heaped teaspoon dry yeast - ½ teaspoon salt - 500ml warm water  - 2 teaspoons baking powder,"• In a blender insert the semolina, flour, sugar, yeast and salt. Add the warm water and blend until there are no lumps and the batter is smooth.",42
Lamb Tagine with Prunes  ,"2 tablespoons olive oil - 1.2kg lamb shanks trimmed of excess fat (about 4 small or 3 large shanks) - check notes for other types of meat  - 4 large onions (about 800g), chopped - 1 tablespoon finely chopped garlic (about 4 cloves) - 1 teaspoon ground turmeric - 1 teaspoon ground ginger - 1 teaspoon salt or more to taste - ¼ teaspoon ground black pepper - ¼  teaspoon saffron - 1 large coriander bouquet, tied - Toasted sesame seeds or chopped roasted almonds for garnish","• In a large casserole, heat the olive oil to medium-high heat and brown the lamb shanks on each side. Make sure the pan is very hot before placing the meat in the pan, you should hear a sizzle when the meat touches the pan, if you don't, it means the pan is not warm enough. The meat will be naturally released once browned, don’t be tempted to flip it earlier. If you try to flip too early, you will notice that the meat sticks to the pan and you might damage it .",110
Moroccan Shepherd's Pie with Roasted Garlic Sweet Potato Mash,"1 onion (200 gr) finely chopped - 250 gr minced lamb or beef  - 1 teaspoon finely chopped garlic (about 2 cloves) - 100 gr canned chickpeas, drained or 50 gr dried chickpeas, soaked overnight and drained - 100 gr celery, chopped  - 70 gr dried apricots, chopped - 2 medium sized tomato, seeded and chopped - 2 tablespoons finely chopped coriander - ½ teaspoon ground coriander - ½ teaspoon ground cumin - ½ teaspoon paprika - ¼ teaspoon ground cinnamon - ¼ cayenne pepper - Salt and pepper to taste ",• Preheat oven to 180 C (350F).,58
Berkoukech Soup (Mhamsa),"1 tablespoon olive oil - 1 onion, grated - 200g braising beef or lamb, boneless, trimmed of excess fat and cut in 3 cm pieces (i.e. shoulder, neck fillet, beef shin, etc) - 2 medium sized tomatoes, grated - 2 tablespoons chopped coriander and more for garnish - 1 teaspoon tomato paste - ½ teaspoon ground ginger - Generous pinch of saffron - 1 ½ teaspoon salt or more to taste - ¼ ground black pepper - 200g carrots, chopped - 100g celery, chopped - 100g drained canned chickpeas or 50 gr dried chickpeas, soaked overnight and drained - 200g courgette, chopped in large chunks - 150g giant couscous (also known as berkoukech or mhamsa)","• In a large casserole warm the olive oil over medium heat and add the onions, the meat, the tomatoes, the coriander, the tomato paste, the spices, salt and pepper. Leave for 5 to 10 minutes to lightly brown the meat and sweat the onions. Stir occasionally.",48
"Beetroot, Chocolate and Rose Brownies (Gluten and Dairy Free)","200g dark chocolate, chopped - 300g cooked beetroot, drained and chopped - 3 eggs - 60ml (1/4 cup) olive oil - 2 ½  teaspoons rose water - 1 teaspoon vanilla extract - 250g light brown sugar - 150g ground almonds - 1 teaspoon baking powder - Dried edible rose petals for decoration, if desired",• Preheat the oven to 200 C (400 F),79
4 Quick Recipes With a Moroccan Twist !,"10 baby potatoes - 2 teaspoons harissa or more to taste - 2 tablespoons olive oil - 1 teaspoon ras el hanout - Salt to taste - 1 tablespoon chopped coriander for garnish, if desired",• Preheat oven to 200 C (400 F),53
Maakouda – Moroccan Potato Beignet,"500g potatoes, boiled and peeled - 2 tablespoons finely chopped parsley - 1 ½ teaspoon finely chopped garlic - ½ teaspoon salt or more to taste - ¼ teaspoon ground black pepper",• In a large bowl use a fork to mash the potatoes until smooth and stir in the rest of the potato cakes ingredients. Set aside. ,56
Okra and Zucchini Salad - Mloukhia ,"200g okra - 1 tablespoon olive oil - 2 large tomatoes, grated (keeping their juices) - 2 tablespoons chopped coriander - ½ teaspoon chopped garlic - 1 teaspoon paprika - ½ teaspoon ground cumin - ½ teaspoon salt or more to taste - 200g zucchini (or courgette), chopped in 2.5 cm (1 inch) pieces",• Trim the stem of the okras and chop them into 2.5 cm (1 inch) pieces. Set aside. ,84
"Quick Pistachio, Lemon Zest and Ras El Hanout Bastila – Or How to Make the Best Out of Your Poultry Leftovers","3 tablespoons olive oil - 500g chopped onions - 3 tablespoons finely chopped coriander - 2 teaspoons finely chopped garlic - 2 tablespoons honey - 1 teaspoon ras el hanout - ½ teaspoon salt or more to taste - 100g unsalted shelled pistachios, roughly ground using a mortar or a nut grinder - 1 tablespoon icing sugar - 1 teaspoon ground cinnamon - 10g unsalted butter - 2 large eggs, plus 1 egg beaten for brushing (optional) - 320g store bought puff pastry sheet - 200g roast (or cooked) chicken or turkey, chopped into small chunks (about 1 cm/0.4 inch) - Zest of two lemons","• In a large non stick pan, heat the olive oil over medium heat. Once the oil is warm, transfer the onions. Lower the heat to medium-low and cover with a lid. Leave until the onions are soft and translucent, about 15 minutes. Stir occasionally.",82
Kefta and Kale Mac and Cheese ,"40g unsalted butter - ¼ teaspoon cayenne pepper - 40g plain flour - 700ml milk - 180g grated mature cheddar or gruyere or mix of both - Salt and pepper to season - 225g kefta - 1 tablespoon olive oil - 70g chopped kale leaves (stalks discarded) - 350g dried macaroni - 3 tablespoons breadcrumbs, any type","• Start by making the white sauce. Melt the butter in a large deep skillet or saucepan over low heat, then add the flour and cayenne pepper. Stir vividly for 2 minutes using a wooden spoon until you obtain a smooth paste. For your information this paste is called a “roux”.",96
Fekkas - Moroccan Biscotti ,"3 eggs - 200g caster sugar - 250g plain flour - ¼ teaspoon salt - ½ tablespoon baking powder - 100g dried cranberries - 100g unsalted shelled pistachios - 100g roasted almonds - Zest of a lemon - 100g white chocolate, melted (for decoration, optional) - Sprinkles (for decoration, optional)",• Preheat oven to 180 C (350 F).,111
Seffa - Moroccan Chicken With Vermicelli ,"2 tablespoons olive oil - 1 tablespoon unsalted butter - 800g onions, sliced (red or yellow) - 1kg whole chicken cut in pieces or 1 kg chicken legs and thighs - 4 garlic cloves, finely chopped  - 1 ½ teaspoon ground ginger - 1 teaspoon turmeric - ¾ teaspoon ground cinnamon - 1 teaspoon salt or more to taste - ½ teaspoon ground white pepper - 400ml water or chicken stock - Generous pinch saffron - 1 small coriander bouquet, tied - 1 small parsley bouquet, tied - 2 tablespoons honey - 500g uncooked vermicelli (+ 2 tablespoons butter and 1 teaspoon salt to season it once cooked) - 100g dark raisins, soaked in hot water for 20 minutes and drained - 100g roasted almonds, roughly ground - Cinnamon and icing sugar to taste for garnish","• In a large casserole, heat the olive oil over medium heat then the butter and add the onions . Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow to sweat the onions.",74
Pumpkin Spice Cupcake With Orange Blossom Cream Cheese Frosting,"120g plain flour  (1 cup) - 2 teaspoons pumpkin spice  (or 1/4 allspice, 1/4 ground ginger, 1/4 ground cloves, 1/4 ground nutmeg, 1 ground cinnamon) - ¼ teaspoon baking soda - ¼ teaspoon baking powder - Pinch of salt - 440g pumpkin puree - 200g caster sugar (1 cup) - 2 eggs - 180ml evaporated milk - 1 teaspoon vanilla extract",• Preheat oven to 180 C (350 F).,54
Almondy Honey And Vanilla Layer Cake with Amlou Filling,"250g plain flour - 200g ground almonds - 120g caster sugar - 1 ½ teaspoon baking soda - 1 vanilla bean, scraped - Pinch salt - 150g melted butter - 150g honey - 1 tablespoon vanilla extract - 4 eggs yolks - 6 egg whites",• Preheat oven to 180 C (350 F).,82
Vegan Lentil Stew,"400g dry green lentils (2 cups)  - 2 onions thinly sliced - 4 tablespoons olive oil (1/4 cup) - 600ml water (3 cups) - 2 medium sized tomatoes, grated - 2 teaspoons salt or more to taste - 1 ½ teaspoon ground paprika - ½ teaspoon ground cumin - Generous pinch ground cayenne pepper (optional) - Chopped coriander and lemon wedges for garnish (optional)",• Place all the ingredients in a large deep skillet or casserole (except the garnish).,72
Amlou,"250g roasted unpeeled almonds - 80ml argan oil - 80ml honey - ½ teaspoon flaky salt, such as maldon - Generous sprinkle of cinnamon (optional) ",• Grind the roasted almonds in a food processor until finely ground and transfer in a medium sized bowl. ,136
Moroccan Spiced Squash and Lentil Veggie Burger Patties,"50g coarsely ground rolled oats and more for dusting  - 2 teaspoons olive oil and for cooking the burgers - 1 medium onion, finely chopped - 300g squash cooked, drained and peeled (any type of squash works) - 200g cooked brown lentils, drained (1 cup) - 100g cooked black beans, drained (1/2 cup) - 1 egg - 2 garlic cloves, finely chopped - 1 teaspoon cumin - 1 teaspoon ground coriander - 1 teaspoon ginger - 1 teaspoon salt or more to taste ",• Ground the oats in a nut grinder or a food processor to obtain a coarsely ground oat flour.,57
Moroccan Carrot Salad ,"500g carrots, peeled and sliced or chopped - 2 garlic cloves, unpeeled - 3 tablespoons finely chopped coriander  - 3 tablespoons finely chopped parlsey  - 1 teaspoon ground paprika - 1 teaspoon ground cumin - 2 tablespoons white wine vinegar  - 2 tablespoons olive oil  - 2 teaspoons pomegranate molasses (optional) - Salt to season","•  In a medium sized pan, bring water to the boil, add the carrots and the garlic cloves. Reduce the heat to medium and gently cook the carrots until lightly crisp and tender, about 10 to 20 minutes depending on the size of your sliced/chopped carrots.",20
Moroccan Semolina Bread + Fig and Tahini Pinwheel Semolina Bread ,2 teaspoons caster sugar + 1/4 teaspoon  caster sugar to activate the yeast  - 1 tablespoon dry yeast - 250ml water - 250ml milk - 300g fine semolina and more for flouring  - 280g white flour  - 3 tablespoons olive oil - 2 teaspoons salt,• Activate the dry yeast by adding ¼ teaspoon of sugar and a tablespoon of lukewarm water in a small bowl. Stir with a fork and leave for 5 to 10 minutes until foamy.,42
Quinoa and Shrimp Stuffed Squid Tagine,"3 tablespoons olive oil - 3 medium sized onions (500g), sliced - 2 cans peeled tomato (400g/14 oz.) or 10 ripe peeled tomatoes, chopped - 3 bell peppers, any colour, seeded and julienned - 2 tablespoons finely chopped fresh coriander and more for garnish  - 1 teaspoon paprika - ½ teaspoon cinnamon - ½ teaspoon cumin - 1 teaspoon salt, or more to taste - 1 teaspoon caster sugar","• Transfer the olive oil and the onions in a large casserole over medium heat. Cover with a lid and stir occasionally, until the onions are soft and translucent, about 12 to 15 minutes.",65
Feta and Preserved Lemon Mini Cheese Pie,"200g feta - 2 tablespoons chopped preserved lemon - 1 tablespoon dried mint - 1 garlic clove, finely chopped - 2 tablespoons milk - 320g store bought puff pastry sheet - 3 tablespoons sesame seed - 1 egg yolk",• Preheat oven to 200 C (390 F). ,81
Beef Kebab + Grilled tomato and green pepper salad  (chlada mechouia),500 gr grilling steak such as fillet or sirloin cut in 3 cm (2 inch) pieces - 3 tablespoons very finely chopped parsley - 3 tablespoons very finely chopped coriander - 2 red onions very finely chopped - 1 teaspoon salt or more to taste,METHOD,95
Honey and Saffron Glazed Peach Galette,"300g store-bought or home-made shortcrust pastry - 2 tablespoons honey - 1 tablespoon lemon juice - 1 generous pinch saffron - 1 teaspoon butter - 6 to 7 ripe peaches, peeled and sliced into segments (450 gr sliced and peeled peach segments) - 60 to 80g light brown sugar such as muscavado - 2 tablespoons corn flour (corn starch)  - 1 teaspoon cinnamon (optional) - Pinch of salt - 1 beaten egg (for decoration) - 2 tablespoons almond flakes (for decoration) - 1 tablespoon caster sugar (for decoration)",• Preheat oven to 200 C (390 F),54
Spring Rolls + Sweet and Savoury Chermoula Sauce,"6-8 rice papers sheets - 1 large chicken breast, poached and sliced - 1 bundle angel hair, cooked, drained and cooled (60 gr uncooked) - 1 large zucchini, julienned - 1 large carrot, julienned - 1 red bell pepper, seeded and julienned - 1 apple, julienned (optional) - 6 to 10 coriander sprigs - A handful mint leaves","• To make the sauce, mix all the ingredients together and stir until smooth. ",64
No Churn Ice Cream Shortbread Sandwich – Salted Caramel and Anise Ice Cream + Peanut Silly Ghriba,400ml double cream - 397g carnation caramel or dulce de leche - 2 teaspoons salt flakes (such as Maldon salt) or more to taste - 2 teaspoons ground anise or more to taste,"• In a large bowl use an electric mixer to bring the double cream to stiff peaks. It will take about 5 minutes so be patient but make sure you don’t over whisk the double cream as it might curdle (if it happens, add a bit of milk and slowly whisk again). ",92
Stuffed Msemen (Rghaif) – Stuffed Moroccan Flatbread ,"2 tablespoons olive oil  - 4 large onions, finely chopped - 2 large red bell peppers, finely chopped (<1 cm pieces) - 2 large green bell peppers, finely chopped in (<1 cm pieces) - 3 tablespoons chopped fresh parsley - 2 teaspoons ground sweet paprika - 1 teaspoon ground cumin - 1 ½ teaspoon salt, or more to taste - ½ teaspoon ground cayenne pepper (optional) - 200g minced beef","• In a large casserole, heat the olive oil and add the onions over medium heat. Cover with a lid and leave the onions until they are soft and translucent, about 10 min. This will allow sweating the onions. Add in the chopped peppers, the herbs, the spices,and the salt and cover the casserole with a lid. Leave until the peppers are cooked and soft, about 5 – 7 min. Stir occasionally.",50
Orange Blossom and Mint Lemonade ,"1 liter water (4 cups) - 160g to 220g caster sugar, according to your taste - 250ml lemon juice (1 cup - juice of 6 to 8 lemons) - 2 tablespoons orange blossom water  - A handful of mint leaves - Juice of an orange - Ice cubes, to serve",METHOD,50
Molten Chocolate Cake with Almond Butter + Orange Blossom Filling ,"Cocoa powder, for the moulds - 100g unsalted butter + 20g unsalted butter, at room temperature for the moulds - 200g dark chocolate, chopped - 100g caster sugar - 4 eggs - 50g plain flour",• Preheat oven to 200 C (390 F),85
Radish and Apple Salad + Rose Water and Anchovy Yoghurt Dressing,"100g radishes, finely sliced - 2 granny smith apples, finely sliced and cut in 3 cm pieces - 100g roasted pistachios, ground  - 1 pomegranate, deseeded - 150g washed baby leaf lettuce (or any type of lettuce)",.• Mix the dressing ingredients together until smooth. I don’t recommend adding salt because the anchovies should be salty enough but feel free to do so after tasting the dressing.,31
Cardamom and Orange Scones ,"225g self-raising flour*, plus extra to dust - ½ teaspoon salt - zest of 1 orange, about 1 tablespoon - 1 teaspoon ground cardamom (or ¾ teaspoon freshly ground cardamom) - 60g unsalted cold butter, cut in 1 cm cubes - 40g caster sugar - 150ml milk - beaten egg for egg wash (optional)",• Preheat oven to 200 C (390 F).,58
Orange and Fennel Tagine with Chicken ,"1kg whole chicken cut in pieces - 2 tablespoons olive oil - 3 onions, chopped (600g) - 2 large fennel bulbs - discard the stalks and the dill, sliced (600g)  - 100g raisins - 1 cup water (250ml)  - 1 orange, peel cut into strips and juiced - 1 red chilli pepper, seeded and chopped (if desired) - 4 garlic cloves, finely chopped - 1 ½ teaspoon salt or more to taste - 1 teaspoon ground coriander - 1 teaspoon ground turmeric - 1 teaspoon ground ginger - ½ teaspoon cumin","• In a large casserole warm the olive oil over medium high heat. Once the oil is warm, transfer the rest of the ingredients and lower the heat to low high (don't forget the orange juice). Stir gently, cover the casserole with a lid and let simmer for 40 minutes.",66
Preserved Lemons,5 lemons - 10 teaspoons salt - 150ml lemon juice,• Half the lemons lengthwise from their tops to within 2 cm on one side (stopping just short of the stem end) and repeat the same process on the opposite perpendicular side.,51
Almond and Honey Briouate - Dairy Free (Coconut Oil),"300g blanched almonds - 80g caster sugar - 2 tablespoons olive oil - 3 tablespoons orange blossom water, divided - 1 teaspoon cinnamon - 1 teaspoon salt - 20g coconut oil, solid (check notes for butter) - 20g coconut oil, melted (check notes for butter) - 200g filo pastry - 300g honey - Ground nuts or chopped dried fruits for decoration",• Preheat oven to 160 C (320 F).,96
Harira - Gluten and Dairy Free ,"1 tablespoon olive oil - 300g braising beef or lamb, boneless, trimmed of excess fat and cut in 3 cm pieces (i.e. shoulder, neck fillet, beef shin, etc)  - 1 small onion (100g), finely chopped - 1 tablespoon chopped fresh parsley - 1 tablespoon tomato paste - 1 teaspoon ground turmeric - ½  teaspoon ground black pepper - ¼ teaspoon ground ginger - 1 ½ teaspoon salt or more to taste - Pinch saffron  - 70g dried chickpeas, soaked overnight and drained (or 140 gr canned chickpeas, drained) - 6 large tomatoes,grated - 100g celery, finely chopped - 80g green lentils - 3 tablespoons cornflour - 2 tablespoons chopped fresh coriander - Lemon wedges to serve ","• In a large casserole warm the olive oil over medium heat and add the meat, the onion and the spices. Leave for 5 to 10 minutes to lightly brown the meat and sweat the onions. Stir occasionally.",68
Sweet Potato and Harissa Cashew Butter Salsa Taco  ,"500g sweet potatoes, cut in pieces (2 cm length - 1/2 cm thick)   - 2 onions, sliced (400 g) - 200ml vegetable or beef stock - Zest of 2 lemons  - 3 tablespoons lemon juice - 2 tablespoons fresh coriander roughly chopped - 1½ teaspoon ras el hanout - 1 teaspoon salt, ore more to taste",Cashew butter and harissa salsa,109
