title,ingredients,instructions
Harvey's Moroccan Roast Chicken,"['Dry Spice Mix: ADVERTISEMENT', '1/8 teaspoon ground cloves ADVERTISEMENT', '1/4 teaspoon ground black pepper ADVERTISEMENT', '3/8 teaspoon fennel seed, ground ADVERTISEMENT', '3/4 teaspoon sesame seeds, ground ADVERTISEMENT', '1/8 teaspoon ground coriander ADVERTISEMENT', '1/8 teaspoon ground cumin ADVERTISEMENT', '1/8 teaspoon ground allspice ADVERTISEMENT', '1/4 teaspoon ground nutmeg ADVERTISEMENT', '3/4 teaspoon ground ginger ADVERTISEMENT', '1/8 teaspoon ground cardamom ADVERTISEMENT', 'Spice Paste: ADVERTISEMENT', '2 tablespoons Hungarian paprika ADVERTISEMENT', '1/4 cup fresh lemon juice ADVERTISEMENT', '1 tablespoon salt ADVERTISEMENT', '3 tablespoons chopped fresh mint ADVERTISEMENT', '1 teaspoon ground black pepper ADVERTISEMENT', '2 cloves garlic, peeled and crushed ADVERTISEMENT', '3 tablespoons olive oil ADVERTISEMENT', '1 pound small red potatoes, quartered ADVERTISEMENT', '2 cups baby carrots ADVERTISEMENT', '2 small lemons ADVERTISEMENT', '1 (4 pound) roasting chicken, rinsed and patted dry ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
For the spice mix: Mix together in a bowl the cloves, pepper, fennel, sesame seeds, coriander, cumin, allspice, nutmeg, ginger and cardamom. Set aside.
For the spice paste: Place the paprika, lemon juice, the spice mix (from Step 2), salt, chopped mint, black pepper and garlic cloves in a blender. Add 2 tablespoons of the olive oil and blend to until ingredients are mixed, about 6 or 8 pulses. Slowly add the additional olive oil if mixture seems too thick to spread. Blend just until mixture is a smooth paste.
Spread potatoes and carrots in a roasting pan. Rub about 1/4 of the spice paste inside the cavity of the chicken. Rub the remainder of the paste on the outside of the chicken including the underside. Place the chicken directly on the carrots and potatoes. Pierce the 2 lemons all over with a fork, and place them into the chicken cavity.
Tent the chicken with aluminum foil. Roast approximately 2 hours until the thickest part of the thigh reaches 180 degrees F (80 degrees C) and the juices run clear. Remove from the oven and let rest for about 10 minutes before serving.
"
Moroccan Shabbat Fish,"['1 red bell pepper, cut into thin strips ADVERTISEMENT', '3 tomatoes, sliced ADVERTISEMENT', '6 (6 ounce) tilapia fillets ADVERTISEMENT', '2 tablespoons paprika ADVERTISEMENT', '1 tablespoon chicken bouillon granules ADVERTISEMENT', '1 teaspoon cayenne pepper ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', '1/4 cup olive oil ADVERTISEMENT', '1 cup water ADVERTISEMENT', '1/4 cup chopped fresh parsley ADVERTISEMENT', 'ADVERTISEMENT']","Preheat an oven to 200 degrees F (95 degrees C).
Layer the sliced red peppers and sliced tomatoes in the bottom of a baking dish. Arrange the tilapia fillets on top of the vegetables.
Combine the paprika, chicken bouillon, cayenne, salt, pepper, olive oil, and water and mix well. Pour the seasoning mixture over the fish. Sprinkle with parsley.
Cover the baking dish with aluminum foil and bake in the preheated oven until the fish flakes easily with a fork and the vegetables are tender, about 1 hour.
"
Moroccan Chicken Sann,"['1/2 cup soy sauce ADVERTISEMENT', '1/2 cup fresh lemon juice ADVERTISEMENT', '1/2 cup sherry ADVERTISEMENT', '1/2 cup honey ADVERTISEMENT', '1/2 teaspoon ground thyme ADVERTISEMENT', '2 teaspoons curry powder ADVERTISEMENT', '1/2 teaspoon dried oregano ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/2 teaspoon ground black pepper ADVERTISEMENT', '1 clove garlic, pressed ADVERTISEMENT', '3 pounds cut up chicken pieces ADVERTISEMENT', '1 1/2 cups uncooked brown rice ADVERTISEMENT', '3 cups water ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', '8 pitted prunes ADVERTISEMENT', '8 dried apricot halves ADVERTISEMENT', 'ADVERTISEMENT']","Whisk together the soy sauce, lemon juice, sherry, honey, thyme, curry powder. dried oregano, ground ginger, ground black pepper, and garlic. Place the marinade with the chicken into a resealable bag, and marinate for at least 30 minutes or up to 24 hours.
Bring the brown rice and water to a boil in a saucepan over high heat. Reduce the heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 45 to 50 minutes.
Heat the olive oil in a large skillet over medium-high heat, and cook the chicken pieces until browned on all sides. Sprinkle the chicken with prunes and apricots; pour the marinade into the skillet. Bring to a simmer, cover, and cook for 30 minutes. Uncover and simmer until the sauce is slightly thickened, the chicken is no longer pink at the bone, and the juices run clear, about 15 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Serve over the brown rice.
"
Tempeh Kabobs with Moroccan Couscous,"['1 (8 ounce) package tempeh, cut into 1/2 inch squares ADVERTISEMENT', '16 fresh white mushrooms ADVERTISEMENT', '1 medium eggplant, cut into 1 inch cubes ADVERTISEMENT', '1 large red bell pepper, cut into 1 inch pieces ADVERTISEMENT', '16 cherry tomatoes ADVERTISEMENT', '8 tablespoons olive oil ADVERTISEMENT', '4 tablespoons soy sauce ADVERTISEMENT', '4 tablespoons teriyaki sauce ADVERTISEMENT', '3 tablespoons honey ADVERTISEMENT', '1 tablespoon grated fresh ginger root ADVERTISEMENT', '1 tablespoon chopped fresh garlic ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', '2 cups vegetable broth ADVERTISEMENT', '1 tablespoon grated fresh ginger root ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', 'salt to taste ADVERTISEMENT', '1 cup dry couscous ADVERTISEMENT', '3/4 cup raisins ADVERTISEMENT', '3/4 cup drained canned chick-peas (garbanzo beans) ADVERTISEMENT', '1 lemon ADVERTISEMENT', 'ADVERTISEMENT']","Place tempeh, mushrooms, eggplant, red bell pepper, and cherry tomatoes in a large resealable plastic bag. In a mixing bowl, whisk together olive oil, soy sauce, teriyaki sauce, and honey; season with 1 tablespoon ginger, 1 tablespoon garlic, and salt and pepper to taste. Pour mixture over tempeh and veggies, seal, and shake to coat. Refrigerate for 2 hours.
Preheat grill for medium-high heat. Thread tempeh and veggies on skewers. Reserve remaining marinade.
Grill skewers, turning often to make sure everything is cooked evenly. These can also be done in the broiler.
While grilling kabobs, combine vegetable stock, 1 tablespoon grated ginger, cumin, and salt. Bring to a light boil. Stir in couscous, raisins, and garbanzo beans; cover, and remove from heat. Let sit for five minutes, or until fluffy. Just before serving, squeeze lemon over couscous and stir. Serve kabobs with reserved marinade.
"
Moroccan Harira (Bean Soup),"['6 cups beef stock ADVERTISEMENT', '1 cup dry lentils ADVERTISEMENT', '1 tablespoon olive oil, or to taste ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '1 cinnamon stick ADVERTISEMENT', '1 teaspoon minced fresh ginger root ADVERTISEMENT', '1 teaspoon ground turmeric ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1 teaspoon ground black pepper ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained ADVERTISEMENT', '1 (15 ounce) can red kidney beans, rinsed and drained ADVERTISEMENT', '1 (14 ounce) can diced tomatoes ADVERTISEMENT', '1 cup cooked quinoa (optional) ADVERTISEMENT', '1 bunch flat-leaf parsley leaves and thinner stems, chopped ADVERTISEMENT', '1 bunch cilantro leaves and thinner stems, chopped ADVERTISEMENT', '1 lemon, or to taste, juiced ADVERTISEMENT', 'ADVERTISEMENT']","Stir beef stock and lentils together in a large pot; bring to a boil, reduce heat to low, and keep at a simmer while preparing onion.
Heat olive oil in a skillet over medium heat. Cook and stir onion, cinnamon stick, ginger, turmeric, cumin, and black pepper in the hot oil until the onion is translucent, about 5 minutes; add to stock mixture.
Pour garbanzo beans, kidney beans, tomatoes, and quinoa into the stock mixture; stir and bring mixture to a boil. Stir parsley and cilantro into the stock mixture; reduce heat to low and cook mixture at a simmer until the lentils are tender, about 45 minutes. Drizzle lemon juice over the soup before serving.
"
Make-Ahead Moroccan Lamb Stew,"['1 teaspoon ground cinnamon ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/4 teaspoon ground cloves ADVERTISEMENT', '1/4 teaspoon ground nutmeg ADVERTISEMENT', '1/4 teaspoon ground turmeric ADVERTISEMENT', '1/8 teaspoon curry powder ADVERTISEMENT', '1 teaspoon kosher salt ADVERTISEMENT', '1 pound ground lamb ADVERTISEMENT', '1 tablespoon butter ADVERTISEMENT', '1 sweet onion, chopped ADVERTISEMENT', '1 (14.5 ounce) can organic beef broth ADVERTISEMENT', '1 (14.5 ounce) can organic chicken broth ADVERTISEMENT', '2 (14.5 ounce) cans beef consomme ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes, undrained ADVERTISEMENT', '1 tablespoon honey ADVERTISEMENT', '3 large carrots, chopped ADVERTISEMENT', '2 sweet potatoes, peeled and diced ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained and rinsed ADVERTISEMENT', '1/2 cup chopped dried apricots ADVERTISEMENT', '1 cup dried lentils, rinsed ADVERTISEMENT', 'ground black pepper, to taste ADVERTISEMENT', 'ADVERTISEMENT']","Combine cinnamon, cumin, ginger, cloves, nutmeg, turmeric, curry powder, and salt in a large bowl. Mix in the ground lamb. For most flavorful results, allow mixture to rest, refrigerated, overnight.
Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Mix the spiced lamb mixture to the onions. Cook and stir until meat is browned, about 5 minutes.
Pour the beef broth, chicken broth, and consomme into the pot. Stir in the tomatoes, honey, carrots, sweet potatoes, garbanzo beans, dried apricots and lentils. Bring to boil; reduce heat to low.
Simmer stew for 30 minutes or until the vegetables and lentils are cooked and tender. Season with black pepper to taste.
"
Moroccan Lentil Soup with Veggies,"['1/4 cup olive oil ADVERTISEMENT', '4 large carrots, chopped ADVERTISEMENT', '1 large white onion, finely chopped ADVERTISEMENT', '2 teaspoons kosher salt ADVERTISEMENT', '2 teaspoons chopped fresh parsley ADVERTISEMENT', '1 teaspoon ground black pepper ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/2 teaspoon dried tarragon ADVERTISEMENT', '1/2 teaspoon cumin ADVERTISEMENT', '1 (16 ounce) package dry lentils ADVERTISEMENT', '1 cup crushed tomatoes ADVERTISEMENT', '2 quarts vegetable broth ADVERTISEMENT', '1 (10 ounce) package spinach ADVERTISEMENT', '1 large zucchini, cut into small pieces ADVERTISEMENT', '1 pinch salt to taste ADVERTISEMENT', '1 teaspoon olive oil, or to taste ADVERTISEMENT', 'ADVERTISEMENT']","Heat 1/4 cup olive oil in a large pot over medium heat. Cook and stir carrots, onion, salt, parsley, black pepper, ginger, tarragon, and cumin in the hot oil until the onion is translucent, 5 to 7 minutes.
Stir lentils and tomatoes into the carrot mixture. Pour vegetable broth over the vegetables, stir, and bring to a boil. Reduce heat to low, place a cover on the pot, and simmer until the lentils are tender, 45 to 50 minutes.
Stir spinach and zucchini into the broth mixture; simmer until the zucchini is tender, about 7 minutes more. Remove pot from heat and season soup with salt. Drizzle 1 teaspoon olive oil over the soup before serving.
"
Moroccan Quinoa Salad,"['3 tablespoons olive oil ADVERTISEMENT', '5 cloves garlic, minced ADVERTISEMENT', '3 shallots, diced ADVERTISEMENT', '1 1/2 teaspoons ground cumin ADVERTISEMENT', '1 1/2 teaspoons ground ginger ADVERTISEMENT', '1 1/2 teaspoons ground cinnamon ADVERTISEMENT', '4 cups chicken broth ADVERTISEMENT', '2 cups red quinoa ADVERTISEMENT', '1 1/4 cups raisins ADVERTISEMENT', '2 cups hot water ADVERTISEMENT', 'lemon, juiced ADVERTISEMENT', '1 (29 ounce) can garbanzo beans, drained ADVERTISEMENT', '2 carrots, shredded ADVERTISEMENT', '1/3 cup chopped fresh parsley ADVERTISEMENT', '1/3 cup chopped fresh basil ADVERTISEMENT', '1/3 cup chopped fresh mint ADVERTISEMENT', 'ADVERTISEMENT']","Heat the olive oil in a skillet over medium heat. Stir in the garlic and shallots; cook and stir until the shallots have softened and turned translucent, about 5 minutes. Stir in the cumin, ginger, and cinnamon. Cook until fragrant, about 1 minute more. Add the chicken broth and quinoa, and bring to a boil, then reduce heat to low. Cover and cook until the quinoa is tender and the liquid has been absorbed, about 20 minutes.
Meanwhile, place raisins in a bowl and cover with hot water. Soak until the raisins soften and plump up, about 15 minutes. Drain and set aside.
Fluff the quinoa with a fork and stir in the lemon juice. Remove from heat and allow to cool to room temperature. Stir in the garbanzo beans, raisins, carrots, parsley, basil, and mint. Serve at room temperature or chilled.
"
Moroccan Black-Eyed Peas (Cowpeas),"['1 1/2 cups dried black-eyed peas (cowpeas) ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '1 (8 ounce) can tomato sauce ADVERTISEMENT', '1/2 cup olive oil ADVERTISEMENT', '1/4 cup chopped fresh cilantro ADVERTISEMENT', '3 cloves garlic, finely chopped ADVERTISEMENT', '1 1/2 teaspoons salt ADVERTISEMENT', '1 1/2 teaspoons ground cumin ADVERTISEMENT', '1 1/2 teaspoons sweet paprika ADVERTISEMENT', '1 teaspoon ground ginger ADVERTISEMENT', '1/4 teaspoon cayenne pepper ADVERTISEMENT', '3 1/2 cups water, or more if needed ADVERTISEMENT', 'ADVERTISEMENT']","Place black-eyed peas into a large container and cover with several inches of cool water; let stand for 8 hours to overnight. Drain and rinse peas.
Combine peas, onion, tomato sauce, olive oil, cilantro, garlic, salt, cumin, paprika, ginger, and cayenne pepper in a stockpot; pour 3 1/2 cups water over pea mixture. Bring water to a boil, decrease heat to low, cover pot, and simmer, stirring occasionally and adding more water if sauce gets too thick, until peas are tender, about 1 1/2 hours.
"
Moroccan Inspired Apricot-Braised Chicken,"['1 tablespoon olive oil ADVERTISEMENT', '4 chicken thighs ADVERTISEMENT', '1 large onion, halved lengthwise and cut into thick slices ADVERTISEMENT', '1 tablespoon minced garlic ADVERTISEMENT', '1/2 cup unsulfured apricots, halved ADVERTISEMENT', '1/2 teaspoon ground ginger ADVERTISEMENT', '1/2 teaspoon ground cumin ADVERTISEMENT', '1/2 teaspoon ground allspice ADVERTISEMENT', '1 cup beer (preferably lager) ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', 'ADVERTISEMENT']","Heat olive oil in a deep skillet over medium-high heat. Brown chicken thighs on both sides until golden, about 3 minutes per side. Set chicken aside, then stir in onion and garlic; cook for 1 to 2 minutes until the onion has softened. Stir in apricots and season with ginger, cumin, and allspice. Cook for 1 minute until spices are fragrant.
Pour beer into pan, scraping the bottom of the pan to dissolve the browned bits. Add chicken, cover, and reduce heat to medium-low. Simmer gently until the chicken begins to fall away from the bone, about 30 minutes.
"
Moroccan Spiced Sea Bass Ceviche,"['2 teaspoons harissa ADVERTISEMENT', '1/2 cup unsweetened coconut milk ADVERTISEMENT', '1/2 cup fresh lemon juice ADVERTISEMENT', '1/4 cup fresh lime juice ADVERTISEMENT', '1/4 cup fresh orange juice ADVERTISEMENT', '2 pounds Atlantic sea bass, diced ADVERTISEMENT', '1/4 cup red onion, finely chopped ADVERTISEMENT', '1 teaspoon minced fresh ginger root ADVERTISEMENT', '2 tablespoons extra-virgin olive oil ADVERTISEMENT', '2 tablespoons chopped Moroccan preserved lemon ADVERTISEMENT', '1 tablespoon caraway seed, lightly toasted and then crushed ADVERTISEMENT', '1/2 teaspoon ground cumin ADVERTISEMENT', '2 tablespoons chopped fresh chervil ADVERTISEMENT', 'kosher salt to taste ADVERTISEMENT', 'ADVERTISEMENT']","In a large glass or ceramic bowl, whisk together the Harissa, coconut milk, lemon juice, lime juice and orange juice. Add the sea bass, onion, ginger, olive oil, preserved lemon, caraway seed, cumin and chervil. Stir to blend, then press everything down so there is a layer of liquid covering the top.
Cover and refrigerate for at least 3 hours, or until the fish is opaque and white. Season with salt and add more harissa if desired before serving.
"
Moroccan Carrot Dip,"['1 pound carrots, peeled and thinly sliced ADVERTISEMENT', '3 cloves garlic, thinly sliced ADVERTISEMENT', '1 (2 inch) piece fresh ginger root, peeled and thinly sliced ADVERTISEMENT', '3/4 teaspoon salt, divided ADVERTISEMENT', '1/3 cup apricot preserves ADVERTISEMENT', '2 tablespoons fresh lemon juice ADVERTISEMENT', '4 teaspoons toasted sesame oil ADVERTISEMENT', '1 1/2 teaspoons ground coriander ADVERTISEMENT', '1/8 teaspoon cayenne pepper ADVERTISEMENT', 'ADVERTISEMENT']","Put carrots, garlic, ginger, and 1/4 teaspoon salt in a large saucepan. Add 2 cups water to cover. Bring to a boil, then reduce heat and simmer, covered, until carrots are tender, 10 to 12 minutes. Drain.
Transfer carrot mixture to a food processor along with remaining 1/2 teaspoon salt, apricot preserves, lemon juice, sesame oil, coriander, and cayenne. Process until almost smooth.
"
Moroccan Stew with Chicken and Pearl Onions,"['1 1/2 tablespoons olive oil ADVERTISEMENT', '2 stalks celery, diced ADVERTISEMENT', '1/2 cup chopped onion ADVERTISEMENT', '1/2 cup chopped green bell pepper ADVERTISEMENT', '1 clove garlic, chopped ADVERTISEMENT', '2 (14 ounce) cans vegetable broth ADVERTISEMENT', '1 (14.5 ounce) can stewed tomatoes ADVERTISEMENT', '2 carrots, chopped ADVERTISEMENT', '4 potatoes, diced ADVERTISEMENT', '12 pearl onions ADVERTISEMENT', '1/2 teaspoon dried thyme leaves ADVERTISEMENT', 'salt and ground black pepper to taste ADVERTISEMENT', '2 cooked chicken breasts, diced ADVERTISEMENT', '3/4 teaspoon red pepper flakes, or more to taste ADVERTISEMENT', '2 tablespoons red wine vinegar ADVERTISEMENT', 'ADVERTISEMENT']","Heat olive oil in a stockpot over medium heat. Cook and stir celery, chopped onion, and bell pepper in hot oil until softened, about 5 minutes. Stir garlic into the celery mixture; cook and stir until fragrant, about 1 minute more.
Pour vegetable broth into the pot; add tomatoes, carrots, potatoes, pearl onions, thyme, salt, and pepper. Bring the broth to a boil, reduce heat to medium-low, and simmer until the vegetables are tender, about 20 minutes.
Stir chicken and red pepper flakes to the pot; cook until the chicken is hot, 5 to 10 minutes. Stir vinegar into the soup just before serving.
"
Moroccan Shepherd's Pie,"['cooking spray ADVERTISEMENT', '1 tablespoon olive oil ADVERTISEMENT', '1 pound cubed lamb stew meat ADVERTISEMENT', '1 teaspoon ground cumin, divided ADVERTISEMENT', '1/2 teaspoon salt, divided ADVERTISEMENT', '1 1/2 cups chopped onion ADVERTISEMENT', '4 garlic cloves, minced ADVERTISEMENT', '1 tablespoon tomato paste ADVERTISEMENT', '1 1/2 (10.5 ounce) cans low-sodium chicken broth ADVERTISEMENT', '1/2 cup water ADVERTISEMENT', '2 tablespoons olives, or to taste ADVERTISEMENT', '1/3 cup raisins ADVERTISEMENT', '2 tablespoons honey ADVERTISEMENT', '1/2 teaspoon cayenne pepper ADVERTISEMENT', '1/4 teaspoon ground turmeric ADVERTISEMENT', '1/2 teaspoon ground cinnamon, divided ADVERTISEMENT', '1 cup frozen green peas ADVERTISEMENT', '4 cups peeled and chopped sweet potatoes ADVERTISEMENT', '1 large egg, lightly beaten ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Spray four 10-ounce ramekins with cooking spray.
Heat a large skillet over medium-high heat. Add oil to pan; swirl to coat.
Sprinkle lamb evenly with 1/2 teaspoon cumin and 1/4 teaspoon salt. Cook and stir lamb in the hot oil until browned on all sides, about 4 minutes. Transfer lamb to a bowl. Cook and stir onion in the same skillet until slightly softened, about 3 minutes; add garlic and cook until fragrant, about 30 seconds.
Stir tomato paste into onion mixture until evenly coated, about 30 seconds. Pour broth and water into onion mixture; bring to a boil, scraping skillet with a wooden spoon to loosen browned bits of food. Return lamb to skillet.
Stir remaining 1/2 teaspoon cumin, olives, raisins, honey, cayenne pepper, turmeric, and 1/8 teaspoon cinnamon into lamb mixture. Reduce heat and simmer, stirring occasionally, until lamb is fully cooked and flavors have blended, about 30 minutes. Remove from heat and stir in peas.
Place sweet potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 10 minutes. Drain and cool for 5 minutes. Transfer sweet potatoes to a bowl and sprinkle with 1/4 teaspoon salt and 3/8 teaspoon cinnamon. Beat potato mixture with a hand mixer on high speed until smooth. Add egg; beat until incorporated.
Spoon lamb mixture into each ramekin; spread sweet potato mixture over lamb mixture. Place ramekins on a baking sheet.
Bake in the preheated oven until bubbling, about 25 minutes.
"
Lamb Chops with Preserved Lemon (Moroccan Style),"['1/4 cup chopped fresh cilantro ADVERTISEMENT', '1/4 cup chopped fresh parsley ADVERTISEMENT', '1/4 cup chopped fresh mint ADVERTISEMENT', '4 cloves garlic, minced ADVERTISEMENT', '1/4 cup chopped Moroccan preserved lemon ADVERTISEMENT', '1 tablespoon olive oil ADVERTISEMENT', 'ground black pepper to taste ADVERTISEMENT', '1 (7 bone) rack of lamb, trimmed and frenched ADVERTISEMENT', '1/4 cup slivered kalamata olives ADVERTISEMENT', '1 red bell pepper, thinly sliced ADVERTISEMENT', 'ADVERTISEMENT']","Stir cilantro, parsley, and mint together in a small saucepan. Remove half of the herb mixture, and set aside. Stir the garlic, lemon, olives, olive oil, and black pepper into the remaining herbs. Spread 2 tablespoons of this mixture onto the lamb rack. Wrap the exposed bones with aluminum foil to keep them from burning. Stir the olives and bell pepper into the reserved mixture and keep warm over low heat.
Preheat an outdoor grill for medium heat.
Cook the lamb rack on the preheated grill until cooked to desired degree of doneness, about 4 minutes per side for medium-rare. Baste occasionally with the warmed relish. Once cooked, remove from grill, and allow to rest for 5 minutes before slicing into individual chops.
To serve, arrange lamb chops on a platter, spoon some of the warmed relish over them, and sprinkle with the reserved chopped herbs.
"
Moroccan Turkey Tagine Stew,"['2 tablespoons olive oil ADVERTISEMENT', '3/4 cup chopped red onion ADVERTISEMENT', '2 cups thinly sliced carrots ADVERTISEMENT', '2 cups thinly sliced parsnips ADVERTISEMENT', '2 teaspoons finely chopped garlic ADVERTISEMENT', '1 tablespoon ras el hanout seasoning ADVERTISEMENT', '1 (15 ounce) can garbanzo beans, drained, rinsed ADVERTISEMENT', ""1 (14.5 ounce) can Hunt's® Diced Tomatoes, undrained ADVERTISEMENT"", '1 (14 ounce) can chicken broth ADVERTISEMENT', '1/2 cup water ADVERTISEMENT', '1/2 cup chopped dried apricots ADVERTISEMENT', '1/3 cup chopped pitted prunes or whole raisins ADVERTISEMENT', '3 cups shredded cooked turkey ADVERTISEMENT', '1/4 cup chopped fresh cilantro ADVERTISEMENT', 'Greek yogurt and hot cooked couscous, optional ADVERTISEMENT', 'ADVERTISEMENT']","Heat oil in Dutch oven or large saucepan over medium-high heat. Add onion; cook 3 minutes or until tender, stirring occasionally. Add carrots and parsnips; cook 5 minutes or until crisp-tender. Stir in garlic and ras el hanout seasoning; cook 1 minute or until fragrant.
Stir in beans, undrained tomatoes, broth, water, apricots and prunes. Bring to a boil. Reduce heat and simmer 30 minutes or until vegetables are tender, stirring occasionally.
Stir in turkey; heat 5 minutes more or until hot. Top each serving with cilantro. If desired, top with yogurt and serve with couscous on the side.
"
Moroccan Chicken with Saffron and Preserved Lemon,"['Paste: ADVERTISEMENT', '1/4 cup olive oil, or to taste ADVERTISEMENT', '3 cloves garlic, minced ADVERTISEMENT', '1 teaspoon ground turmeric ADVERTISEMENT', '1 teaspoon cumin seeds ADVERTISEMENT', 'salt and ground black pepper to taste ADVERTISEMENT', '4 large chicken thighs ADVERTISEMENT', '2 tablespoons olive oil, or as needed ADVERTISEMENT', '1 white onion, chopped ADVERTISEMENT', '2 cups water, or as needed ADVERTISEMENT', '16 saffron threads ADVERTISEMENT', '1/2 preserved lemon, pulp discarded and thinly sliced ADVERTISEMENT', '1/4 cup olives, or to taste (optional) ADVERTISEMENT', '2 artichoke bottoms, chopped (optional) ADVERTISEMENT', '1/4 cup coarsely chopped parsley (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Whisk 1/4 cup olive oil, garlic, turmeric, cumin seeds, salt, and pepper together in a bowl and pour into a resealable plastic bag or container. Add chicken, coat with the paste and seal bag or container. Marinate in the refrigerator, 4 hours to overnight.
Heat 2 tablespoons olive oil in a large stockpot over medium-high heat. Add onion; cook and stir until soft and translucent, 5 to 7 minutes. Remove chicken from marinade, discarding marinade. Add chicken thighs skin-side down to stockpot and cook until browned, about 4 minutes. Flip chicken thighs and cook until browned on second side, about 3 minutes more.
Lower heat to medium and add water to cover chicken halfway, cover stockpot, and cook for 20 minutes. Uncover stockpot, sprinkle saffron threads onto chicken, and top with preserved lemon slices. Replace cover and cook until chicken is no longer pink at the bone and juices run clear, about 5 minutes more. An instant-read thermometer inserted near the bone should read at least 165 degrees F (74 degrees C). Uncover stockpot and transfer chicken to a serving platter.
Continue simmering liquid in stockpot until thickened to sauce consistency, 5 to 7 minutes. Spoon sauce over chicken; top with olives, artichokes, and parsley.
"
Moroccan Tagine with Olives and Artichoke Hearts,"['1 tablespoon olive oil ADVERTISEMENT', '2 skinless, boneless chicken breast halves - cut into chunks ADVERTISEMENT', '1/2 onion, chopped ADVERTISEMENT', '3 cloves garlic, minced ADVERTISEMENT', '1 (15.5 ounce) can garbanzo beans, drained and rinsed ADVERTISEMENT', '1 (14.5 ounce) can diced tomatoes with juice ADVERTISEMENT', '1 (14 ounce) can vegetable broth ADVERTISEMENT', '1 (14 ounce) can quartered artichoke hearts, drained ADVERTISEMENT', '1 carrot, peeled and chopped ADVERTISEMENT', '1/2 cup sliced Mediterranean black olives ADVERTISEMENT', '1 tablespoon white sugar ADVERTISEMENT', '1 tablespoon lemon juice ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '1 teaspoon ground coriander ADVERTISEMENT', '1 pinch cayenne pepper ADVERTISEMENT', 'ADVERTISEMENT']","Heat olive oil in a large skillet over medium heat. Cook and stir chicken, onion, and garlic in hot oil until the chicken is no longer pink in the center, about 15 minutes.
Stir garbanzo beans, diced tomatoes with juice, vegetable broth, artichoke hearts, carrot, olives, sugar, lemon juice, salt, coriander, and cayenne pepper into the chicken mixture; bring to a boil, reduce heat to low, and simmer until vegetables are tender, about 30 minutes.
"
Moroccan Carrots,"['4 large carrots, peeled and grated ADVERTISEMENT', '1 (16 ounce) can garbanzo beans (chickpeas), drained and rinsed ADVERTISEMENT', '1/2 cup raisins ADVERTISEMENT', '2 tablespoons olive oil ADVERTISEMENT', '1 tablespoon lemon juice ADVERTISEMENT', '1/2 teaspoon cumin ADVERTISEMENT', '1/2 teaspoon chili powder ADVERTISEMENT', 'salt and ground pepper to taste ADVERTISEMENT', '1/4 cup crumbled feta cheese ADVERTISEMENT', 'ADVERTISEMENT']","Combine carrots, garbanzo beans, and raisins together in a bowl.
Whisk olive oil, lemon juice, cumin, chili powder, salt, and ground black pepper together; stir into carrot mixture. Marinate carrot mixture for 2 hours. Serve with crumbled feta cheese.
"
Moroccan Sweet Potato and Raisin Salad,"['1/3 cup raisins ADVERTISEMENT', '1 pound sweet potatoes, peeled and cut into 1/2-inch cubes ADVERTISEMENT', '2 cups water ADVERTISEMENT', '2 tablespoons honey ADVERTISEMENT', '2 tablespoons butter ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/2 teaspoon ground cinnamon ADVERTISEMENT', '1/4 teaspoon ground black pepper ADVERTISEMENT', '1/8 teaspoon ground turmeric ADVERTISEMENT', '3 saffron threads, crumbled, or to taste ADVERTISEMENT', 'ADVERTISEMENT']","Place raisins into a bowl, cover with boiling water, and let stand to plump.
Place sweet potatoes into a saucepan, cover with 2 cups water, and bring to a boil. Add honey, butter, salt, cinnamon, black pepper, turmeric, and saffron to potatoes; reduce heat to low. Simmer until potatoes are tender but not mushy, 8 to 10 minutes. Drain raisins and stir into sweet potato mixture.
Continue to simmer until mixture has thickened, about 10 more minutes. Let cool before serving.
"
