name,steps,description,ingredients
moroccan beef and honey tagine,"['heat half the olive oil in a large pan or wok and quickly brown the onion quarters over a high heat until charred and coloured well', 'add the carrots and the chopped garlic and stir fry for another 3 minutes', 'add the tinned tomatoes , dates and prunes to the tagine / crock pot and mix well', 'add the honey and ras el hanout to the beef stock , stir well and add to the tagine / crock pot', 'mix well , then add the cinnamon stick', 'heat the remaining olive oil in the same pan in which the onions were cooked and cook the beef cubes in small batches over high heat to sear and seal them', 'as each batch is browned , add the beef to the tagine or crock pot', 'when all the beef is browned and in the tagine or crock pot , season with salt and pepper to taste', 'ensure everything is just covered with the stock', 'mix well and slow cook for about 9 hours', 'when ready to serve , garnish with fresh coriander and toasted almonds', 'serve on fluffy cous cous']","this is virtually the same recipe as french tart's #1919460, (so i'm not claiming it as my own!)  having cooked it several times with a slightly smaller quantity, i've changed the quantities of ingredients just a little over time to suit the smaller size and my taste (and the fact that i can't find a 9 ounce tin of tomatoes).  also, to save confusing myself when using the recipezaar conversion, i've done it in metric.","['stewing beef', 'olive oil', 'onions', 'garlic cloves', 'carrots', 'tomatoes', 'dates', 'prunes', 'honey', 'beef stock', 'cinnamon stick', 'ras el hanout spice mix', 'salt and pepper', 'toasted sliced almonds', 'fresh coriander']"
moroccan beef kabobs,"['in a large resealable plastic bag , combine the parsley , cilantro , onion , lemon juice , oil , cumin , coriander , paprika , vinegar , ketchup , garlic , ginger , chili paste , salt and pepper', 'add beef', 'seal bag and turn to coat', 'refrigerate for 8 hours or overnight', 'coat a grill rack with cooking spray before starting grill', 'drain and discard marinade', 'thread the beef cubes onto 8 metal or soaked wooden skewers', 'grill , covered , over medium-hot heat for 9-12 minutes , until meat reaches your desired doneness , turning occasionally']","these kabobs are so full of flavor from the marinade of herbs and spices!  i especially like the flavor the thai red chili paste gives the steak.  i marinate these overnight, and serve it with couscous and a seasonal green vegetable.
note:  the preparation time does not include the time for marinating.","['parsley', 'cilantro', 'onion', 'lemon juice', 'olive oil', 'ground cumin', 'ground coriander', 'paprika', 'cider vinegar', 'ketchup', 'garlic cloves', 'gingerroot', 'red chili paste', 'salt and pepper', 'top sirloin steaks']"
moroccan beef kebab   skewers,"['cut any large pieces of meat in half so they will cook faster', 'then place the beef cubes in a medium bowl', 'chop the parsley & add it to the beef , set aside to be used later', 'pour the olive oil in a small glass bowl', 'add the spices , vinegar & tomato paste , stir until well blended', 'grate the onion & add it to the oil mixture', 'stir the mixture in with the beef until it is well coated', 'cover with a lid & place in the refrigerator to marinate for at least 2 hours', 'place the beef on skewers , leaving a little gap between each piece', 'grill on each side until the meat is no longer pink inside , between 10-15 minutes', 'serve with thick bread instead of utensils']","this is a nice variation from ordinary kebabs. the longer you let the meat marinate, the more tender it will be when you cook it. (the times listed below does not include marinating time).","['beef stew meat', 'parsley', 'olive oil', 'onion', 'tomato paste', 'vinegar', 'salt', 'cumin', 'paprika', 'black pepper', 'garlic powder', 'onion powder']"
moroccan beef meatballs,"['chop the onions and mince the garlic', 'line a rimmed baking sheet with foil and spray with cooking spray', 'heat oil in a skillet over medium-high heat', 'saute the onion and garlic for about 3 minutes', 'in a large bowl combine egg , milk , breadcrumbs , 1 / 3 cup parsley , chili powder , and cinnamon', 'mix well', 'add half of the onion mixture and the beef , season to taste with salt and cayenne , and mix well again', 'form the mixture into 2-inch meatballs and place on prepared baking sheet', 'spray the tops of the meatballs with cooking spray', 'broil 6 inches from heat , turning to brown on all sides', 'add tomato sauce and cumin to the remaining onion and garlic mixture in the skillet', 'bring to a boil over medium-high heat , stirring occasionally', 'put the browned meatballs into the sauce', 'return to a boil , then reduce heat to low , cover , and simmer for about 15 minutes', 'turn the meatballs occasionally with a slotted spoon while simmering', 'top with remaining parsley', 'serve meatballs and sauce over couscous or rice']","love the chili, cinnamon, and cumin in these tasty meatballs!  from ""the meatball cookbook bible""....","['olive oil', 'onions', 'garlic cloves', 'egg', 'milk', 'panko breadcrumbs', 'fresh parsley', 'chili powder', 'cinnamon', 'ground beef', 'tomato sauce', 'ground cumin', 'cayenne pepper']"
moroccan beef stew,"['heat 2 tablespoons oil in heavy large saucepan over medium-high heat', 'sprinkle beef with salt and pepper', 'working in batches , add beef to pan and brown on all sides , about 3 minutes per batch', 'transfer to plate', 'add remaining 1 tablespoon oil , onion , carrot , and garlic to pan', 'cook until vegetables are soft , stirring frequently , about 10 minutes', 'add spices', 'stir 1 minute', 'add broth , olives , raisins , garbanzo beans , and cilantro', 'bring to boil', 'simmer until juices thicken , about 5 minutes', 'add beef and any accumulated juices and lemon peel to pan', 'stir to warm through and serve']",from epicurious,"['olive oil', 'beef tenderloin', 'onion', 'carrot', 'garlic cloves', 'paprika', 'ground cumin', 'ground cinnamon', 'beef broth', 'kalamata olive', 'golden raisin', 'garbanzo beans', 'cilantro', 'lemon peel']"
moroccan beef stew tagine tajine,"['combine flour , salt and pepper', 'coat the meat with the flour in a large bowl or large plastic bag', 'in a large skillet or dutch oven brown the meat in very hot oil about 10 minutes or until browned', 'remove from heat', 'stir into the pan the undrained tomatoes , water , cinnamon sticks , orange peel , garlic , cumin and sugar', 'simmer covered about 1 hour 15 minutes or until meat is almost tender', 'add carrots and cook covered until tender', 'add the chick peas and cook until heated through', 'serve over couscous']","this stew smells wonderful. it blends the flavor of garlic, cinnamon, cumin and orange peel, and makes an easy, exotic dinner.","['flour', 'salt', 'black pepper', 'beef stew meat', 'oil', 'tomatoes', 'water', 'cinnamon sticks', 'ground cumin', 'orange rind', 'garlic', 'sugar', 'carrots', 'chickpeas']"
moroccan beef stew with orange and lemon,"['fry onion & garlic until onion has softened', 'add beef and slightly brown', 'add remainder of ingredients and mix through', 'if you have a pressure cooker , put lid on pressure cooker and turn up high until pressure has built , then turn heat down and simmer for 20 minutes', 'if you do not have a pressure cooker you can simmer this for 1 1 / 2 hours or until meat is tender', 'serve with cous cous mixed with pinenuts and sultanas , along with roasted pumpkin']",this recipe was in our local newspaper.  i just love the combination of flavours and thoroughly look forward to eating my dinner when i cook this.,"['lean beef', 'olive oil', 'red onions', 'garlic cloves', 'sea salt', 'black pepper', 'cinnamon', 'saffron strand', 'lemon, juice and zest of', 'orange, juice and zest of', 'brown sugar', 'beef stock']"
moroccan beef with artichokes,"['heat the smen & oil in a pressure cooker', 'fry the onion & beef until browned on all sides', 'add water & spices then seal with the lid & cook for 15 minutes', 'release the pressure then open the cooker', 'add the artichokes , lemon juice , sugar , flour & another 1 / 2 cup of water', 'cook under pressure for additional 5 minutes']",i found this recipe online & modified it to suit my husbands tastes.,"['beef stew meat', 'smen', 'olive oil', 'onions', 'water', 'ground cumin', 'salt', 'black pepper', 'garlic powder', 'frozen artichoke hearts', 'lemon juice', 'sugar', 'flour']"
moroccan beef with honey spice couscous,"['marinade:', 'combine vinegar and seasonings , stir well', 'add honey and oil , stirring until blended', 'remove 1 / 3 cup marinade', 'set aside for preparing couscous', 'slice steak diagonally into thin slices', 'place steak in marinade , turning to coat', 'marinate in refrigerator 1 hour or up to overnight', 'remove steak from marinade , discarding marinade', 'cook steak in skillet over medium heat for 8-10 minutes , or until browned', 'turn steak , cover , and reduce heat to low', 'cook 7-10 minutes for medium doneness', 'while steak is cooking , prepare couscous', 'in large saucepan , combine water , reserved marinade , garbanzo beans , tomatoes , and parsley', 'bring to a boil over high heat', 'stir in couscous , cover , and remove from heat', 'let stand for 5 minutes , then fluff with a fork and serve with steak']",from the national honey board.  prep time includes marinating (1 hour or up to overnight).,"['beef flank steak', 'red wine vinegar', 'garlic salt', 'ground cumin', 'ground coriander', 'ground cinnamon', 'ground ginger', 'black pepper', 'honey', 'olive oil', 'water', 'marinade', 'garbanzo beans', 'fresh tomato', 'fresh flat-leaf parsley', 'couscous']"
moroccan beet salad,"['to prepare dressing , combine first ten ingredients in a large bowl and whisk until thoroughly combined', 'makes about 3 / 4 cup dressing', 'to prepare salad , wash beets well , being careful not to break open their skins', 'cut off the tops , leaving a stalk of about 1 1 / 2 inches', 'reserve green tops and set aside', 'place beets in a 3-quart sauce pan , cover with cold water and bring to a boil', 'reduce heat to medium , cover and cook until a knife can be easily inserted and removed , about 30 minutes', 'remove from heat and allow to cool in cooking water', 'slip off the beef skins , trim off the tops and cut the beets into bite-size pieces', 'toss beets and tomatoes with 1 / 4 cup of the dressing', 'set aside to marinate', 'wash greens', 'transfer greens with some water still clinging to the leaves , to a large pot over high heat', 'cook , stirring , until just wilted but still bright green , about 4 minutes', 'drain greens and squeeze out excess moisture', 'cool slightly and chop coarsely', 'transfer greens to a medium bowl', 'add 1 tablespoon of the dressing and toss to coat', 'season greens with salt and pepper', 'arrange tomatoes and beets in the center of a platter and surround with greens', 'garnish with cilantro', 'pass remaining dressing separately']","this is unusual and delicious. made it for a special moroccan dinner for my gourmet group.  the colors, the textures and the spices in the dressing make this a unique side dish. i served it with lamb tagine and couscous.","['extra virgin olive oil', 'red wine vinegar', 'dark corn syrup', 'dijon mustard', 'ground cumin', 'ground coriander', 'ground turmeric', 'ground cardamom', 'ground cinnamon', 'salt', 'beets', 'tomatoes', 'fresh cilantro', 'salt and pepper']"
moroccan beetroot salad,"['arrange first 5 ingredients on a serving plate', 'combine last 3 ingredients to make the dressing', 'pour dressing over salad to serve']","found on the back of a can of beetroot, yummo!","['beetroots', 'orange', 'fresh parsley leaves', 'baby spinach', 'chickpeas', 'french dressing', 'moroccan seasoning', 'honey']"
moroccan blood orange sorbet,"['place the sugar and water in a small saucepan and set over low heat', 'stir until the sugar dissolves and the syrup is clear', 'remove from the heat and cool to room temperature', 'to prepare the oranges , cut off the ends of the fruit so they sit flat on a cutting board', 'then cut down the sides following the curve of the fruit , removing the rind and the white pith beneath', 'when the rind and pith are all removed , hold the fruit in one hand over a bowl and use a small paring knife in your other to cut between the membranes letting the clean orage sections fall into the bowl', 'be careful not to cut down into your hand ! when all the sections are cut away , squeeze the remaining fruit pulp in your hand to extract any risdual juice', 'pour the orange segments and juice into a blender and blend for 10 seconds to chop up the fruit', 'you should have about 2 cups of juice and pulp', 'combine the orange puree , cooled sugar syrup , lime juice , and spices , stir to combine well', 'cover and refrigerate until cold', 'stir the chilled mixture , then freeze in 1 or 2 batches in your ice cream machine according to manufactures instructions', 'when finished , the sorbet will be soft but ready to eat', 'for firmer sorbet , transfer to a freezer safe container and freeze at least 2 hours']","posting this for zwt ii as taken from ""the ultimate ice cream book"".  blood oranges earn their name from the dark red flesh.  they are common thoughout the mediterranean region and are becoming readily available in the united states.  the cooking time depends on how fast your ice cream machine freezes.  sometimes i bypass the ice cream machine altogeather, and simply put the sorbet in a freezer safe container, freeze it and then set it out about 10 to 15 minutes prior to using it...this softens it just enough to scoop.","['sugar', 'water', 'blood oranges', 'lime, juice of', 'ground cumin', 'ground cinnamon']"
moroccan braised beef,"['season the beef with salt and pepper and brown it in the oil in a skillet in batches', 'remove beef', 'add a little more oil and saute the onions until nicely browned', 'add the garlic and next 5 ingredients and stir for 1 minute', 'add the wine and sherry , turn the heat to high and reduce until thick , about 8 minutes', 'add the beef broth , the tomatoes , the beef cubes , the broth you used for deglazing and the raisins', 'reduce heat to medium-low', 'simmer for about an hour and a quarter until the sauce is thick and the beef is tender', 'alternately , put the pot in a 275 to 300 degree oven', 'taste and adjust the seasoning', 'the stew can be refrigerated and reheated before serving or served right away']","i found this recipe on another website. it originally came from bon apetit magazine. i made it when i wanted to do something a little different with stewing beef. the original recipe suggests to serve it with couscous, but anything to soak up the delicious gravy is good. when i made it, i used 1 and 1/2 cups of red wine since i didn't have any sherry and added a little sugar.","['olive oil', 'stewing beef', 'onions', 'garlic cloves', 'garam masala', 'paprika', 'ground cumin', 'turmeric', 'cayenne', 'dry red wine', 'dry sherry', 'beef broth', 'diced tomatoes with juice', 'golden raisins']"
moroccan braised chicken,"['in a small bowl combine the apricots and the boiling water , let stand 10 minutes', 'strain the apricots , reserving the the water , then dice the apricots', 'set aside both the water and apricots until needed', 'in a large skillet , heat the oil over medium heat , add the chicken and saute for 3 minutes per side or until golden brown', 'transfer the chicken to a plate', 'add the onion and garlic to the skillet and cook 7 minutes , then add the celery and cook for 3 more minutes', 'stir in the apricots and the reserved liquid , the chickpeas , tomatoes , lemon zest , lemon juice , coriander and pepper', 'bring to a boil and return the chicken to the pan , reduce to a simmer , cover and cook for 15 minutes or until the chicken is cooked through', 'stir in the cilantro and serve']","this recipe has been submitted for play in zwt9 – morocco. this recipe is from cookbook: fight back with food.  in this tasty version chicken breasts are braised with chickpeas, lemon, cilantro and apricots.  yummy!","['dried apricot', 'water', 'olive oil', 'boneless skinless chicken breast halves', 'onion', 'garlic cloves', 'celery ribs', 'chickpeas', 'stewed tomatoes', 'lemon zest', 'fresh lemon juice', 'ground coriander', 'black pepper', 'fresh cilantro']"
moroccan braised chicken with zucchini,"['pour broth into a large , wide saucepan and set over medium-high heat', 'stir in seasonings and garlic', 'add onions and carrots to broth', 'cover and reduce heat to medium-low', 'boil gently until carrots begin to soften slightly , about 5 minute', 'stir zucchini and chicken into broth', 'then stir into broth with sugar , raisins and apricots', 'increase heat to medium', 'cover and cook , stirring occasionally , until chicken is springy when pressed , 7 to 10 minute']","built around fall veggies and an intriguing, spicy sauce, this dish needs only quick-cooking couscous to soak up all the goodness. another healthy dish from chatelaine magazine. enjoy!","['canned chicken broth', 'ground cumin', 'paprika', 'cinnamon', 'chili flakes', 'garlic clove', 'onion', 'carrots', 'chicken breasts', 'zucchini', 'brown sugar', 'golden raisin', 'dried apricot']"
moroccan bread,"['soften the yeast in 1 tbsp sugared lukewarm water', 'let stand a few minutes , then stir and set in a warm place until the yeast froths up', 'meanwhile , mix the flours and salt together', 'stir the yeast into the flour , then add the milk and enough lukewarm water to form a stiff dough', 'the amount of water you need will depend on your particular flour but i need about a cup', 'add no more than 1 / 4 cup water at a time until you can see the dough coming together', 'to knead by hand , turn the dough out onto a board and knead hard , adding water if necessary', 'knead for 10-15 minutes until smooth and elastic', 'i prefer to use an electric beater with a dough hook and this takes 7-8 minutes at a slow speed', 'towards the end , add the spices', 'split into two balls and let stand 5 minutes', 'meanwhile , lightly grease a mixing bowl', 'transfer the first ball of dough into the greased bowl and form a cone shape by holding the dough in one hand and rotating it against the side of the bowl', 'turn out onto a baking sheet that has been sprinkled with cornmeal', 'flatten the cone with the palm of your hand to make a disc that is about 5-6 inches across and slightly raised in the centre', 'repeat with the second dough ball', 'cover with a damp towel and let rise', 'paula says to let it rise 2 hours but i found mine was done in about an hour', 'preheat the oven to 200 c or 400f', 'using a fork , prick the bread around the sides 3-4 times', 'bake on the centre shelf of the oven for 12 minutes , then lower the heat to 150 c or 300 f and bake 30-40 minutes more', 'remove and let cool', ""cut into wedges when you're ready to serve""]","a recipe from paula wolfert's book, moroccan cuisine. the bread is very dense, to help soak up all the lovely sauces that come with a tagine. when i was in morocco we were served all-white bread, but this recipe with a bit of whole-wheat flour works well too.","['active dry yeast', 'granulated sugar', 'unbleached flour', 'whole wheat flour', 'salt', 'milk', 'sesame seeds', 'anise seed', 'cornmeal']"
moroccan bread   khobz,"['mix cup flour , salt , yeast and water', 'you can add teaspoon sugar to activate the yeast effectiveness faster', 'cover and let the mixture sit for 5 minutes before using it', 'add the remaining flour and oil', 'mix and knead , the dough should be firm and smooth', 'cover it and let it rest for 30 minutes', 'share this into 8 pieces , roll into a ball and flatten with a roller', 'preheat your oven to 200c / 400f', 'set aside until the bread itself inflated', 'put the bread in the oven for about 20 minutes']","this recipe has been posted here for play in zwt9-morocco.  this recipe is from website : moroccan-food.com. 


khobz is the moroccan and standard arabic word for bread and refers to oven-baked bread which is shaped into round, flattish loaves with lots of crust. 

during a traditional moroccan meal, khobz often replaces utensils such as forks or spoons as it is used to scoop up meat, vegetables, sauce, salads, dips and more.","['flour', 'salt', 'dry yeast', 'warm water', 'white sugar', 'vegetable oil']"
moroccan bread salad,"['preheat the oven to 220c or 425f', 'put the peppers into char', 'meanwhile , break up the bread into bite-sized pieces and place on a roasting tray', 'put in the oven for 10 minutes until lightly toasted', 'peel and tear the charred peppers into strips and make the dressing', 'in a bowl , mix the garlic with the cumin , vinegar , tomato juice , salt and black pepper', 'add the olive oil and whisk well', 'season to taste', 'when the bread is ready , transfer to a large salad bowl and pour over half the dressing', 'toss and let sit for a few seconds , before adding the peppers , tomatoes , herbs and olives', 'pour on the remaining dressing , toss again and check the seasoning', 'serve with a bit of extra olive oil drizzled on top , if you like']","great way to use up stale bread! i have made this with and without the herbs and olives and both ways are good, just the one without is a bit simpler. maybe more of an appetiser than a main course.","['green peppers', 'ciabatta', 'cherry tomatoes', 'fresh coriander leaves', 'fresh flat-leaf parsley', 'black olives', 'sea salt', 'black pepper', 'garlic clove', 'cumin seed', 'red wine vinegar', 'tomato juice', 'extra virgin olive oil']"
moroccan bread stuffed with meat,"['dough:', 'add the sugar to 1 / 4 cup of lukewarm water', 'then add the yeast and stir to soften', 'let it sit in a warm place until the yeast is bubbly & doubles in volume , roughly 2 minutes', 'mix the flours & salt in the large mixing bowl', 'after yeast is ready add it to the flour along with the milk', 'add enough lukewarm water to the mixture to form a stiff dough', 'add a small amount at a time', 'if you have added too much the mixture will be extra sticky and it will be hard to get off your hands', 'the right consistency should allow the dough to pull easily off your fingers', 'place the dough onto a lightly floured board & knead hard with closed fists , pushing outward', 'add the seeds during the final part of kneading', 'it will take between 10-15 minutes to knead the dough thoroughly', 'you will know it is ready when it achieves a smooth , elastic consistency', 'with lightly oiled hands , form the dough into 4 equal sized balls', 'flatten each piece into a rectangle approximately 8x12 inches', 'filling:', 'saute the meat & onion for in a skillet until the meat is no longer pink', 'drain then add the rest of the ingredients for the filling', 'spread a quarter of the filling down the center of each rectangle', 'fold over the right side the then left to form a package that is 3x8 inches', 'flatten the package out until it is again a rectangle measuring 8x12', 'then refold as before until the package is 3x8 inches', 'repeat with all 4 balls', 'spray two baking pans with cooking spray then place 2 bread packages on each pan', 'cover with a clean towel & leave in a warm place for the dough to rise for an hour', 'heat a griddle & brush with a little oil or butter', 'poke the package five times on each side with a fork', 'fry the dough for 8-10 minutes on each side until crisp & golden', 'brush with a little melted butter just before serving']",this moroccan bread is eaten as a snack & sometimes tomato or mild cheddar cheese is added to the filling. the times below does not reflect 1 hour for the dough to rise.,"['active dry yeast', 'sugar', 'unbleached flour', 'barley flour', 'salt', 'milk', 'sesame seeds', 'ground lamb', 'onions', 'fresh italian parsley', 'dried hot red chili pepper', 'sweet red pepper', 'cumin']"
moroccan broad  fava  bean salad,"['bring a large pan of salted water to the boil', 'meanwhile pod the beans , put beans into boiling water and boil for 2 mins', 'drain and refresh under cold running water', 'slip off and discard the outer skin of the bean', 'put beans into heavy pan with the olive oil , lemon juice , garlic , cumin and paprika , cook gently over low heat for about 10 mins', 'season to taste with salt and pepper and leave to cool in the pan']",the addition of preserved lemon gives this salad a distictive taste from modern moroccan by ghillie basan,"['broad beans', 'olive oil', 'lemon juice', 'garlic cloves', 'ground cumin', 'paprika', 'coriander', 'preserved lemon', 'black olives']"
moroccan brown rice  rice cooker,"['coat the rice cooker bowl with pam', 'place rice in the rice bowl and add teh water , salt , pepper , coriander and cardamom', 'close the cover and set the brown rice cycle', 'when the machine switches to keep warm , add the butter', 'close teh cover and let the rice steam for 10 minutes', 'fluff rice', 'serve hot , sprinkled with a bit of the preserved lemon']",recipe source: the ultimate rice cooker cookbook,"['long grain brown rice', 'water', 'salt', 'pepper', 'ground coriander', 'ground cardamom', 'butter', 'preserved lemon']"
moroccan cake  le russe,"['preheat the oven to 300f', 'generously grease 3 pie pans or molds', 'cut 3 rounds of waxed paper to line the bottom of each mold and generously grease the waxed paper', 'to prepare the meringue , in a large bowl , using an electric mixer on high speed , beat the egg whites with the salt and cream of tartar', 'slowly add the sugar and continue beating until stiff peaks form', 'divide the egg whites among the three molds and smooth the tops with a spatula', 'place in the oven and immediately decrease the heat to 275f', 'bake until the meringue is hard but not brown , about 1 hour', 'to prepare the ganache , reserve 12 hazelnuts for garnish', 'in a food processor , grind the remaining nuts with 1 tablespoon of the sugar until you have a fine meal', 'combine the chocolate , coffee , brandy , and remaining 2 tablespoons sugar in a heatproof bowl', 'in a large , heavy skillet , bring water to a simmer over medium-high heat', 'remove the skillet from the heat', 'place the bowl filled with the chocolate mixture in the skillet and stir gently until the chocolate melts', 'set aside and allow to cool slightly', 'pour the cream into a large chilled bowl and whip with an electric mixer on high speed until stiff peaks form', 'gently fold the melted chocolate into the whipped cream , and then fold in half of the ground nuts', 'to assemble the cake , carefully peel the paper from the bottom of each meringue', 'set one round on a serving platter', 'with a spatula , spread one third of the ganache over the top', 'cover with a second round , and repeat the procedure', 'top with the third round , and spread with the remaining ganache , spreading it over and around the sides of the cake', 'sprinkle with the remaining ground hazelnuts and garnish with the whole nuts', 'refrigerate for 2 to 6 hours before serving']","connoisseurs who taste this seductive dessert of meringue and chocolate ganache will be reminded of a french dacquoise. yet in morocco this unforgettable flourless, butterless cake bears the intriguing name of le russe, ""the russian."" look for superfine sugar in the baking section of supermarkets, or simply make it by grinding granulated sugar in a food processor. from the scent of orange blossoms: sephardic cuisine from morocco (canada, uk), by kitty morse and danielle mamane.","['egg whites', 'salt', 'cream of tartar', 'superfine sugar', 'hazelnuts', 'semisweet chocolate', 'brewed coffee', 'brandy', 'heavy whipping cream']"
moroccan carrot and chickpea tagine,"['in the base of the tagine or in a large skillet with a lid , saute the onions and garlic in the olive oil over low heat for several minutes', 'add the spices , parsley or cilantro , the carrots and the water', 'cover and simmer over medium-low heat until the carrots are cooked to desired tenderness', 'in a skillet this may take up to 25 minutes', 'in a tagine a bit longer', 'when the carrots are cooked , stir in the honey , chickpeas and raisins', 'continue simmering until the chickpeas are heated through and the sauce is reduced and thick', 'taste , adjust seasoning if desired , and serve']","this spicy dish uses ras el hanout, one of my favorite spice blends (plenty of recipes on this site), with the sweetness of honey and raisins. not sure where i found this recipe.","['onion', 'garlic cloves', 'olive oil', 'salt', 'ginger', 'turmeric', 'cinnamon', 'black pepper', 'cayenne pepper', 'ras el hanout spice mix', 'parsley', 'carrots', 'water', 'canned chick-peas', 'honey', 'golden raisin']"
moroccan carrot and cinnamon salad,"['place a steamer rack in the bottom of a medium saucepan', 'add enough water to come almost up to the bottom of the rack', 'place saucepan over medium heat', 'when water boils , add carrots , cover saucepan , and cook 5 minutes or until carrots are tender crisp', 'drain', 'place carrots in a medium bowl', 'while carrots are cooking , combine remaining ingredients in a small bowl', 'mix well', 'spoon over hot carrots , tossing until carrots are well coated', 'chill several hours or overnight to blend flavors', 'mix before serving', 'cook time does not include chilling time']",this a delicious salad with a nice touch of cinnamon.,"['carrot', 'salt', 'lemon juice', 'sugar', 'oil', 'garlic clove', 'paprika', 'ground cumin', 'parsley', 'ground cinnamon']"
moroccan carrot and spinach salad,"['in a large saute pan , heat 1 tablespoon olive oil', 'add the carrots , 2 tablespoons sugar , 1 / 2 cup lemon juice , and 1 / 4 teaspoon kosher salt', 'cook the carrots until they just start softening', 'in another saute pan , heat 1 tablespoon olive oil', 'add the spinach and cook just until wilted', 'remove from the pan and chop roughly', 'in a large bowl , combine the cooked carrots , spinach , remaining 1 teaspoon sugar , cumin , garlic , orange juice , remaining lemon juice and remaining olive oil', 'serve warm']","this lovely warm salad, with flavours reminiscent of morocco, is the creation of celebrity chef wolfgang puck.","['olive oil', 'carrots', 'granulated sugar', 'lemon juice', 'kosher salt', 'baby spinach', 'ground cumin', 'garlic', 'orange juice']"
moroccan carrot dip,"['cook the chopped carrot and garlic in simmering , salted water , for about 20 minutes or until soft', 'drain well , then return them to the hot , dry pan for a minute or two , over medium heat , to dry them out further', 'add the cumin , paprika , ginger , cinnamon , cayenne , sea salt , honey and lemon juice and whizz again', 'with the machine still running , add the olive oil gradually', 'allow to cool', 'spoon into a serving bowl , drizzle with a little extra olive oil , scatter with olives and cilantro leaves , and serve with lightly warmed flat bread for dipping']","this unusual, sweetly spiced, moroccan carrot dip is wonderful served with olives and warm flat bread for dipping. from a recipe by jill dupleix.","['carrots', 'garlic', 'ground cumin', 'paprika', 'ground ginger', 'ground cinnamon', 'cayenne pepper', 'sea salt', 'honey', 'fresh lemon juice', 'virgin olive oil', 'green olives', 'fresh cilantro leaves', 'flat bread']"
moroccan carrot salad,"['cut carrots into 2"" x 1 / 4"" strips', 'steam carrots for approximately 5 minutes , or until tender-crisp', 'while carrots are steaming , combine remaining ingredients', ""spoon over hot carrots , tossing 'til well coated"", 'chill several hours']",a wonderful combination of flavors.  it's a flexible recipe -- you can make it as garlicky as you like!,"['carrot', 'lemon juice', 'sugar', 'olive oil', 'salt', 'garlic clove', 'paprika', 'ground cumin', 'dried parsley flakes', 'ground cinnamon']"
moroccan carrot salad with dates and yogurt  vegan friendly,"['grate the carrots and place them in a bowl', 'stir in most of the almonds and the dates', 'whisk together the dressing', 'taste and correct seasonings , add more lemon juice or yogurt if necessary', 'pour the dressing over the carrot mixture', 'stir', 'serve immediately or cover and chill', 'garnish with a few sliced almonds and fresh mint leaves before serving', 'if desired , the carrot salad can be served over a bed of lettuce', 'i served it over butter lettuce']",i'm not sure if this recipe is more inspired by moroccan cuisine or close to a traditional recipe...it doesn't matter to me. from a local csa flyer but the original recipe source is unknown. you can easily make this recipe vegan by omitting the plain yogurt and substituting another sweetener for the honey. a link to ras el hanout recipes on this site: http://www.food.com/recipe-finder/condiments-etc/ras-el-hanout. i use this one: recipe #205185.,"['carrots', 'sliced almonds', 'dates', 'lettuce leaf', 'lemon, juice and zest of', 'honey', 'extra virgin olive oil', 'orange flower water', 'ras el hanout spice mix', 'plain yogurt', 'of fresh mint']"
moroccan carrot salad with oranges and medjool dates,"['in a medium bowl , whisk the orange and lemon juice with the zests , sugar , cinnamon , cumin and cayenne', 'gradually whisk in the olive oil and season the dressing with salt', 'in a large bowl , toss the carrots with all but 2 tablespoons of the dressing and let stand at room temperature for 40 minutes', 'using a very sharp knife , peel the remaining 3 oranges , carefully removing all of the bitter white pith', 'cut in between the membranes , releasing the orange sections into the bowl with the remaining dressing', 'add the dates and toss', 'arrange the carrot salad on a platter , spoon the oranges and dates around it and serve']",this recipe is from food & wine.,"['navel oranges', 'lemon', 'sugar', 'cinnamon', 'ground cumin', 'cayenne pepper', 'olive oil', 'salt', 'carrot', 'dates']"
moroccan carrot salad with parsley and roasted lemon recipe,"['place the lemon pieces in a cold skillet', 'add a generous amount of oil to cover the bottom of the pan and heat over low heat until the rinds soften and begin to brown and caramelize , about 20 minutes', 'in a large bowl , add the cumin , cinnamon , ginger , cayenne , orange zest , orange juice , salt , and pepper', 'while whisking , pour 1 / 4 cup olive oil in a thin stream until the dressing reaches your desired consistency', 'add the carrots , parsley , and pine nuts', 'remove the caramelized lemon to the bowl using a slotted spoon', 'toss and taste for seasoning', 'drizzle in some of the lemon infused oil , to taste', 'store in the refrigerator until serving time']",i thought this sounded good really good; a different kind of salad.  recipe comes from morrocanfoods.blogspot.com,"['lemon', 'olive oil', 'ground cumin', 'ground cinnamon', 'ground ginger', 'cayenne pepper', 'orange zest', 'salt & freshly ground black pepper', 'carrots', 'parsley', 'pine nuts']"
moroccan carrot salad dip,"['place carrots and garlic in saucepan with salted water', 'bring to boil and cook until tender', 'drain', 'mash roughly and stir in remaining ingredients , season to taste and serve']",a low calorie and delicious salad or dip to serve with flat bread.,"['carrots', 'garlic cloves', 'olive oil', 'red wine vinegar', 'paprika', 'chili powder', 'cumin', 'coriander', 'fresh coriander', 'mint sprig']"
